date,Outflows_cmd
5/30/2009,0
5/31/2009,0
6/1/2009,80810.39029
6/2/2009,140408.9706
6/3/2009,62876.99154
6/4/2009,0
6/5/2009,0
6/6/2009,0
6/7/2009,0
6/8/2009,0
6/9/2009,0
6/10/2009,0
6/11/2009,0
6/12/2009,0
6/13/2009,0
6/14/2009,0
6/15/2009,0
6/16/2009,31805.4821
6/17/2009,40099.3732
6/18/2009,0
6/19/2009,12966.8504
6/20/2009,200619.1948
6/21/2009,0
6/22/2009,0
6/23/2009,0
6/24/2009,0
6/25/2009,0
6/26/2009,303375.3677
6/27/2009,83183.56857
6/28/2009,139454.8061
6/29/2009,274016.4612
6/30/2009,0
7/1/2009,0
7/2/2009,0
7/3/2009,663021.973
7/4/2009,574945.2534
7/5/2009,401238.3896
7/6/2009,124775.3529
7/7/2009,12966.8504
7/8/2009,75843.84193
7/9/2009,709.5069084
7/10/2009,73544.06092
7/11/2009,0
7/12/2009,181046.5904
7/13/2009,186184.3991
7/14/2009,0
7/15/2009,572498.6778
7/16/2009,46484.93538
7/17/2009,554394.0187
7/18/2009,436664.8035
7/19/2009,193279.4682
7/20/2009,137497.5457
7/21/2009,420810.994
7/22/2009,414694.5551
7/23/2009,354753.4542
7/24/2009,694827.4551
7/25/2009,1197231.744
7/26/2009,562712.3756
7/27/2009,462402.7782
7/28/2009,5502030.349
7/29/2009,7821212.706
7/30/2009,7480404.732
7/31/2009,4484572.976
8/1/2009,4143765.003
8/2/2009,2259167.859
8/3/2009,3102355.656
8/4/2009,2878029.144
8/5/2009,1358681.264
8/6/2009,649370.0815
8/7/2009,405079.5132
8/8/2009,473363.4367
8/9/2009,479528.8071
8/10/2009,462402.7782
8/11/2009,548032.9224
8/12/2009,171260.2882
8/13/2009,161473.9861
8/14/2009,244657.5546
8/15/2009,53824.66202
8/16/2009,266676.7345
8/17/2009,244657.5546
8/18/2009,100309.5974
8/19/2009,261783.5834
8/20/2009,870760.7027
8/21/2009,330287.6987
8/22/2009,381665.7852
8/23/2009,538466.812
8/24/2009,749092.5007
8/25/2009,702167.1818
8/26/2009,706326.3602
8/27/2009,593783.8851
8/28/2009,697274.0307
8/29/2009,643204.7111
8/30/2009,616537.0377
8/31/2009,435490.4472
9/1/2009,408578.1162
9/2/2009,559776.485
9/3/2009,727073.3208
9/4/2009,592071.2822
9/5/2009,724186.3617
9/6/2009,0
9/7/2009,153155.6292
9/8/2009,100309.5974
9/9/2009,376772.6341
9/10/2009,486868.5337
9/11/2009,499101.4114
9/12/2009,548032.9224
9/13/2009,247104.1302
9/14/2009,352306.8787
9/15/2009,381665.7852
9/16/2009,418217.6239
9/17/2009,497388.8086
9/18/2009,603080.8721
9/19/2009,1031843.237
9/20/2009,611643.8866
9/21/2009,929698.7076
9/22/2009,831835.6857
9/23/2009,618983.6132
9/24/2009,782904.1748
9/25/2009,851163.6325
9/26/2009,751098.6927
9/27/2009,675254.8508
9/28/2009,729079.5128
9/29/2009,686019.7832
9/30/2009,809816.5058
10/1/2009,993309.6718
10/2/2009,895446.6499
10/3/2009,873427.47
10/4/2009,791222.5317
10/5/2009,1328588.385
10/6/2009,750120.0625
10/7/2009,342520.5765
10/8/2009,437937.0228
10/9/2009,594517.8577
10/10/2009,609197.311
10/11/2009,550479.4979
10/12/2009,790243.9014
10/13/2009,592071.2822
10/14/2009,868534.3189
10/15/2009,1719942.609
10/16/2009,2279694.628
10/17/2009,986777.3151
10/18/2009,608487.8041
10/19/2009,2698548.361
10/20/2009,3585162.874
10/21/2009,4674818.691
10/22/2009,5243965.56
10/23/2009,3772790.753
10/24/2009,2009372.496
10/25/2009,1367635.73
10/26/2009,1502197.385
10/27/2009,3361081.02
10/28/2009,3437781.163
10/29/2009,2268636.107
10/30/2009,1827591.933
