Date,P_Lake,TP_Lake_S
2018-01-31,208.9659115657436,92.00401228636152
2018-02-28,220.01361073532948,96.58857169579633
2018-03-31,200.26386426483262,96.30124743448638
2018-04-30,174.21278754264188,92.19893599939168
2018-05-31,156.86114240745016,91.90349084046859
2018-06-30,154.4292633630574,106.66142599834993
2018-07-31,148.13383037384398,113.7772981015406
2018-08-31,143.9592611421868,116.62952563059886
2018-09-30,159.05649210720972,118.36747235776484
2018-10-31,157.63679107223808,113.32448357568438
2018-11-30,150.00819115014517,104.95959285758089
2018-12-31,141.98724163740383,97.53263737999305
2019-01-31,132.19968871264396,92.03688647605266
2019-02-28,127.08770995366721,94.29511428002714
2019-03-31,113.86851506101647,90.2832810560926
2019-04-30,101.82328634305394,83.91575783465962
2019-05-31,95.58809385758636,78.28664858307039
2019-06-30,93.05445627140811,75.09842664968512
