,date,Outflows_acft
347,2008-09-12,2187.7718548356847
348,2008-09-13,1041.918907837883
349,2008-09-14,777.5218196696176
350,2008-09-15,415.14111443074233
351,2008-09-16,1610.5809122022247
352,2008-09-17,4135.543352088464
353,2008-09-18,8521.004431850048
354,2008-09-19,10193.073038803515
355,2008-09-20,12817.209180687616
356,2008-09-21,12825.143076621722
357,2008-09-22,13650.268274160002
358,2008-09-23,13146.465869002302
359,2008-09-24,10542.164468238025
360,2008-09-25,8368.276931582708
361,2008-09-26,9254.889822976553
362,2008-09-27,9459.187647892855
363,2008-09-28,8657.86414000117
364,2008-09-29,5149.0985811213795
365,2008-09-30,983.8031187656386
366,2008-10-01,1366.6136065442165
367,2008-10-02,420.49649431111976
368,2008-10-03,1290.448203767993
369,2008-10-04,1941.8210751442746
370,2008-10-05,3427.443123133379
371,2008-10-06,5855.21533616759
372,2008-10-07,4907.114750030159
373,2008-10-08,4700.833450812984
374,2008-10-09,2999.012732914097
375,2008-10-10,2946.4506710818823
376,2008-10-11,2392.069679723449
377,2008-10-12,832.2657029063008
378,2008-10-13,265.7855199565457
379,2008-10-14,261.81857189700685
380,2008-10-15,491.9015593502611
381,2008-10-16,416.5295462644226
382,2008-10-17,951.6708394833738
383,2008-10-18,511.73629968051364
384,2008-10-19,629.3563096458411
385,2008-10-20,1021.4891253312579
386,2008-10-21,1454.679853432902
387,2008-10-22,1041.3238656289523
388,2008-10-23,1336.4648012586438
389,2008-10-24,1297.1920154692089
390,2008-10-25,1201.9852620402762
391,2008-10-26,1061.1586059266467
392,2008-10-27,1470.3492982680805
393,2008-10-28,1285.2911712905925
394,2008-10-29,1602.924702417869
395,2008-10-30,1722.3695084905846
396,2008-10-31,1499.7840528698587
397,2008-11-01,2049.285698077182
398,2008-11-02,1426.0781579236266
399,2008-11-03,2029.0542629735342
400,2008-11-04,2529.6236039054907
401,2008-11-05,2591.448489384217
402,2008-11-06,1778.4224845817278
403,2008-11-07,1571.2287874381086
404,2008-11-08,2075.388216324903
405,2008-11-09,2242.3570601447977
406,2008-11-10,2427.7325429670486
407,2008-11-11,2856.658801934004
408,2008-11-12,3408.679458839779
409,2008-11-13,3076.566567554224
410,2008-11-14,3087.2178231311836
411,2008-11-15,2103.037844287696
412,2008-11-16,1664.1347109669553
413,2008-11-17,3634.974010835206
414,2008-11-18,3684.064993071999
415,2008-11-19,3956.951350120626
416,2008-11-20,4410.333844258078
417,2008-11-21,3459.8729240218436
418,2008-11-22,3321.267758821556
419,2008-11-23,2083.6593030077684
420,2008-11-24,3208.9436243015552
421,2008-11-25,5801.6020329781895
422,2008-11-26,5703.003538935256
423,2008-11-27,5343.855896219106
424,2008-11-28,4649.34246500925
425,2008-11-29,4196.832699271862
426,2008-11-30,2193.42475602314
427,2008-12-01,319.3393187950838
428,2008-12-02,2341.3720837129636
429,2008-12-03,5066.16953207733
430,2008-12-04,6437.483972039677
431,2008-12-05,5415.122117892881
432,2008-12-06,4715.154132843285
433,2008-12-07,2720.294962387876
434,2008-12-08,4064.9316766336015
435,2008-12-09,4106.227605912132
436,2008-12-10,2577.3658237662385
437,2008-12-11,2100.4989975625385
438,2008-12-12,561.3231504601615
439,2008-12-13,220.1656173046016
440,2008-12-14,918.3484757832474
441,2008-12-15,337.1905850608036
442,2008-12-16,1641.7611238866393
443,2008-12-17,2375.1506464683443
444,2008-12-18,1987.1236219502239
445,2008-12-19,1877.040813371179
446,2008-12-20,2057.893975419045
447,2008-12-21,1362.9045098282347
448,2008-12-22,2487.6731281565394
449,2008-12-23,3650.6831257907293
450,2008-12-24,3838.756132916515
451,2008-12-25,1939.9169399083644
452,2008-12-26,2064.5187787064947
453,2008-12-27,2066.8989474970763
454,2008-12-28,1547.823793906416
455,2008-12-29,2714.2453665850107
456,2008-12-30,4047.377931192554
457,2008-12-31,3995.4505817238623
458,2009-01-01,4578.27459040639
459,2009-01-02,3942.8091808139725
460,2009-01-03,3216.5204953703983
461,2009-01-04,2564.1162168679652
462,2009-01-05,2594.066675378249
463,2009-01-06,3369.803367847215
464,2009-01-07,3824.494954596299
465,2009-01-08,3033.4855112523683
466,2009-01-09,6210.058840111498
467,2009-01-10,5241.845827069898
468,2009-01-11,4540.211724018197
469,2009-01-12,4028.931623162693
