date,MIA,NNR,WPB,S2PMP,S3PMP
9/27/2008,0,105,0,0,0
9/28/2008,0,73,0,0,0
9/29/2008,0,288,0,0,0
9/30/2008,0,95,0,278.54,0
10/1/2008,0,8.5,0,383.98,0
10/2/2008,0,119,0,0,0
10/3/2008,0,19,0,0,0
10/4/2008,0,159,0,0,0
10/5/2008,0,94,0,0,0
10/6/2008,0,-31,0,0,0
10/7/2008,0,-227,0,0,0
10/8/2008,0,-183,0,0,0
10/9/2008,0,12,0,0,0
10/10/2008,0,29,0,0,0
10/11/2008,0,104,0,0,0
10/12/2008,0,-39,0,0,0
10/13/2008,0,59,0,0,0
10/14/2008,0,222,0,0,0
10/15/2008,0,179,0,0,0
10/16/2008,0,-122,0,0,0
10/17/2008,0,-133,0,0,0
10/18/2008,0,-9.9,0,0,0
10/19/2008,0,-32,0,0,0
10/20/2008,0,38,0,0,0
10/21/2008,0,77,0,0,0
10/22/2008,0,24,0,0,0
10/23/2008,0,165,0,0,0
10/24/2008,0,-56,0,0,0
10/25/2008,0,60,0,0,0
10/26/2008,0,8.3,0,0,0
10/27/2008,0,-14,0,0,0
10/28/2008,0,48,0,0,0
10/29/2008,0.32,32,88.31,0,0
10/30/2008,0,16,231.13,0,0
10/31/2008,0,47,164.96,0,0
11/1/2008,238.84,2.1,108.13,0,0
11/2/2008,0,-30,62.98,0,0
11/3/2008,169.86,123,52.32,0,0
11/4/2008,109.49,65,158.42,0,0
11/5/2008,50.92,133,151.66,0,0
11/6/2008,33.71,169,52.04,0,0
11/7/2008,0,-211,83.16,0,0
11/8/2008,0,-135,161.34,0,0
11/9/2008,0,-103,95.52,0,0
11/10/2008,0,-167,71.78,0,0
11/11/2008,0,-260,146.23,0,0
11/12/2008,0,-179,137.54,0,0
11/13/2008,0,-61,222.1,0,0
11/14/2008,0,-112,348.47,0,0
11/15/2008,0,-163,140.28,0,0
11/16/2008,0,-45,0,0,0
11/17/2008,0,-181,428.63,0,0
11/18/2008,0,-320,626.38,0,0
11/19/2008,0,-262,620.96,0,0
11/20/2008,0,-272,449.44,0,0
11/21/2008,0,-285,190.05,0,0
11/22/2008,0,-249,175.67,0,0
11/23/2008,0,-220,221.51,0,0
11/24/2008,0,-192,294.35,0,0
11/25/2008,175.38,65,569.16,0,0
11/26/2008,224.47,82,665.6,0,0
11/27/2008,220.61,97,623.39,0,0
11/28/2008,215.77,-5.3,412.04,0,0
11/29/2008,214.95,-102,352.35,0,0
11/30/2008,75.77,10,139.88,0,0
12/1/2008,0,43,0,0,0
12/2/2008,295.64,122,239.26,0,0
12/3/2008,759.72,374,158.1,0,0
12/4/2008,803.37,620,207.21,0,0
12/5/2008,421.84,366,457.41,0,0
12/6/2008,276.01,358,152.41,0,0
12/7/2008,255.54,316,72.7,0,0
12/8/2008,299.18,263,439.45,0,0
12/9/2008,360.02,181,421.86,0,0
12/10/2008,138.89,126,64.66,0,0
12/11/2008,0,58,0,0,0
12/12/2008,0,76,0,0,0
12/13/2008,0,-0.1,0,0,0
12/14/2008,0,46,0,0,0
12/15/2008,0,49,0,0,0
12/16/2008,55.26,76,0,0,0
12/17/2008,102.04,196,0,0,0
12/18/2008,100.69,81,50.49,0,0
12/19/2008,101.14,86,138.89,0,0
12/20/2008,102.33,82,86.81,0,0
12/21/2008,101.51,-17,64.22,0,0
12/22/2008,146.25,79,162.85,0,0
12/23/2008,213.49,309,68.66,37.96,0
12/24/2008,208.48,232,49.27,0,0
12/25/2008,10.45,44,32.55,0,0
12/26/2008,48.72,97,85.69,0,0
12/27/2008,107.09,97,32.87,0,0
12/28/2008,178.33,95,0,0,0
12/29/2008,423.12,56,0,0,0
12/30/2008,401.57,26,170.63,0,0
12/31/2008,348.09,178,150.31,0,0
1/1/2009,348.13,256,23.81,0,0
1/2/2009,239.09,198,121.47,0,0
1/3/2009,222.54,139,109.64,0,0
1/4/2009,224.81,139,60.85,0,0
1/5/2009,246.12,18,12.73,0,0
1/6/2009,103.45,141,76.37,40.93,37.14
1/7/2009,43.97,116,199.13,0,0
1/8/2009,43.09,43,29.66,0,0
1/9/2009,486.42,429,428.47,0,0
1/10/2009,218.74,388,234.51,0,0
1/11/2009,219.58,413,157.56,0,0
1/12/2009,215.72,327,154.34,0,0
1/13/2009,218.25,265,78.36,0,0
1/14/2009,323.42,366,37.31,0,1.48
1/15/2009,858.83,592,320.15,0,0
1/16/2009,852.61,423,322.22,0,0
1/17/2009,486.43,398,64.73,0,0
1/18/2009,342.46,178,0,0,0
1/19/2009,494.11,408,112.32,0,0
1/20/2009,864.89,736,120.22,0,0
1/21/2009,720.11,671,207.11,0,0
1/22/2009,581.87,413,473.69,0,0
1/23/2009,20.13,-39,152.86,0,0
1/24/2009,442.28,87,42.62,0,0
1/25/2009,413.57,112,86.26,0,0
1/26/2009,332.33,19,346.24,0,0
1/27/2009,340.51,549,416.64,0,0
1/28/2009,538.68,580,464.73,0,0
1/29/2009,521.85,616,401.99,0,0
1/30/2009,309.62,261,108.75,0,0
1/31/2009,46.83,1.9,0,0,0
2/1/2009,170.82,67,0,0,0
2/2/2009,274.78,218,15.88,0,0
2/3/2009,1034.3,674,416.05,0,0
2/4/2009,1090.65,684,580.93,0,0
2/5/2009,774.97,603,240.28,0,0
2/6/2009,174.17,235,177.37,0,0
2/7/2009,0,-5.5,0,0,0
2/8/2009,0,60,0,0,0
2/9/2009,0,197,0,0,0
2/10/2009,334.99,639,0,0,0
2/11/2009,0,542,1.72,0,0
2/12/2009,74.08,408,199.59,0,0
2/13/2009,590.74,350,153.98,0,0
2/14/2009,341.97,357,95.17,0,0
2/15/2009,344.85,360,74.63,0,0
2/16/2009,355.7,271,154.57,0,0
2/17/2009,365.39,242,81.97,0,0
2/18/2009,638.46,303,33.22,0,0
2/19/2009,661.13,288,195.63,0,0
2/20/2009,786.49,505,343.23,0,0
2/21/2009,551.35,491,277.67,0,0
2/22/2009,217.52,354,236.96,0,0
2/23/2009,667.49,387,321.7,0,0
2/24/2009,269.53,617,117.44,0,0
2/25/2009,0,724,315.97,0,0
2/26/2009,0,515,337.88,0,0
2/27/2009,0,273,229.75,0,0
2/28/2009,0,583,161.86,0,0
3/1/2009,0,159,196.56,0,0
3/2/2009,0,406,117.7,0,0
3/3/2009,0,855,425.02,0,0
3/4/2009,0,707,441.8,0,0
3/5/2009,0,541,570.31,0,0
3/6/2009,0,515,546.33,0,0
3/7/2009,0,500,190.42,0,0
3/8/2009,0,446,105.9,0,0
3/9/2009,0,318,545.07,0,0
3/10/2009,42.58,409,525.26,0,0
3/11/2009,347.15,538,444.75,0,0
3/12/2009,620.58,426,455.07,0,0
3/13/2009,699.05,287,655.86,0,0
3/14/2009,512.32,295,344.57,0,0
3/15/2009,499.91,271,86.39,0,0
3/16/2009,559.38,336,513.85,0,0
3/17/2009,617,489,521.09,0,0
3/18/2009,202.04,69,137.18,0,0
3/19/2009,0,-107,0,0,0
3/20/2009,0,-174,0,0,0
3/21/2009,0,181,0,0,0
3/22/2009,0,-77,0,0,0
3/23/2009,0,20,0,0,0
3/24/2009,96.75,0.73,167.85,0,0
3/25/2009,588.06,79,401.22,0,0
3/26/2009,294.83,132,378.34,0,0
3/27/2009,266.99,21,143.91,0,0
3/28/2009,0,-36,0,0,0
3/29/2009,168.47,27,138.56,0,0
3/30/2009,655.22,451,538.72,0,0
3/31/2009,402.63,199,284.65,0,0
4/1/2009,213.27,257,19.91,0,0
4/2/2009,512.84,202,259.01,0,0
4/3/2009,726.6,304,462.14,0,0
4/4/2009,509.75,220,137.34,0,0
4/5/2009,422.73,112,98.7,0,0
4/6/2009,871.69,423,468.7,0,0
4/7/2009,1361.32,646,602.37,0,0
4/8/2009,991.56,538,574.91,0,0
4/9/2009,866.42,517,660.16,0,0
4/10/2009,981.82,504,637.75,0,0
4/11/2009,932.72,417,386.94,0,0
4/12/2009,598.34,325,199.35,0,0
4/13/2009,530.61,499,489.27,0,0
4/14/2009,754.72,456,703.99,0,0
4/15/2009,430.65,537,561.74,0,0
4/16/2009,864.65,680,468.41,0,0
4/17/2009,779.83,492,349.07,0,0
4/18/2009,488.43,325,260.12,0,0
4/19/2009,267.4,230,158.6,0,0
4/20/2009,588.78,328,511.57,0,0
4/21/2009,609.14,-18,471.74,0,0
4/22/2009,969.99,281,420.41,0,0
4/23/2009,961.31,446,233.37,0,0
4/24/2009,1031.09,517,362.72,0,0
4/25/2009,916.94,560,94.86,0,0
4/26/2009,681.89,470,204.36,0,0
4/27/2009,972.77,598,422.8,0,0
4/28/2009,1017.28,656,653.29,0,0
4/29/2009,983.7,631,499.36,0,0
4/30/2009,1256.68,480,708.81,0,0
5/1/2009,1379.12,482,789.03,0,0
5/2/2009,1238.31,372,754.15,0,0
5/3/2009,677.48,336,693.61,0,0
5/4/2009,1163.99,582,725.72,0,0
5/5/2009,1563.93,741,661.41,0,0
5/6/2009,1694.29,791,711.69,0,0
5/7/2009,1662.73,858,691.44,0,0
5/8/2009,1638.13,787,683.19,0,0
5/9/2009,1624.37,644,604.51,0,0
5/10/2009,1613.15,579,454.33,0,0
5/11/2009,1494.73,563,606.33,0,0
5/12/2009,1452.42,531,153.47,0,0
5/13/2009,1229.51,289,0,0,0
5/14/2009,1183.93,420,0,0,0
5/15/2009,1002.32,270,0,0,0
5/16/2009,535.4,114,0,0,0
5/17/2009,249.26,29,0,0,0
5/18/2009,344.62,-39,0,0,0
5/19/2009,-297.52,149,0,0,297.52
5/20/2009,-258.07,365,0,0,258.07
5/21/2009,-370.85,394,0,0,370.85
5/22/2009,0,404,0,0,0
5/23/2009,0,438,0,0,0
5/24/2009,0,54,0,0,0
5/25/2009,0,153,0,0,0
5/26/2009,0,-11,0,0,0
5/27/2009,0,-173,0,0,0
5/28/2009,0,101,0,0,0
5/29/2009,0,-57,0,0,0
5/30/2009,0,47,0,0,0
5/31/2009,0,187,0,0,0
6/1/2009,32.67,141,0,0,0
6/2/2009,56.82,134,0,0,0
6/3/2009,25.52,316,0,0,0
6/4/2009,0,450,0,0,0
6/5/2009,0,486,0,0,0
6/6/2009,0,611,0,0,0
6/7/2009,0,763,0,0,0
6/8/2009,0,687,0,0,0
6/9/2009,0,583,0,0,0
6/10/2009,0,285,0,0,0
6/11/2009,0,352,0,0,0
6/12/2009,0,232,0,0,0
6/13/2009,0,-74,0,0,0
6/14/2009,0,-109,0,0,0
6/15/2009,0,30,0,0,0
6/16/2009,0,16,0,0,0
6/17/2009,16.29,-60,0,0,0
6/18/2009,0,-228,0,0,0
6/19/2009,0,-331,0,0,0
6/20/2009,0,-224,0,0,0
6/21/2009,0,-190,0,0,0
6/22/2009,0,-255,0,0,0
6/23/2009,0,-216,0,0,0
6/24/2009,0,308,0,0,0
6/25/2009,0,351,0,0,0
6/26/2009,0,360,0,0,0
6/27/2009,0,352,0,0,0
6/28/2009,0,211,0,0,0
6/29/2009,0,288,0,0,0
6/30/2009,0,320,0,0,0
7/1/2009,0,330,0,0,0
7/2/2009,-117.37,120,0,139.49,117.37
7/3/2009,0,37,0,0,0
7/4/2009,0,151,0,0,0
7/5/2009,0,112,0,0,0
7/6/2009,0,336,0,0,0
7/7/2009,0,93,0,0,0
7/8/2009,0,90,0,0,0
7/9/2009,0,111,0,0,0
7/10/2009,0,75,0,0,0
7/11/2009,0,114,0,0,0
7/12/2009,0,-94,0,0,0
7/13/2009,0,155,0,0,0
7/14/2009,0,1.4,0,0,0
7/15/2009,0,104,0,0,0
7/16/2009,0,12,0,0,0
7/17/2009,0,26,0,0,0
7/18/2009,79.51,-162,0,0,0
7/19/2009,0,-248,0,0,0
7/20/2009,0,2.3,0,0,0
7/21/2009,0,86,0,73.54,0
7/22/2009,0,130,0,0,0
7/23/2009,0,-57,0,0,0
7/24/2009,0,146,0,0,0
7/25/2009,71.41,28,0,0,0
7/26/2009,0,103,0,0,0
7/27/2009,0,132,0,0,0
7/28/2009,234.21,153,0,0,0
7/29/2009,109.96,99,0,0,0
7/30/2009,0,145,0,0,0
7/31/2009,0,81,0,0,0
8/1/2009,0,-29,0,0,0
8/2/2009,0,20,0,0,0
8/3/2009,0,149,125.57,0,0
8/4/2009,198.83,178,0,0,0
8/5/2009,0,45,0,0,0
8/6/2009,0,-76,0,0,0
8/7/2009,0.47,438,0,0,0
8/8/2009,0,378,16.48,0,0
8/9/2009,0,73,0,0,0
8/10/2009,-42.9,72,0,0,42.9
8/11/2009,0,499,0,0,0
8/12/2009,0,508,0,114.65,0
8/13/2009,0,383,0,0,0
8/14/2009,0,212,0,0,0
8/15/2009,0,83,0,0,0
8/16/2009,0,91,0,0,0
8/17/2009,0,-20,0,0,0
8/18/2009,0,160,0,0,0
8/19/2009,0,129,0,0,0
8/20/2009,176.62,199,0,0,0
8/21/2009,0,105,0,0,0
8/22/2009,0,227,0,0,0
8/23/2009,44.12,188,0,0,0
8/24/2009,71.25,-105,0,0,0
8/25/2009,0,-76,0,0,0
8/26/2009,14.72,224,0,0,0
8/27/2009,0,155,0,0,0
8/28/2009,0,136,0,0,0
8/29/2009,0,150,0,0,0
8/30/2009,0,302,0,0,0
8/31/2009,0,221,0,0,0
9/1/2009,0,47,0,0,0
9/2/2009,0,17,0,0,0
9/3/2009,0,156,0.18,0,0
9/4/2009,0,-20,0,0,0
9/5/2009,0,45,0,0,0
9/6/2009,0,-24,0,0,0
9/7/2009,0,209,0,0,0
9/8/2009,0,132,0,0,0
9/9/2009,0,16,0,0,0
9/10/2009,0,133,0,0,0
9/11/2009,0,61,0,43.43,0
9/12/2009,0,58,0,0,0
9/13/2009,0,68,0,0,0
9/14/2009,0,430,0,0,0
9/15/2009,0,113,0,0,0
9/16/2009,0,-35,0,0,0
9/17/2009,0,113,0,0,0
9/18/2009,0,-77,0,0,0
9/19/2009,116.86,-272,0,0,0
9/20/2009,0,-146,0,0,0
9/21/2009,0,-63,0,0,0
9/22/2009,0,-29,0,0,0
9/23/2009,0,67,0,0,0
9/24/2009,0,99,0,0,0
9/25/2009,0,102,0,0,0
9/26/2009,0,112,0,0,0
9/27/2009,0,29,0,0,0
9/28/2009,0,141,0,0,0
9/29/2009,0,-91,0,0,0
9/30/2009,0,-67,0,0,0
10/1/2009,0,-110,0,0,0
10/2/2009,0,-129,0,0,0
10/3/2009,0,-56,0,0,0
10/4/2009,0,-53,0,0,0
10/5/2009,142.21,-18,0,0,0
10/6/2009,0,122,0,65.67,0
10/7/2009,0,22,0,0,0
10/8/2009,0,5.1,0,0,0
10/9/2009,0,-79,0,0,0
10/10/2009,0,-53,0,0,0
10/11/2009,0,-147,0,0,0
10/12/2009,0,30,0,0,0
10/13/2009,0,-9.8,0,0,0
10/14/2009,-95.46,-60,0,0,95.45
10/15/2009,0,-148,0,0,0
10/16/2009,0,-9.5,257.77,0,0
10/17/2009,0,59,2.28,0,0
10/18/2009,0,33,0,0,0
10/19/2009,0,58,97.44,0,0
10/20/2009,0,-8.6,319.2,0,0
10/21/2009,252.83,159,275.7,0,0
10/22/2009,217.64,254,371.8,78.86,141.92
10/23/2009,100.03,145,153.8,0,0
10/24/2009,166.8,42,0.32,0,0
10/25/2009,0,206,0,0,0
10/26/2009,0,380,0,0,0
10/27/2009,427.13,250,0,0,0
10/28/2009,205.37,92,0,0,0
10/29/2009,60.32,142,0,0,0
10/30/2009,0,97,0,0,0
10/31/2009,131.99,105,0,0,0
11/1/2009,285.44,29,0,0,0
11/2/2009,143.52,143,0,0,0
11/3/2009,300.97,196,47.24,0,0
11/4/2009,224.08,203,37.52,0,0
11/5/2009,247.21,103,0,0,0
11/6/2009,256.4,136,0,0,0
11/7/2009,206.99,75,0,0,0
11/8/2009,198.09,15,2.92,0,0
11/9/2009,248.98,256,142.95,0,0
11/10/2009,464.2,213,116.67,0,0
11/11/2009,183.65,66,132.14,0,0
11/12/2009,338.18,189,101.74,0,0
11/13/2009,410.32,173,8.39,0,0
11/14/2009,542.88,321,97.36,0,0
11/15/2009,539.6,282,111.36,0,0
11/16/2009,536.57,437,227.66,0,0
11/17/2009,708.9,420,359.21,0,0
11/18/2009,872.1,277,423.63,0,0
11/19/2009,574.54,96,507.45,0,0
11/20/2009,423.91,150,446.72,0,0
11/21/2009,247.27,94,253.47,0,0
11/22/2009,243.36,128,83.13,0,0
11/23/2009,255.41,133,213.45,0,0
11/24/2009,169.87,47,172.79,0,0
11/25/2009,0,-9,0,0,0
11/26/2009,0,223,0,0,0
11/27/2009,0,129,0,0,0
11/28/2009,0,1.1,0,0,0
11/29/2009,0,-48,0,0,0
11/30/2009,0,4.6,0,0,0
12/1/2009,0,-46,0,0,0
12/2/2009,0,-26,0,0,0
12/3/2009,0,-22,0.09,0,0
12/4/2009,0,116,0,0,0
12/5/2009,0,16,0,0,0
12/6/2009,0,124,0,0,0
12/7/2009,0,-10,0,0,0
12/8/2009,0,-64,0,0,0
12/9/2009,0,-91,0,0,0
12/10/2009,0,-60,0,0,0
12/11/2009,0,-2.7,0,0,0
12/12/2009,0,66,0,0,0
12/13/2009,0,455,0,0,0
12/14/2009,0,464,0,0,0
12/15/2009,0,292,0,0,0
12/16/2009,0,72,0,0,0
12/17/2009,0,217,0,0,0
12/18/2009,0,197,0,0,0
12/19/2009,0,232,0,81.2,0
12/20/2009,0,155,0,0,0
12/21/2009,0,-183,0,0,0
12/22/2009,0,-172,0,35.58,0
12/23/2009,0,-148,0,0,0
12/24/2009,0,-30,0,0,0
12/25/2009,0,-92,0,0,0
12/26/2009,0,3.4,0,0,0
12/27/2009,0,-31,0,0,0
12/28/2009,0,-167,0,0,0
12/29/2009,0,-51,0,0,0
12/30/2009,0,5.1,0,0,0
12/31/2009,0,2.4,0,0,0
1/1/2010,0,-69,0,0,0
1/2/2010,0,20,0,0,0
1/3/2010,35.88,46,0,0,0
1/4/2010,113.24,140,90.31,0,0
1/5/2010,178.08,128,203.27,0,0
1/6/2010,323.42,115,147.29,0,0
1/7/2010,85.47,5.2,46.78,0,0
1/8/2010,10.04,-27,0,0,0
1/9/2010,96.65,17,0,0,0
1/10/2010,105.73,14,0,0,0
1/11/2010,131.38,21,0,0,0
