date,INDUST_cms,INDUST_cmd
11/20/2008,3.284754206,283802.7634
11/21/2008,2.435248808,210405.497
11/22/2008,0.07928717,6850.411529
11/23/2008,0.311485313,26912.33101
11/24/2008,1.699010796,146794.5328
11/25/2008,2.888318353,249550.7057
11/26/2008,4.587329149,396345.2385
11/27/2008,6.682775798,577391.8289
11/28/2008,5.380200854,464849.3538
11/29/2008,3.851091138,332734.2743
11/30/2008,1.727327643,149241.1083
12/1/2008,0.283168466,24465.75546
12/2/2008,0.651287472,56271.23756
12/3/2008,1.783961336,154134.2594
12/4/2008,2.690100427,232424.6769
12/5/2008,4.757230229,411024.6918
12/6/2008,4.190893297,362093.1808
12/7/2008,3.737823751,322947.9721
12/8/2008,2.095446648,181046.5904
12/9/2008,2.406931961,207958.9214
12/10/2008,0.566336932,48931.51092
12/11/2008,0,0
12/12/2008,0,0
12/13/2008,0,0
12/14/2008,0,0
12/15/2008,0,0
12/16/2008,0,0
12/17/2008,0.509703239,44038.35983
12/18/2008,0.277505097,23976.44035
12/19/2008,0.110435702,9541.64463
12/20/2008,0.679604318,58717.81311
12/21/2008,0.481386392,41591.78429
12/22/2008,0.481386392,41591.78429
12/23/2008,0.232198142,20061.91948
12/24/2008,0.792871705,68504.11529
12/25/2008,0.509703239,44038.35983
12/26/2008,1.58574341,137008.2306
12/27/2008,1.58574341,137008.2306
12/28/2008,0.481386392,41591.78429
12/29/2008,2.123763495,183493.166
12/30/2008,1.58574341,137008.2306
12/31/2008,0.622970625,53824.66202
1/1/2009,0.283168466,24465.75546
1/2/2009,0.509703239,44038.35983
1/3/2009,1.189307557,102756.1729
1/4/2009,1.41584233,122328.7773
1/5/2009,1.189307557,102756.1729
1/6/2009,0.257683304,22263.83747
1/7/2009,0.594653779,51378.08647
1/8/2009,2.180397188,188386.3171
1/9/2009,3.171486819,274016.4612
1/10/2009,0.962772784,83183.56857
1/11/2009,0.240693196,20795.89214
1/12/2009,1.160990711,100309.5974
1/13/2009,1.104357017,95416.4463
1/14/2009,0.934455938,80736.99303
1/15/2009,2.067129802,178600.0149
1/16/2009,2.152080342,185939.7415
1/17/2009,1.019406478,88076.71966
1/18/2009,0.226534773,19572.60437
1/19/2009,1.557426563,134561.655
1/20/2009,2.803367813,242210.9791
1/21/2009,3.851091138,332734.2743
1/22/2009,2.888318353,249550.7057
1/23/2009,1.41584233,122328.7773
1/24/2009,0.792871705,68504.11529
1/25/2009,0,0
1/26/2009,0.764554858,66057.53975
1/27/2009,1.472476023,127221.9284
1/28/2009,1.302574944,112542.4751
1/29/2009,1.642377103,141901.3817
1/30/2009,1.812278182,156580.835
1/31/2009,1.41584233,122328.7773
2/1/2009,0.283168466,24465.75546
2/2/2009,0.566336932,48931.51092
2/3/2009,0.707921165,61164.38866
2/4/2009,2.66178358,229978.1013
2/5/2009,2.718417274,234871.2524
2/6/2009,1.557426563,134561.655
