date,RF_acft
5/29/2009,9468.58
5/30/2009,72.185
5/31/2009,72.57166667
6/1/2009,0
6/2/2009,0
6/3/2009,2047.313333
6/4/2009,9974.466667
6/5/2009,19656.375
6/6/2009,17418.69167
6/7/2009,2631.125
6/8/2009,526.925
6/9/2009,0
6/10/2009,3940.3
6/11/2009,0
6/12/2009,76.09166667
6/13/2009,533.1083333
6/14/2009,0
6/15/2009,11588.73333
6/16/2009,2139.9
6/17/2009,458.75
6/18/2009,4983.225
6/19/2009,153.8633333
6/20/2009,0
6/21/2009,0
6/22/2009,0
6/23/2009,68992.32667
6/24/2009,312.9466667
6/25/2009,0
6/26/2009,4785.246667
6/27/2009,942.116
6/28/2009,6049.286833
6/29/2009,33842.809
6/30/2009,9202.125333
7/1/2009,23937.2
7/2/2009,42834.06867
7/3/2009,9093.242667
7/4/2009,81.54116667
7/5/2009,3108.311333
7/6/2009,164.0323333
7/7/2009,0
7/8/2009,0
7/9/2009,6709.0815
7/10/2009,749.1165
7/11/2009,19884.82067
7/12/2009,12716.56567
7/13/2009,1101.056667
7/14/2009,1276
7/15/2009,85.39966667
7/16/2009,0
7/17/2009,0
7/18/2009,257.309
7/19/2009,8677.684333
7/20/2009,258.419
7/21/2009,1036.784
7/22/2009,0
7/23/2009,0
7/24/2009,0
7/25/2009,1126.549667
7/26/2009,9625.1615
7/27/2009,86.995
7/28/2009,3662.344
7/29/2009,2796.373333
7/30/2009,7535.463333
7/31/2009,87.841
8/1/2009,3341.53
8/2/2009,264.134
8/3/2009,616.7513333
8/4/2009,88.23266667
8/5/2009,795.081
8/6/2009,5928.383333
8/7/2009,11456.791
8/8/2009,6330.147
8/9/2009,268.082
8/10/2009,1075.712
8/11/2009,6208.045
8/12/2009,3153.943333
8/13/2009,3789.996
8/14/2009,0
8/15/2009,10424.21333
8/16/2009,1453.649333
8/17/2009,0
8/18/2009,1817.061667
8/19/2009,90.85308333
8/20/2009,0
8/21/2009,25071.817
8/22/2009,3094.153
8/23/2009,2092.800667
8/24/2009,819.09975
8/25/2009,1729.836
8/26/2009,1457.230667
8/27/2009,1548.307583
8/28/2009,6012.38
8/29/2009,22152.4875
8/30/2009,4015.495
8/31/2009,4208.011
9/1/2009,4300.727167
9/2/2009,2380.495
9/3/2009,366.6513333
9/4/2009,6239.787667
9/5/2009,275.67975
9/6/2009,183.905
9/7/2009,91.992
9/8/2009,0
9/9/2009,0
9/10/2009,5249.17275
9/11/2009,4518.25325
9/12/2009,19307.50708
9/13/2009,9435.068
9/14/2009,1387.88625
9/15/2009,0
9/16/2009,0
9/17/2009,1573.242333
9/18/2009,832.9575
9/19/2009,185.116
9/20/2009,1018.3745
9/21/2009,92.59741667
9/22/2009,1389.1225
9/23/2009,0
9/24/2009,1204.045917
9/25/2009,0
9/26/2009,0
9/27/2009,648.3825833
9/28/2009,0
9/29/2009,0
9/30/2009,0
10/1/2009,0
10/2/2009,0
10/3/2009,0
10/4/2009,0
10/5/2009,3143.1725
10/6/2009,36986.4
10/7/2009,370.0456667
10/8/2009,92.4935
10/9/2009,0
10/10/2009,0
10/11/2009,0
10/12/2009,92.32775
10/13/2009,0
10/14/2009,0
10/15/2009,0
10/16/2009,460.5195833
10/17/2009,183.9181667
10/18/2009,0
10/19/2009,457.7216667
10/20/2009,91.56408333
10/21/2009,0
10/22/2009,914.9825
10/23/2009,274.396
10/24/2009,0
10/25/2009,91.37975
10/26/2009,0
10/27/2009,0
10/28/2009,182.6015
10/29/2009,0
10/30/2009,91.22175
10/31/2009,91.15591667
11/1/2009,0
11/2/2009,91.05716667
11/3/2009,90.95841667
11/4/2009,90.87283333
11/5/2009,271.701
11/6/2009,180.6953333
11/7/2009,90.191
11/8/2009,270.291
11/9/2009,179.9433333
11/10/2009,179.724
11/11/2009,0
11/12/2009,0
11/13/2009,178.3766667
11/14/2009,89.09433333
11/15/2009,0
11/16/2009,266.296
11/17/2009,0
11/18/2009,442.495
11/19/2009,88.311
11/20/2009,0
11/21/2009,0
11/22/2009,88.04466667
11/23/2009,439.7533333
11/24/2009,175.682
11/25/2009,12403.253
11/26/2009,351.8026667
11/27/2009,87.52766667
11/28/2009,262.63
11/29/2009,175.0553333
11/30/2009,0
12/1/2009,87.465
12/2/2009,0
12/3/2009,2361.978
12/4/2009,5417.002
12/5/2009,26218.636
12/6/2009,0
12/7/2009,0
12/8/2009,176.6846667
12/9/2009,88.37366667
12/10/2009,265.074
12/11/2009,88.18566667
12/12/2009,617.848
12/13/2009,176.4966667
12/14/2009,0
12/15/2009,529.396
12/16/2009,264.557
12/17/2009,5030.155
12/18/2009,17458.99367
12/19/2009,265.027
12/20/2009,0
12/21/2009,0
12/22/2009,792.825
12/23/2009,264.463
12/24/2009,88.24833333
12/25/2009,1235.038
12/26/2009,176.2146667
12/27/2009,88.076
12/28/2009,87.90366667
12/29/2009,613.7903333
12/30/2009,87.747
12/31/2009,87.77833333
1/1/2010,7108.776
1/2/2010,525.542
1/3/2010,87.48066667
1/4/2010,87.30833333
1/5/2010,261.408
1/6/2010,260.797
1/7/2010,86.91666667
1/8/2010,260.639
1/9/2010,5448.9435
1/10/2010,258.6965
1/11/2010,86.38016667
1/12/2010,172.9453333
1/13/2010,0
1/14/2010,0
