date,ETVol_acft
1/28/2009,4247.132167
1/29/2009,3548.413333
1/30/2009,948.1468333
1/31/2009,4452.326667
2/1/2009,4543.831333
2/2/2009,1889.781667
2/3/2009,3933.490667
2/4/2009,4507.552833
2/5/2009,5321.904
2/6/2009,4723.329333
2/7/2009,2870.251667
2/8/2009,4052.12
2/9/2009,3628.433167
2/10/2009,4043.24
2/11/2009,4460.488833
2/12/2009,4539.654
2/13/2009,4530.663
2/14/2009,4357.088667
2/15/2009,4520.673
2/16/2009,4335.924667
2/17/2009,5063.803167
2/18/2009,4479.714
2/19/2009,3637.927333
2/20/2009,4769.610667
2/21/2009,5174.2005
2/22/2009,4842.316833
2/23/2009,4257.924667
2/24/2009,4251.996667
2/25/2009,5150.859
2/26/2009,4979.226667
2/27/2009,5380.463
2/28/2009,4965.898167
3/1/2009,3164.5445
3/2/2009,4366.287
3/3/2009,5330.93
3/4/2009,3386.425
3/5/2009,5157.226667
3/6/2009,4828.63
3/7/2009,5064.0765
3/8/2009,4979.571333
3/9/2009,5535.8815
3/10/2009,5770.416
3/11/2009,5443.377333
3/12/2009,4796.14
3/13/2009,5348.085167
3/14/2009,4942.464333
3/15/2009,5894.408333
3/16/2009,5650.972833
3/17/2009,3574.0425
3/18/2009,2065.548333
3/19/2009,4847.375167
3/20/2009,5476.576
3/21/2009,2615.767
3/22/2009,5307.282167
3/23/2009,3962.233333
3/24/2009,5458.4635
3/25/2009,4977.861
3/26/2009,5282.659667
3/27/2009,4803.180667
3/28/2009,3541.9125
3/29/2009,1805.963833
3/30/2009,5407.7485
3/31/2009,4389.485333
4/1/2009,3919.708333
4/2/2009,4544.425667
4/3/2009,1485.698667
4/4/2009,4056.840667
4/5/2009,4518.847667
4/6/2009,4736.568667
4/7/2009,4082.325
4/8/2009,5848.833333
4/9/2009,4915.946667
4/10/2009,4444.25
4/11/2009,4734.216667
4/12/2009,4880.106667
4/13/2009,5102.608333
4/14/2009,3168.41
4/15/2009,3995.405
4/16/2009,6395.258333
4/17/2009,5023.101667
4/18/2009,5007.021667
4/19/2009,5665.42
4/20/2009,4236.145
4/21/2009,4739.306667
4/22/2009,5247.255
4/23/2009,5162.15
4/24/2009,5880.4
4/25/2009,4837.25
4/26/2009,5331.798333
4/27/2009,5236.68
4/28/2009,5142.175
4/29/2009,4974.325
4/30/2009,5813.505
5/1/2009,6141.403333
5/2/2009,6329.531667
5/3/2009,6315.291667
5/4/2009,6078.336667
5/5/2009,6125.525
5/6/2009,5966.291667
5/7/2009,6156.846667
5/8/2009,3069.843333
5/9/2009,4380.4425
5/10/2009,1108.333333
5/11/2009,1520.383333
5/12/2009,4481.479167
5/13/2009,5021.974167
5/14/2009,4468.1
5/15/2009,4269.94
5/16/2009,5635.791667
5/17/2009,5689.235
5/18/2009,2802.35
5/19/2009,3019.316667
5/20/2009,3243
5/21/2009,3965.7275
5/22/2009,3333.84
5/23/2009,3065.076667
5/24/2009,4450.666667
5/25/2009,5643.405
5/26/2009,4208.25
5/27/2009,4721.713333
5/28/2009,4334.965
5/29/2009,4016.973333
5/30/2009,4619.84
5/31/2009,6241.163333
6/1/2009,6402.733333
6/2/2009,5980.396667
6/3/2009,6215.058333
6/4/2009,6234.041667
6/5/2009,5192.25
6/6/2009,3588.4
6/7/2009,3758.75
6/8/2009,5269.25
6/9/2009,7094.65
6/10/2009,6592.425
6/11/2009,6682.866667
6/12/2009,6315.608333
6/13/2009,7082.725
6/14/2009,6630.125
6/15/2009,6785.508333
6/16/2009,6419.7
6/17/2009,6040.208333
6/18/2009,5979.87
6/19/2009,6693.055
6/20/2009,7082.62
6/21/2009,6230.385
6/22/2009,6224.985
6/23/2009,2793.84
6/24/2009,6571.88
6/25/2009,6423.155667
6/26/2009,4314.566667
6/27/2009,5024.618667
6/28/2009,4713.73
6/29/2009,2761.068333
6/30/2009,3411.132667
7/1/2009,4228.905333
7/2/2009,2898.546
7/3/2009,5845.656
7/4/2009,6930.999167
7/5/2009,6216.622667
7/6/2009,5249.034667
7/7/2009,5507.813167
7/8/2009,5523.457667
7/9/2009,3727.2675
7/10/2009,3162.936333
7/11/2009,4595.231667
7/12/2009,5474.018333
7/13/2009,4827.71
7/14/2009,5274.133333
7/15/2009,5465.578667
7/16/2009,5477.418667
7/17/2009,3511.246833
7/18/2009,3859.635
7/19/2009,2835.283
7/20/2009,3187.167667
7/21/2009,5183.92
7/22/2009,4411.0495
7/23/2009,5021.852667
7/24/2009,4503.312667
7/25/2009,4679.514
7/26/2009,5376.216333
7/27/2009,5741.67
7/28/2009,4359.933333
7/29/2009,5243.2
7/30/2009,3767.731667
7/31/2009,6148.87
8/1/2009,6858.93
