date,Outflows_acft,LO_Outflows_cmd
10/26/2008,1061.15855,1308917.849
10/27/2008,1470.349284,1813646.435
10/28/2008,1285.291116,1585380.886
10/29/2008,1602.924696,1977175.554
10/30/2008,1722.369466,2124508.289
10/31/2008,1499.784017,1849953.589
11/1/2008,2049.285694,2527752.917
11/2/2008,1426.078099,1759038.814
11/3/2008,2029.054244,2502797.829
11/4/2008,2529.623363,3120239.826
11/5/2008,2591.447752,3196498.973
11/6/2008,1778.421756,2193647.668
11/7/2008,1571.228076,1938078.407
11/8/2008,2075.387505,2559948.979
11/9/2008,2242.3563,2765901.648
11/10/2008,2427.731814,2994558.638
11/11/2008,2856.657548,3523629.953
11/12/2008,3408.677896,4204536.011
11/13/2008,3076.565161,3794881.594
11/14/2008,3087.216945,3808020.357
11/15/2008,2103.036999,2594054.077
11/16/2008,1664.133604,2052675.518
11/17/2008,3634.972311,4483665.646
11/18/2008,3684.063221,4544218.302
11/19/2008,3956.949444,4880818
11/20/2008,4410.331357,5440055.522
11/21/2008,3459.870613,4267681.204
11/22/2008,3321.265719,4096714.839
11/23/2008,2083.658144,2570150.648
11/24/2008,3208.942756,3958166.711
11/25/2008,5801.599311,7156156.718
11/26/2008,5703.000125,7034536.594
11/27/2008,5343.853004,6591535.804
11/28/2008,4649.339821,5734867.682
11/29/2008,4196.830251,5176706.179
11/30/2008,2193.422951,2705543.341
12/1/2008,319.3392143,393898.5341
12/2/2008,2341.371692,2888035.155
12/3/2008,5066.169,6249018.138
12/4/2008,6437.483074,7940506.623
12/5/2008,5415.119853,6679442.036
12/6/2008,4715.15222,5816045.961
12/7/2008,2720.294055,3355428.311
12/8/2008,4064.931105,5014011.22
12/9/2008,4106.226588,5064948.371
12/10/2008,2577.364453,3179127.505
12/11/2008,2100.49809,2590922.384
12/12/2008,561.3227653,692380.4045
12/13/2008,220.165539,271569.789
12/14/2008,918.3484758,1132764.478
12/15/2008,337.1905851,415917.8429
12/16/2008,1641.760987,2025079.342
12/17/2008,2375.14985,2929699.837
12/18/2008,1987.122585,2451075.966
12/19/2008,1877.039717,2315290.95
12/20/2008,2057.892278,2538368.967
12/21/2008,1362.902809,1681113.357
12/22/2008,2487.671663,3068493.242
12/23/2008,3650.681607,4503042.749
12/24/2008,3838.754129,4735026.443
12/25/2008,1939.91489,2392846.219
12/26/2008,2064.51712,2546540.578
12/27/2008,2066.897511,2549476.742
12/28/2008,1547.822485,1909208.079
12/29/2008,2714.24379,3347965.43
12/30/2008,4047.374938,4992356.039
12/31/2008,3995.447154,4928304.156
1/1/2009,4578.271183,5647205.938
1/2/2009,3942.806458,4863372.91
1/3/2009,3216.518262,3967510.946
1/4/2009,2564.114504,3162783.958
1/5/2009,2594.064974,3199727.265
1/6/2009,3369.801478,4156582.727
1/7/2009,3824.491981,4717434.369
1/8/2009,3033.482473,3741739.96
1/9/2009,6210.055889,7659979.738
1/10/2009,5241.843118,6465708.649
1/11/2009,4540.209189,5600257.23
1/12/2009,4028.929459,4969603.909
1/13/2009,3744.479677,4618740.792
1/14/2009,4158.093281,5128924.9
1/15/2009,7822.242596,9648579.797
1/16/2009,7536.800336,9296492.478
1/17/2009,4764.877555,5877381.167
1/18/2009,2622.528339,3234836.256
1/19/2009,3741.405925,4614949.381
1/20/2009,9033.984801,11143239.57
1/21/2009,9689.878044,11952270.77
1/22/2009,9091.167466,11213773.25
1/23/2009,2970.091456,3663548.409
1/24/2009,2288.6509,2823005.112
1/25/2009,2207.487476,2722891.652
1/26/2009,2998.1985,3698217.886
1/27/2009,4326.313244,5336420.861
1/28/2009,5731.781371,7070037.685
1/29/2009,7483.741746,9231045.769
1/30/2009,4937.437478,6090230.381
1/31/2009,1751.465075,2160397.141
2/1/2009,2874.428222,3545549.724
2/2/2009,2271.09645,2801352.049
2/3/2009,6449.760759,7955650.901
2/4/2009,8877.372789,10950061.79
2/5/2009,7854.155332,9687943.519
2/6/2009,4943.547162,6097766.554
2/7/2009,936.1991088,1154782.877
2/8/2009,1326.942775,1636757.374
2/9/2009,3160.6624,3898613.857
2/10/2009,6001.849892,7403161.805
2/11/2009,3830.463194,4724799.741
2/12/2009,4162.912865,5134869.761
2/13/2009,4739.66806,5846285.759
2/14/2009,3760.347994,4638314.044
2/15/2009,3104.988428,3829941.127
2/16/2009,5134.73425,6333592.003
2/17/2009,6351.078503,7833928.312
2/18/2009,6034.379124,7443285.962
2/19/2009,4468.985011,5512403.632
2/20/2009,6454.08294,7960982.225
2/21/2009,5407.483354,6670022.567
2/22/2009,3147.951056,3882934.669
2/23/2009,4339.880031,5353155.22
2/24/2009,4191.079345,5169612.551
2/25/2009,4753.195118,5862971.115
2/26/2009,5238.133486,6461132.892
2/27/2009,5611.817629,6922064.809
2/28/2009,5141.576981,6342032.375
3/1/2009,2682.607271,3308942.417
3/2/2009,3624.856273,4471187.716
3/3/2009,5809.929644,7166432.017
3/4/2009,3878.663454,4784253.797
3/5/2009,5432.098028,6700384.276
3/6/2009,4713.169177,5813599.917
3/7/2009,4257.742752,5251840.53
3/8/2009,3005.160327,3706805.161
3/9/2009,3895.0264,4804437.164
3/10/2009,4702.894292,5800926.051
3/11/2009,5520.342843,6809232.49
3/12/2009,5444.932101,6716214.848
3/13/2009,5538.334389,6831424.702
3/14/2009,4061.836546,5010194.143
3/15/2009,3183.733036,3927071.025
3/16/2009,4266.670327,5262852.515
3/17/2009,4967.689018,6127545.05
3/18/2009,2568.477938,3168166.166
3/19/2009,817.1902362,1007987.812
3/20/2009,491.9009457,606749.9785
3/21/2009,311.9999713,384845.7247
3/22/2009,366.9421863,452615.848
3/23/2009,623.4052021,768957.8487
3/24/2009,2015.565145,2486159.295
3/25/2009,4952.731969,6109095.829
3/26/2009,4219.69958,5204915.038
