date,NH4_Load_mg
4/2/2017,29146115.65
4/3/2017,32665453.41
4/4/2017,34917685.22
4/5/2017,82871906.3
4/6/2017,40799731.67
4/7/2017,67911305.67
4/8/2017,70721350.6
4/9/2017,83089169.2
4/10/2017,55170107.31
4/11/2017,46241095.68
4/12/2017,46584573.92
4/13/2017,72718453.52
4/14/2017,121227928.4
4/15/2017,179807581.6
4/16/2017,163156080.1
4/17/2017,160932803.5
4/18/2017,146990258.8
4/19/2017,142716860.3
4/20/2017,107755872.4
4/21/2017,64935645.06
4/22/2017,70678456.89
4/23/2017,176758966.8
4/24/2017,211892647.9
4/25/2017,139643765.7
4/26/2017,57821471.71
4/27/2017,93949327.56
4/28/2017,84972329.85
4/29/2017,84194091.65
4/30/2017,89061686.51
5/1/2017,55886701.13
5/2/2017,44901875.17
5/3/2017,354589355.4
5/4/2017,253795059.9
5/5/2017,224139642.4
5/6/2017,167644025.9
5/7/2017,40478644.84
5/8/2017,12540705.87
5/9/2017,2601964.549
5/10/2017,37369617.02
5/11/2017,88329625.67
5/12/2017,54220311.73
5/13/2017,123168005.2
5/14/2017,77625592.04
5/15/2017,68559677.02
5/16/2017,30012037.37
5/17/2017,48481763.94
5/18/2017,80207008.83
5/19/2017,69162254.6
5/20/2017,69382886.77
5/21/2017,116345320.3
5/22/2017,61889235.59
5/23/2017,52520182.89
5/24/2017,51484142.04
5/25/2017,112882664.5
5/26/2017,68464445.81
5/27/2017,75537778.83
5/28/2017,52801643.93
5/29/2017,63260663.52
5/30/2017,34176213.8
5/31/2017,35231316.98
6/1/2017,59114347.09
6/2/2017,70778333.09
6/3/2017,187697179.6
6/4/2017,479929921.5
6/5/2017,647827933.4
6/6/2017,1042356265
6/7/2017,2488751427
6/8/2017,2954678730
6/9/2017,3017410595
6/10/2017,2049575921
6/11/2017,809601735.2
6/12/2017,830055522.3
6/13/2017,979508735.5
6/14/2017,856309453.4
6/15/2017,1112457859
6/16/2017,2711017612
6/17/2017,2954551133
6/18/2017,1775177644
6/19/2017,3424890791
6/20/2017,2719268766
6/21/2017,2840310578
6/22/2017,2038774637
6/23/2017,1446510907
6/24/2017,1207183128
6/25/2017,928765288.1
6/26/2017,1125579593
6/27/2017,1063347704
6/28/2017,813568080.6
6/29/2017,761894816
6/30/2017,726260117.3
7/1/2017,766642729.1
7/2/2017,767848204.2
7/3/2017,508422923.9
7/4/2017,373897238.1
7/5/2017,279780615.4
7/6/2017,325071468.3
7/7/2017,300352905
7/8/2017,283690808.1
