date,Inflows_cmd
2016-10-20,7543306.189922627
2016-10-21,6083067.5751492875
2016-10-22,6035750.804085002
2016-10-23,5098590.041097776
2016-10-24,4726857.352602062
2016-10-25,3855338.2115204604
2016-10-26,3945812.5752204065
2016-10-27,3459482.2881388245
2016-10-28,2821537.7144567408
2016-10-29,3092495.956202822
2016-10-30,2732996.145438313
2016-10-31,3586997.805608848
2016-11-01,2992455.4821170704
2016-11-02,2312601.0693278997
2016-11-03,3082685.1882623993
2016-11-04,2301713.808147132
2016-11-05,2491714.865068132
2016-11-06,2411589.515928764
2016-11-07,2359501.9225493222
2016-11-08,2251192.023117278
2016-11-09,2922263.2296954417
2016-11-10,2154723.549329034
2016-11-11,2320503.508342251
2016-11-12,2242898.132015516
2016-11-13,2048321.97882305
2016-11-14,2197709.8816764634
2016-11-15,2118538.697000136
2016-11-16,2040933.320673408
2016-11-17,2002791.207907528
2016-11-18,1991292.302840202
2016-11-19,2035942.306559082
2016-11-20,2024761.456312758
2016-11-21,2018767.3462244736
2016-11-22,2010669.181166416
2016-11-23,2261443.1746560154
2016-11-24,1985811.9736166159
2016-11-25,1981457.069144314
2016-11-26,2025568.826243022
2016-11-27,1943168.161845658
2016-11-28,1958777.3138306683
2016-11-29,1950948.2720827034
2016-11-30,2062438.7197248535
2016-12-01,2506981.4964766665
2016-12-02,2044016.0058616756
2016-12-03,1920463.9407765516
2016-12-04,1821793.5489966946
2016-12-05,2108507.7372605605
2016-12-06,1970716.602496319
2016-12-07,2142784.2606633753
2016-12-08,2148680.5077298195
2016-12-09,1952000.2995675826
2016-12-10,1990876.384997336
2016-12-11,1958557.122031512
2016-12-12,2204951.745293333
2016-12-13,2199642.676357998
2016-12-14,2090672.201528469
2016-12-15,2309224.7950740918
2016-12-16,1841855.4684758543
2016-12-17,1808386.315003296
2016-12-18,1799872.2321023769
2016-12-19,2070023.1039182032
2016-12-20,1940550.3260111792
2016-12-21,1997922.5225705109
2016-12-22,2365104.5805502064
2016-12-23,1854969.113403708
2016-12-24,1839653.550484244
2016-12-25,1834050.892483353
2016-12-26,1755662.6119818215
2016-12-27,1580267.611071875
2016-12-28,1434892.092114299
2016-12-29,1996576.9060200742
2016-12-30,1361372.496949789
2016-12-31,1264830.6258951528
2017-01-01,1244303.8570621985
2017-01-02,1233808.0479688288
2017-01-03,1231239.1436452821
2017-01-04,1645150.794558168
2017-01-05,1413313.2957964565
