Date,Data,fd
2/10/2009,11.22869197,0.467862165
2/11/2009,11.25195332,0.468831388
2/12/2009,11.27542902,0.469809543
2/13/2009,11.29911054,0.470796273
2/14/2009,11.32298953,0.47179123
2/15/2009,11.34705783,0.472794076
2/16/2009,11.37130747,0.473804478
2/17/2009,11.39573066,0.474822111
2/18/2009,11.42031983,0.47584666
2/19/2009,11.44506756,0.476877815
2/20/2009,11.46996664,0.477915277
2/21/2009,11.49501003,0.478958751
2/22/2009,11.52019089,0.480007954
2/23/2009,11.54550253,0.481062605
2/24/2009,11.57093846,0.482122436
2/25/2009,11.59649235,0.483187181
2/26/2009,11.62215802,0.484256584
2/27/2009,11.64792947,0.485330395
2/28/2009,11.67380085,0.486408369
3/1/2009,11.69976646,0.487490269
3/2/2009,11.72582075,0.488575865
3/3/2009,11.7519583,0.489664929
3/4/2009,11.77817382,0.490757243
3/5/2009,11.80446218,0.491852591
3/6/2009,11.83081832,0.492950763
3/7/2009,11.85723735,0.494051556
3/8/2009,11.88371445,0.495154769
3/9/2009,11.91024492,0.496260205
3/10/2009,11.93682416,0.497367673
3/11/2009,11.96344763,0.498476985
3/12/2009,11.99011092,0.499587955
3/13/2009,12.01680966,0.500700403
3/14/2009,12.04353957,0.501814149
3/15/2009,12.07029642,0.502929018
3/16/2009,12.09707604,0.504044835
3/17/2009,12.1238743,0.505161429
3/18/2009,12.15068715,0.506278631
3/19/2009,12.17751052,0.507396272
3/20/2009,12.20434041,0.508514184
3/21/2009,12.23117283,0.509632201
3/22/2009,12.25800381,0.510750159
3/23/2009,12.28482937,0.51186789
3/24/2009,12.31164555,0.512985231
3/25/2009,12.33844838,0.514102016
3/26/2009,12.36523388,0.515218078
3/27/2009,12.39199804,0.516333252
3/28/2009,12.41873686,0.517447369
3/29/2009,12.44544626,0.518560261
3/30/2009,12.47212217,0.519671757
3/31/2009,12.49876043,0.520781685
4/1/2009,12.52535687,0.52188987
4/2/2009,12.55190724,0.522996135
4/3/2009,12.57840724,0.524100302
4/4/2009,12.6048525,0.525202188
4/5/2009,12.63123856,0.526301607
4/6/2009,12.65756091,0.527398371
4/7/2009,12.68381492,0.528492288
4/8/2009,12.7099959,0.529583163
4/9/2009,12.73609905,0.530670794
4/10/2009,12.76211946,0.531754978
4/11/2009,12.78805212,0.532835505
4/12/2009,12.81389193,0.533912164
4/13/2009,12.83963364,0.534984735
4/14/2009,12.86527189,0.536052995
4/15/2009,12.89080121,0.537116717
4/16/2009,12.916216,0.538175667
4/17/2009,12.9415105,0.539229604
4/18/2009,12.96667884,0.540278285
4/19/2009,12.991715,0.541321458
4/20/2009,13.01661284,0.542358868
4/21/2009,13.04136604,0.543390252
4/22/2009,13.06596816,0.54441534
4/23/2009,13.09041259,0.545433858
4/24/2009,13.1146926,0.546445525
4/25/2009,13.13880128,0.547450053
4/26/2009,13.16273158,0.548447149
4/27/2009,13.18647631,0.549436513
4/28/2009,13.2100281,0.550417838
4/29/2009,13.23337946,0.551390811
4/30/2009,13.25652272,0.552355113
5/1/2009,13.27945009,0.55331042
5/2/2009,13.30215362,0.554256401
5/3/2009,13.32462522,0.555192718
5/4/2009,13.34685665,0.556119027
5/5/2009,13.36883955,0.557034981
5/6/2009,13.39056543,0.557940226
5/7/2009,13.41202566,0.558834403
5/8/2009,13.43321151,0.559717146
5/9/2009,13.45411412,0.560588088
5/10/2009,13.47472452,0.561446855
5/11/2009,13.49503368,0.56229307
5/12/2009,13.51503243,0.563126351
5/13/2009,13.53471156,0.563946315
5/14/2009,13.55406177,0.564752574
5/15/2009,13.5730737,0.565544738
5/16/2009,13.59173797,0.566322415
5/17/2009,13.61004513,0.567085214
5/18/2009,13.62798572,0.567832738
5/19/2009,13.64555028,0.568564595
5/20/2009,13.66272935,0.56928039
5/21/2009,13.67951347,0.569979728
5/22/2009,13.69589325,0.570662219
5/23/2009,13.71185932,0.571327472
5/24/2009,13.72740239,0.5719751
5/25/2009,13.74251325,0.572604719
5/26/2009,13.75718278,0.573215949
5/27/2009,13.77140199,0.573808416
5/28/2009,13.78516202,0.574381751
5/29/2009,13.79845417,0.57493559
5/30/2009,13.81126989,0.575469579
5/31/2009,13.82360084,0.575983368
6/1/2009,13.83543887,0.57647662
6/2/2009,13.84677606,0.576949003
6/3/2009,13.85760474,0.577400198
6/4/2009,13.86791749,0.577829895
6/5/2009,13.87770716,0.578237798
6/6/2009,13.88696693,0.578623622
6/7/2009,13.89569025,0.578987094
6/8/2009,13.90387093,0.579327955
6/9/2009,13.91150309,0.579645962
6/10/2009,13.91858124,0.579940885
6/11/2009,13.92510025,0.58021251
6/12/2009,13.93105538,0.580460641
6/13/2009,13.93644228,0.580685095
6/14/2009,13.94125701,0.580885709
6/15/2009,13.94549607,0.581062336
6/16/2009,13.94915636,0.581214848
6/17/2009,13.95223526,0.581343136
6/18/2009,13.95473055,0.581447106
6/19/2009,13.9566405,0.581526688
6/20/2009,13.95796382,0.581581826
6/21/2009,13.95869968,0.581612487
6/22/2009,13.95884771,0.581618655
6/23/2009,13.95840801,0.581600334
6/24/2009,13.95738116,0.581557548
6/25/2009,13.95576816,0.58149034
6/26/2009,13.95357051,0.581398771
6/27/2009,13.95079015,0.581282923
6/28/2009,13.94742946,0.581142894
6/29/2009,13.94349127,0.580978803
6/30/2009,13.93897885,0.580790785
7/1/2009,13.93389589,0.580578995
7/2/2009,13.9282465,0.580343604
7/3/2009,13.92203518,0.580084799
7/4/2009,13.91526684,0.579802785
7/5/2009,13.90794677,0.579497782
7/6/2009,13.90008062,0.579170026
7/7/2009,13.89167437,0.578819765
7/8/2009,13.88273437,0.578447265
7/9/2009,13.87326728,0.578052803
7/10/2009,13.86328004,0.577636668
7/11/2009,13.85277991,0.577199163
7/12/2009,13.8417744,0.5767406
7/13/2009,13.83027126,0.576261303
7/14/2009,13.8182785,0.575761604
7/15/2009,13.80580434,0.575241848
7/16/2009,13.79285717,0.574702382
7/17/2009,13.7794456,0.574143567
7/18/2009,13.76557836,0.573565765
7/19/2009,13.75126436,0.572969348
7/20/2009,13.73651261,0.572354692
