date,OP
4/3/2009,61.70860344
4/4/2009,61.29139656
4/5/2009,60.87418968
4/6/2009,60.45698279
4/7/2009,60.03977591
4/8/2009,59.62256903
4/9/2009,59.20536214
4/10/2009,58.78815526
4/11/2009,58.37094838
4/12/2009,57.9537415
4/13/2009,57.53653461
4/14/2009,57.11932773
4/15/2009,56.70212085
4/16/2009,56.28491397
4/17/2009,55.86770708
4/18/2009,55.4505002
4/19/2009,55.03329332
4/20/2009,54.61608643
4/21/2009,54.19887955
4/22/2009,53.78167267
4/23/2009,53.36446579
4/24/2009,52.9472589
4/25/2009,52.53005202
4/26/2009,52.11284514
4/27/2009,51.69563826
4/28/2009,51.27843137
4/29/2009,50.82857143
4/30/2009,50.3032967
5/1/2009,49.77802198
5/2/2009,49.25274725
5/3/2009,48.72747253
5/4/2009,48.2021978
5/5/2009,47.67692308
5/6/2009,47.15164835
5/7/2009,46.62637363
5/8/2009,46.1010989
5/9/2009,45.57582418
5/10/2009,45.05054945
5/11/2009,44.52527473
5/12/2009,44
5/13/2009,44.12092073
5/14/2009,44.24184145
5/15/2009,44.36276218
5/16/2009,44.4836829
5/17/2009,44.60460363
5/18/2009,44.72552435
5/19/2009,44.84644508
5/20/2009,44.9673658
5/21/2009,45.08828653
5/22/2009,45.20920725
5/23/2009,45.33012798
5/24/2009,45.4510487
5/25/2009,45.57196943
5/26/2009,45.69289015
5/27/2009,45.81381088
5/28/2009,45.9347316
5/29/2009,46.05565233
5/30/2009,46.17657305
5/31/2009,46.29749378
6/1/2009,46.4184145
6/2/2009,46.53933523
6/3/2009,46.66025595
6/4/2009,46.78117668
6/5/2009,46.9020974
6/6/2009,47.02301813
6/7/2009,47.14393886
6/8/2009,47.26485958
6/9/2009,47.38578031
6/10/2009,47.50670103
6/11/2009,47.38940582
6/12/2009,47.27211061
6/13/2009,47.1548154
6/14/2009,47.03752019
6/15/2009,46.92022498
6/16/2009,46.80292977
6/17/2009,46.68563456
6/18/2009,46.56833935
6/19/2009,46.45104414
6/20/2009,46.33374894
6/21/2009,46.21645373
6/22/2009,46.09915852
6/23/2009,45.98186331
6/24/2009,45.8645681
6/25/2009,45.74727289
6/26/2009,45.62997768
6/27/2009,45.51268247
6/28/2009,45.39538726
6/29/2009,45.27809205
6/30/2009,45.16079684
7/1/2009,45.04350163
7/2/2009,44.92620642
7/3/2009,44.80891121
7/4/2009,44.691616
7/5/2009,44.57432079
7/6/2009,44.45702558
7/7/2009,44.29027982
7/8/2009,44.16850761
7/9/2009,44.0467354
7/10/2009,43.92496318
7/11/2009,43.80319097
7/12/2009,43.68141875
7/13/2009,43.55964654
7/14/2009,43.43787432
7/15/2009,43.31610211
7/16/2009,43.1943299
7/17/2009,43.07255768
7/18/2009,42.95078547
7/19/2009,42.82901325
7/20/2009,42.70724104
7/21/2009,42.58546883
7/22/2009,42.46369661
7/23/2009,42.3419244
7/24/2009,42.22015218
7/25/2009,42.09837997
7/26/2009,41.97660776
7/27/2009,41.85483554
7/28/2009,41.73306333
7/29/2009,41.61129111
7/30/2009,41.4895189
7/31/2009,41.36774669
8/1/2009,41.24597447
8/2/2009,41.12420226
8/3/2009,41.00243004
8/4/2009,40.88065783
8/5/2009,40.75888562
8/6/2009,40.6371134
8/7/2009,40.51534119
8/8/2009,40.39356897
8/9/2009,40.27179676
8/10/2009,40.15002455
8/11/2009,40.02825233
8/12/2009,39.90648012
8/13/2009,39.7847079
8/14/2009,39.66293569
8/15/2009,39.54116348
8/16/2009,39.41939126
8/17/2009,39.29761905
8/18/2009,39.17321429
8/19/2009,39.01785714
8/20/2009,38.8625
8/21/2009,38.70714286
8/22/2009,38.55178571
8/23/2009,38.39642857
8/24/2009,38.24107143
8/25/2009,38.08571429
8/26/2009,37.93035714
8/27/2009,37.775
8/28/2009,37.61964286
8/29/2009,37.46428571
8/30/2009,37.30892857
8/31/2009,37.15357143
9/1/2009,36.99821429
9/2/2009,36.84285714
9/3/2009,36.6875
9/4/2009,36.53214286
9/5/2009,36.37678571
9/6/2009,36.22142857
9/7/2009,36.06607143
9/8/2009,35.91071429
9/9/2009,35.75535714
9/10/2009,35.6
9/11/2009,35.44464286
9/12/2009,35.28928571
9/13/2009,35.13392857
9/14/2009,34.97857143
9/15/2009,35.25714286
9/16/2009,35.77142857
9/17/2009,36.28571429
9/18/2009,36.8
9/19/2009,37.31428571
9/20/2009,37.82857143
9/21/2009,38.34285714
9/22/2009,38.85714286
9/23/2009,39.37142857
9/24/2009,39.88571429
9/25/2009,40.4
9/26/2009,40.91428571
9/27/2009,41.42857143
9/28/2009,41.94285714
9/29/2009,42.45714286
9/30/2009,42.97142857
10/1/2009,43.48571429
10/2/2009,44
10/3/2009,44.51428571
10/4/2009,45.02857143
10/5/2009,45.54285714
10/6/2009,46.05714286
10/7/2009,46.57142857
10/8/2009,47.08571429
10/9/2009,47.6
10/10/2009,48.11428571
10/11/2009,48.62857143
10/12/2009,49.14285714
10/13/2009,49.05142857
10/14/2009,49.10857143
10/15/2009,49.16571429
10/16/2009,49.22285714
10/17/2009,49.28
10/18/2009,49.33714286
10/19/2009,49.39428571
10/20/2009,49.45142857
10/21/2009,49.50857143
10/22/2009,49.56571429
10/23/2009,49.62285714
10/24/2009,49.68
10/25/2009,49.73714286
10/26/2009,49.79428571
10/27/2009,49.85142857
10/28/2009,49.90857143
10/29/2009,49.96571429
10/30/2009,50.02285714
10/31/2009,50.08
11/1/2009,50.13714286
11/2/2009,50.19428571
11/3/2009,50.25142857
11/4/2009,50.30857143
11/5/2009,50.36571429
11/6/2009,50.42285714
11/7/2009,50.48
11/8/2009,50.53714286
11/9/2009,50.59428571
11/10/2009,50.65142857
11/11/2009,50.70857143
11/12/2009,50.76571429
11/13/2009,50.82285714
11/14/2009,50.88
11/15/2009,50.93714286
11/16/2009,50.99428571
11/17/2009,50.95714286
11/18/2009,50.53571429
11/19/2009,50.11428571
11/20/2009,49.69285714
11/21/2009,49.27142857
11/22/2009,48.85
11/23/2009,48.42857143
11/24/2009,48.00714286
11/25/2009,47.58571429
11/26/2009,47.16428571
11/27/2009,46.74285714
11/28/2009,46.32142857
11/29/2009,45.9
11/30/2009,45.47857143
12/1/2009,45.05714286
12/2/2009,44.63571429
12/3/2009,44.21428571
12/4/2009,43.79285714
12/5/2009,43.37142857
12/6/2009,42.95
12/7/2009,42.52857143
12/8/2009,42.10714286
12/9/2009,41.68571429
12/10/2009,41.26428571
12/11/2009,40.84285714
12/12/2009,40.42142857
12/13/2009,40
12/14/2009,39.57857143
12/15/2009,39.38
12/16/2009,40.01333333
12/17/2009,40.64666667
12/18/2009,41.28
12/19/2009,41.91333333
12/20/2009,42.54666667
12/21/2009,43.18
12/22/2009,43.81333333
12/23/2009,44.44666667
12/24/2009,45.08
12/25/2009,45.71333333
12/26/2009,46.34666667
12/27/2009,46.98
12/28/2009,47.61333333
12/29/2009,48.24666667
12/30/2009,48.88
12/31/2009,49.51333333
1/1/2010,50.14666667
1/2/2010,50.78
1/3/2010,51.41333333
1/4/2010,52.04666667
1/5/2010,52.68
1/6/2010,53.31333333
1/7/2010,53.94666667
1/8/2010,54.58
1/9/2010,55.21333333
1/10/2010,55.84666667
1/11/2010,56.48
1/12/2010,57.11333333
1/13/2010,57.74666667
1/14/2010,58.62978723
1/15/2010,58.84866538
1/16/2010,59.06754352
1/17/2010,59.28642166
1/18/2010,59.50529981
1/19/2010,59.72417795
1/20/2010,59.94305609
1/21/2010,60.16193424
1/22/2010,60.38081238
1/23/2010,60.59969052
1/24/2010,60.81856867
1/25/2010,61.03744681
1/26/2010,61.25632495
1/27/2010,61.47520309
1/28/2010,61.69408124
1/29/2010,61.91295938
1/30/2010,62.13183752
1/31/2010,62.35071567
2/1/2010,62.56959381
2/2/2010,62.78847195
2/3/2010,63.0073501
2/4/2010,63.22622824
2/5/2010,63.44510638
2/6/2010,63.66398453
2/7/2010,63.88286267
2/8/2010,64.10174081
2/9/2010,64.32061896
2/10/2010,64.5394971
2/11/2010,64.75837524
2/12/2010,64.97725338
2/13/2010,65.19613153
2/14/2010,65.41500967
2/15/2010,65.63388781
2/16/2010,65.85276596
2/17/2010,66.0716441
2/18/2010,66.29052224
2/19/2010,66.50940039
2/20/2010,66.72827853
2/21/2010,66.94715667
2/22/2010,67.16603482
2/23/2010,67.38491296
2/24/2010,67.6037911
2/25/2010,67.82266925
2/26/2010,68.04154739
2/27/2010,68.26042553
2/28/2010,68.47930368
3/1/2010,68.69818182
3/2/2010,68.82188811
3/3/2010,68.94559441
3/4/2010,69.0693007
3/5/2010,69.19300699
3/6/2010,69.31671329
3/7/2010,69.44041958
3/8/2010,69.56412587
3/9/2010,69.68783217
3/10/2010,69.81153846
3/11/2010,70.00469043
3/12/2010,70.1978424
3/13/2010,70.39099437
3/14/2010,70.58414634
3/15/2010,70.77729831
3/16/2010,70.97045028
3/17/2010,71.16360225
3/18/2010,71.35675422
3/19/2010,71.54990619
3/20/2010,71.74305816
3/21/2010,71.93621013
3/22/2010,72.1293621
3/23/2010,72.32251407
3/24/2010,72.51566604
3/25/2010,72.70881801
3/26/2010,72.90196998
3/27/2010,73.09512195
3/28/2010,73.28827392
3/29/2010,73.48142589
3/30/2010,73.67457786
3/31/2010,73.86772983
4/1/2010,74.0608818
4/2/2010,74.25403377
4/3/2010,74.44718574
4/4/2010,74.64033771
4/5/2010,74.83348968
4/6/2010,75.02664165
4/7/2010,75.21979362
4/8/2010,75.41294559
4/9/2010,75.60609756
4/10/2010,75.79924953
4/11/2010,75.9924015
4/12/2010,76.18555347
4/13/2010,76.37870544
4/14/2010,76.57185741
4/15/2010,76.76500938
4/16/2010,76.95816135
4/17/2010,77.15131332
4/18/2010,77.34446529
4/19/2010,77.53761726
4/20/2010,77.73076923
4/21/2010,77.82400531
4/22/2010,77.91724138
4/23/2010,77.88355438
4/24/2010,77.84986737
4/25/2010,77.81618037
4/26/2010,77.78249337
4/27/2010,77.74880637
4/28/2010,77.71511936
4/29/2010,77.68143236
4/30/2010,77.64774536
5/1/2010,77.61405836
5/2/2010,77.58037135
5/3/2010,77.54668435
5/4/2010,77.51299735
5/5/2010,77.47931034
5/6/2010,77.44562334
5/7/2010,77.41193634
5/8/2010,77.37824934
5/9/2010,77.34456233
5/10/2010,77.31087533
5/11/2010,77.27718833
5/12/2010,77.24350133
5/13/2010,77.20981432
