date,S65E_NH4
4/5/2010,56.25
4/6/2010,52.857143
4/7/2010,49.464286
4/8/2010,46.071429
4/9/2010,42.678571
4/10/2010,39.285714
4/11/2010,35.892857
4/12/2010,32.5
4/13/2010,33.75
4/14/2010,35
4/15/2010,36.25
4/16/2010,37.5
4/17/2010,38.75
4/18/2010,40
4/19/2010,41.25
4/20/2010,42.5
4/21/2010,43.75
4/22/2010,45
4/23/2010,46.25
4/24/2010,47.5
4/25/2010,48.75
4/26/2010,50
4/27/2010,47.892857
4/28/2010,45.785714
4/29/2010,43.678571
4/30/2010,41.571429
5/1/2010,39.464286
5/2/2010,37.357143
5/3/2010,35.25
5/4/2010,33.142857
5/5/2010,31.035714
5/6/2010,28.928571
5/7/2010,26.821429
5/8/2010,24.714286
5/9/2010,22.607143
5/10/2010,20.5
5/11/2010,22.107143
5/12/2010,23.714286
5/13/2010,25.321429
5/14/2010,26.928571
5/15/2010,28.535714
5/16/2010,30.142857
5/17/2010,31.75
5/18/2010,33.357143
5/19/2010,34.964286
5/20/2010,36.571429
5/21/2010,38.178571
5/22/2010,39.785714
5/23/2010,41.392857
5/24/2010,43
5/25/2010,35.5
5/26/2010,28
5/27/2010,27.520833
5/28/2010,27.041667
5/29/2010,26.5625
5/30/2010,26.083333
5/31/2010,25.604167
6/1/2010,25.125
6/2/2010,24.645833
6/3/2010,24.166667
6/4/2010,23.6875
6/5/2010,23.208333
6/6/2010,22.729167
6/7/2010,22.25
6/8/2010,24.875
6/9/2010,27.5
6/10/2010,30.125
6/11/2010,32.75
6/12/2010,35.375
6/13/2010,38
6/14/2010,40.625
6/15/2010,43.25
6/16/2010,45.875
6/17/2010,48.5
6/18/2010,51.125
6/19/2010,53.75
6/20/2010,56.375
6/21/2010,59
6/22/2010,57.294118
6/23/2010,55.588235
6/24/2010,53.882353
6/25/2010,52.176471
6/26/2010,50.470588
6/27/2010,48.764706
6/28/2010,47.058824
6/29/2010,45.352941
6/30/2010,43.647059
7/1/2010,41.941176
7/2/2010,40.235294
7/3/2010,38.529412
7/4/2010,36.823529
7/5/2010,35.117647
7/6/2010,33.411765
7/7/2010,31.705882
7/8/2010,30
7/9/2010,44.363636
7/10/2010,58.727273
7/11/2010,73.090909
7/12/2010,87.454545
7/13/2010,101.818182
7/14/2010,116.181818
7/15/2010,130.545455
7/16/2010,144.909091
7/17/2010,159.272727
7/18/2010,173.636364
7/19/2010,188
7/20/2010,183.857143
7/21/2010,179.714286
7/22/2010,175.571429
7/23/2010,171.428571
7/24/2010,167.285714
7/25/2010,163.142857
7/26/2010,159
7/27/2010,154.857143
7/28/2010,150.714286
7/29/2010,146.571429
7/30/2010,142.428571
7/31/2010,138.285714
8/1/2010,134.142857
8/2/2010,130
8/3/2010,132.357143
8/4/2010,134.714286
8/5/2010,137.071429
8/6/2010,139.428571
8/7/2010,141.785714
8/8/2010,144.142857
8/9/2010,146.5
8/10/2010,148.857143
8/11/2010,151.214286
8/12/2010,153.571429
8/13/2010,155.928571
8/14/2010,158.285714
8/15/2010,160.642857
8/16/2010,163
8/17/2010,138
8/18/2010,113
8/19/2010,112.395062
8/20/2010,111.790123
8/21/2010,111.185185
8/22/2010,110.580247
8/23/2010,109.975309
8/24/2010,109.37037
8/25/2010,108.765432
8/26/2010,108.160494
8/27/2010,107.555556
8/28/2010,106.950617
8/29/2010,106.345679
8/30/2010,105.740741
8/31/2010,105.135803
9/1/2010,104.530864
9/2/2010,103.925926
9/3/2010,103.320988
9/4/2010,102.71605
9/5/2010,102.111111
9/6/2010,101.506173
9/7/2010,100.901235
9/8/2010,100.296297
9/9/2010,99.691358
9/10/2010,99.08642
9/11/2010,98.481482
9/12/2010,97.876544
9/13/2010,97.271605
9/14/2010,96.666667
9/15/2010,101.461539
9/16/2010,106.256411
9/17/2010,111.051282
9/18/2010,115.846154
9/19/2010,120.641026
9/20/2010,125.435898
9/21/2010,130.230769
9/22/2010,135.025641
9/23/2010,139.820513
9/24/2010,144.615385
9/25/2010,149.410256
9/26/2010,154.205128
9/27/2010,159
9/28/2010,150.214286
9/29/2010,141.428571
9/30/2010,132.642857
10/1/2010,123.857143
10/2/2010,115.071429
10/3/2010,106.285714
10/4/2010,97.5
10/5/2010,88.714286
10/6/2010,79.928571
10/7/2010,71.142857
10/8/2010,62.357143
10/9/2010,53.571429
10/10/2010,44.785714
10/11/2010,36
10/12/2010,34.866667
10/13/2010,33.733333
10/14/2010,32.6
10/15/2010,31.466667
10/16/2010,30.333333
10/17/2010,29.2
10/18/2010,28.066667
10/19/2010,26.933333
10/20/2010,25.8
10/21/2010,24.666667
10/22/2010,23.533333
10/23/2010,22.4
10/24/2010,21.266667
10/25/2010,20.133333
10/26/2010,19
10/27/2010,21.071429
10/28/2010,23.142857
10/29/2010,25.214286
10/30/2010,27.285714
10/31/2010,29.357143
11/1/2010,31.428571
11/2/2010,33.5
11/3/2010,35.571429
11/4/2010,37.642857
11/5/2010,39.714286
11/6/2010,41.785714
11/7/2010,43.857143
11/8/2010,45.928571
11/9/2010,48
11/10/2010,44
11/11/2010,40
11/12/2010,36
11/13/2010,32
11/14/2010,28
11/15/2010,24
11/16/2010,20
11/17/2010,16
11/18/2010,16.916667
11/19/2010,17.833333
11/20/2010,18.75
11/21/2010,19.666667
11/22/2010,20.583333
11/23/2010,21.5
11/24/2010,22.416667
11/25/2010,23.333333
11/26/2010,24.25
11/27/2010,25.166667
11/28/2010,26.083333
11/29/2010,27
11/30/2010,25.6
12/1/2010,24.2
12/2/2010,22.8
12/3/2010,21.4
12/4/2010,20
12/5/2010,18.6
12/6/2010,17.2
12/7/2010,15.8
12/8/2010,14.4
12/9/2010,13
12/10/2010,13.153846
12/11/2010,13.307692
12/12/2010,13.461538
12/13/2010,13.615385
12/14/2010,13.769231
12/15/2010,13.923077
12/16/2010,14.076923
12/17/2010,14.230769
12/18/2010,14.384615
12/19/2010,14.538462
12/20/2010,14.692308
12/21/2010,14.846154
12/22/2010,15
12/23/2010,16.894737
12/24/2010,18.789474
12/25/2010,20.684211
12/26/2010,22.578947
12/27/2010,24.473684
12/28/2010,26.368421
12/29/2010,28.263158
12/30/2010,30.157895
12/31/2010,32.052632
1/1/2011,33.947368
1/2/2011,35.842105
1/3/2011,37.736842
1/4/2011,39.631579
1/5/2011,41.526316
1/6/2011,43.421053
1/7/2011,45.315789
1/8/2011,47.210526
1/9/2011,49.105263
1/10/2011,51
1/11/2011,50
1/12/2011,49
1/13/2011,48
1/14/2011,47
1/15/2011,46
1/16/2011,45
1/17/2011,44
1/18/2011,43
1/19/2011,42
1/20/2011,41
1/21/2011,40
1/22/2011,39
1/23/2011,38
1/24/2011,37
1/25/2011,34.785714
1/26/2011,32.571429
1/27/2011,30.357143
1/28/2011,28.142857
1/29/2011,25.928571
1/30/2011,23.714286
1/31/2011,21.5
2/1/2011,19.285714
2/2/2011,17.071429
2/3/2011,14.857143
2/4/2011,12.642857
2/5/2011,10.428571
2/6/2011,8.214286
2/7/2011,6
2/8/2011,8.5
2/9/2011,11
2/10/2011,13.5
2/11/2011,16
2/12/2011,18.5
2/13/2011,21
2/14/2011,23.5
2/15/2011,26
2/16/2011,28.5
2/17/2011,31
2/18/2011,27.5
2/19/2011,24
2/20/2011,20.5
2/21/2011,17
2/22/2011,13.5
2/23/2011,10
2/24/2011,11.238095
2/25/2011,12.47619
2/26/2011,13.714286
2/27/2011,14.952381
2/28/2011,16.190476
3/1/2011,17.428571
3/2/2011,18.666666
3/3/2011,19.904762
3/4/2011,21.142857
3/5/2011,22.380952
3/6/2011,23.619047
3/7/2011,24.857143
3/8/2011,26.095238
3/9/2011,27.333333
3/10/2011,26.452381
3/11/2011,25.571428
3/12/2011,24.690476
3/13/2011,23.809524
3/14/2011,22.928571
3/15/2011,22.047619
3/16/2011,21.166667
3/17/2011,20.285714
3/18/2011,19.404762
3/19/2011,18.523809
3/20/2011,17.642857
3/21/2011,16.761905
3/22/2011,15.880952
3/23/2011,15
3/24/2011,15
3/25/2011,15
3/26/2011,15
3/27/2011,15
3/28/2011,15
3/29/2011,15
3/30/2011,15
3/31/2011,15
4/1/2011,15
4/2/2011,15
4/3/2011,15
4/4/2011,15
4/5/2011,15
4/6/2011,15
4/7/2011,15
4/8/2011,15
4/9/2011,15
4/10/2011,15
4/11/2011,15
4/12/2011,15
4/13/2011,15
4/14/2011,14.285714
4/15/2011,13.571429
4/16/2011,12.857143
4/17/2011,12.142857
4/18/2011,11.428571
4/19/2011,10.714286
4/20/2011,10
4/21/2011,9.285714
4/22/2011,8.571429
4/23/2011,7.857143
4/24/2011,7.142857
4/25/2011,6.428571
4/26/2011,5.714286
4/27/2011,5
4/28/2011,5.357143
4/29/2011,5.714286
4/30/2011,6.071429
5/1/2011,6.428571
5/2/2011,6.785714
5/3/2011,7.142857
5/4/2011,7.5
5/5/2011,7.857143
5/6/2011,8.214286
5/7/2011,8.571429
5/8/2011,8.928571
5/9/2011,9.285714
5/10/2011,9.642857
5/11/2011,10
5/12/2011,9.285714
5/13/2011,8.571429
5/14/2011,7.857143
5/15/2011,7.142857
5/16/2011,6.428571
5/17/2011,5.714286
5/18/2011,5
5/19/2011,5.428571
5/20/2011,5.857143
5/21/2011,6.285714
5/22/2011,6.714286
5/23/2011,7.142857
5/24/2011,7.571429
