date,Load_mg
4/18/2011,42671286.81
4/19/2011,48967793.64
4/20/2011,42533348.89
4/21/2011,61564648.42
4/22/2011,48805133.06
4/23/2011,45456248.22
4/24/2011,48739430.28
4/25/2011,50923512.73
4/26/2011,47489719.49
4/27/2011,52602811.91
4/28/2011,54732590.49
4/29/2011,43879685.43
4/30/2011,38948573.97
5/1/2011,46298606.21
5/2/2011,39984777.11
5/3/2011,32126833.86
5/4/2011,31440514.19
5/5/2011,32261328.06
5/6/2011,29210908.66
5/7/2011,32303589.2
5/8/2011,40494237.41
5/9/2011,29829316.63
5/10/2011,29370694.33
5/11/2011,26414318.32
5/12/2011,24891012.23
5/13/2011,22768259.14
5/14/2011,21691815.53
5/15/2011,41281412.87
5/16/2011,23602010.29
5/17/2011,32983070.65
5/18/2011,23381210.54
5/19/2011,17730552.48
5/20/2011,18398141.51
5/21/2011,15412993.67
5/22/2011,16379152.52
5/23/2011,11559766.43
5/24/2011,11995738.15
5/25/2011,9861539.276
5/26/2011,6557209.547
5/27/2011,5824264.62
5/28/2011,8114175.623
5/29/2011,8235870.563
5/30/2011,9429843.118
5/31/2011,6088740.135
6/1/2011,4220482.272
6/2/2011,3148632.982
6/3/2011,2370748.83
6/4/2011,4249663.977
6/5/2011,3120215.598
6/6/2011,2001662.987
6/7/2011,1951527.411
6/8/2011,1697468.366
6/9/2011,1435516.988
6/10/2011,1526989.351
6/11/2011,1719025.143
6/12/2011,3844623.026
6/13/2011,1762236.968
6/14/2011,1794765.006
6/15/2011,1800322.81
6/16/2011,1825132.309
6/17/2011,928368.3821
6/18/2011,51806.23719
6/19/2011,3185580.161
6/20/2011,10203761.46
6/21/2011,5599990.055
6/22/2011,10963.71667
6/23/2011,3411438.163
6/24/2011,5040548.974
6/25/2011,23897567.48
6/26/2011,47038440.26
6/27/2011,43457539.67
6/28/2011,60477251.48
6/29/2011,87894579
6/30/2011,90585728.43
7/1/2011,88025752.46
7/2/2011,83118064.4
7/3/2011,81641904.21
7/4/2011,94006153.52
7/5/2011,104153929.8
7/6/2011,98210325.19
7/7/2011,89840326.58
7/8/2011,109501051.9
7/9/2011,82219537.19
7/10/2011,87885949.7
7/11/2011,86394610.27
7/12/2011,102117167.1
7/13/2011,90514731.38
7/14/2011,83821171.78
7/15/2011,99248399.16
7/16/2011,104391295.2
7/17/2011,133517200.2
7/18/2011,109442058
7/19/2011,105620583
7/20/2011,77920553.81
7/21/2011,127292486.4
7/22/2011,181643952.6
7/23/2011,237860470.9
7/24/2011,262614725.7
7/25/2011,202925478.7
7/26/2011,192064303.3
7/27/2011,276830754.3
7/28/2011,397344560.5
7/29/2011,292891111.3
7/30/2011,225364652
7/31/2011,191174612.7
8/1/2011,131975386.4
8/2/2011,131813573
8/3/2011,340161169.4
8/4/2011,225472895.2
8/5/2011,187405672
8/6/2011,204308614.8
8/7/2011,115490012.1
8/8/2011,148692944.9
8/9/2011,194549851.2
8/10/2011,293748077.3
8/11/2011,253976742.4
8/12/2011,184573675.8
8/13/2011,145167869.2
8/14/2011,143649266.2
8/15/2011,72157227.36
8/16/2011,44163065.18
8/17/2011,13529717.07
8/18/2011,15198239.59
8/19/2011,22673503.5
8/20/2011,25962446.52
8/21/2011,28555535.67
8/22/2011,25089137.55
8/23/2011,20147373.84
8/24/2011,16104134.21
8/25/2011,13688279.16
8/26/2011,15535112.89
8/27/2011,12224586.82
8/28/2011,9168485.541
8/29/2011,7440127.23
8/30/2011,4810033.748
8/31/2011,3306281.558
9/1/2011,5578088.842
9/2/2011,12498080.42
9/3/2011,16267567.72
9/4/2011,20909291.73
9/5/2011,19619248.99
9/6/2011,23887134.94
9/7/2011,36273225.63
9/8/2011,46117363.41
9/9/2011,50261487.75
9/10/2011,66793616.81
9/11/2011,88528522.89
9/12/2011,94289301.47
9/13/2011,98901052.04
9/14/2011,92652537.66
9/15/2011,89609395.24
9/16/2011,81548768.03
9/17/2011,72632435.51
9/18/2011,57050831.27
9/19/2011,45115995.8
9/20/2011,36777735.83
9/21/2011,33009940.58
9/22/2011,29019120.22
9/23/2011,27516187.13
9/24/2011,28185152.96
9/25/2011,40016953.61
9/26/2011,69833528.88
9/27/2011,52056865.28
9/28/2011,49945259.48
9/29/2011,52170441.45
9/30/2011,57538711.34
10/1/2011,62617063.47
10/2/2011,57287948.06
10/3/2011,49032886.51
10/4/2011,41942422.72
10/5/2011,41767178.75
10/6/2011,36052223.7
10/7/2011,32269023.87
10/8/2011,35007765.55
10/9/2011,121310611.9
