date,Stage_ft,Stage_m,Storage_acft,Storage_m3,SA_acres
1/18/2022,15.1325,4.612386,4038300,4981162284,448730
1/19/2022,15.11,4.605528,4028400,4968950832,448640
1/20/2022,15.1025,4.603242,4025100,4964880348,448610
1/21/2022,15.11,4.605528,4028400,4968950832,448640
1/22/2022,15.0875,4.59867,4018500,4956739380,448550
1/23/2022,15.075,4.59486,4013000,4949955240,448500
1/24/2022,15.055,4.588764,4004200,4939100616,448420
1/25/2022,15.0575,4.589526,4005300,4940457444,448430
1/26/2022,15.0525,4.588002,4003100,4937743788,448410
1/27/2022,15.045,4.585716,3999800,4933673304,448380
1/28/2022,15.02,4.578096,3988800,4920105024,448280
1/29/2022,14.94,4.553712,3953000,4875946440,447684
1/30/2022,14.9275,4.549902,3947375,4869008115,447576.5
1/31/2022,14.9125,4.54533,3940625,4860682125,447447.5
2/1/2022,14.9,4.54152,3935000,4853743800,447340
2/2/2022,14.9,4.54152,3935000,4853743800,447340
2/3/2022,14.89,4.538472,3930500,4848193140,447254
2/4/2022,14.89,4.538472,3930500,4848193140,447254
2/5/2022,14.865,4.530852,3919250,4834316490,447039
2/6/2022,14.865,4.530852,3919250,4834316490,447039
2/7/2022,14.855,4.527804,3914750,4828765830,446953
2/8/2022,14.8275,4.519422,3902375,4813501515,446716.5
2/9/2022,14.8475,4.525518,3911375,4824602835,446888.5
2/10/2022,14.8375,4.52247,3906875,4819052175,446802.5
2/11/2022,14.8375,4.52247,3906875,4819052175,446802.5
2/12/2022,14.8375,4.52247,3906875,4819052175,446802.5
2/13/2022,14.8275,4.519422,3902375,4813501515,446716.5
2/14/2022,14.7825,4.505706,3882125,4788523545,446329.5
2/15/2022,14.7825,4.505706,3882125,4788523545,446329.5
2/16/2022,14.7775,4.504182,3879875,4785748215,446286.5
2/17/2022,14.7675,4.501134,3875375,4780197555,446200.5
2/18/2022,14.7575,4.498086,3870875,4774646895,446114.5
2/19/2022,14.7375,4.49199,3861875,4763545575,445942.5
2/20/2022,14.71,4.483608,3849500,4748281260,445706
2/21/2022,14.7025,4.481322,3846125,4744118265,445641.5
2/22/2022,14.685,4.475988,3838250,4734404610,445491
2/23/2022,14.6675,4.470654,3830375,4724690955,445340.5
2/24/2022,14.6425,4.463034,3819125,4710814305,445125.5
2/25/2022,14.615,4.454652,3806750,4695549990,444889
2/26/2022,14.585,4.445508,3793250,4678898010,444631
2/27/2022,14.56,4.437888,3782000,4665021360,444416
2/28/2022,14.5375,4.43103,3771875,4652532375,444222.5
3/1/2022,14.505,4.421124,3757250,4634492730,443943
3/2/2022,14.4625,4.40817,3737900,4610624892,443307.5
3/3/2022,14.445,4.402836,3729920,4600781722,443031
3/4/2022,14.4125,4.39293,3715100,4582501548,442517.5
