date,DO
7/25/2009,7.589172336
7/26/2009,7.575589569
7/27/2009,7.562006803
7/28/2009,7.548424036
7/29/2009,7.53484127
7/30/2009,7.521258503
7/31/2009,7.507675737
8/1/2009,7.494092971
8/2/2009,7.480510204
8/3/2009,7.466927438
8/4/2009,7.453344671
8/5/2009,7.439761905
8/6/2009,7.426179138
8/7/2009,7.412596372
8/8/2009,7.399013605
8/9/2009,7.385430839
8/10/2009,7.371848073
8/11/2009,7.358265306
8/12/2009,7.34468254
8/13/2009,7.331099773
8/14/2009,7.317517007
8/15/2009,7.30393424
8/16/2009,7.290351474
8/17/2009,7.276768707
8/18/2009,7.26755102
8/19/2009,7.26547619
8/20/2009,7.263401361
8/21/2009,7.261326531
8/22/2009,7.259251701
8/23/2009,7.257176871
8/24/2009,7.255102041
8/25/2009,7.253027211
8/26/2009,7.250952381
8/27/2009,7.248877551
8/28/2009,7.246802721
8/29/2009,7.244727891
8/30/2009,7.242653061
8/31/2009,7.240578231
9/1/2009,7.238503401
9/2/2009,7.236428571
9/3/2009,7.234353741
9/4/2009,7.232278912
9/5/2009,7.230204082
9/6/2009,7.228129252
9/7/2009,7.226054422
9/8/2009,7.223979592
9/9/2009,7.221904762
9/10/2009,7.219829932
9/11/2009,7.217755102
9/12/2009,7.215680272
9/13/2009,7.213605442
9/14/2009,7.211530612
9/15/2009,7.207755102
9/16/2009,7.2
9/17/2009,7.192244898
9/18/2009,7.184489796
9/19/2009,7.176734694
9/20/2009,7.168979592
9/21/2009,7.16122449
9/22/2009,7.153469388
9/23/2009,7.145714286
9/24/2009,7.137959184
9/25/2009,7.130204082
9/26/2009,7.12244898
9/27/2009,7.114693878
9/28/2009,7.106938776
9/29/2009,7.099183673
9/30/2009,7.091428571
10/1/2009,7.083673469
10/2/2009,7.075918367
10/3/2009,7.068163265
10/4/2009,7.060408163
10/5/2009,7.052653061
10/6/2009,7.044897959
10/7/2009,7.037142857
10/8/2009,7.029387755
10/9/2009,7.021632653
10/10/2009,7.013877551
10/11/2009,7.006122449
10/12/2009,6.998367347
10/13/2009,7.023387755
10/14/2009,7.074040816
10/15/2009,7.124693878
10/16/2009,7.175346939
10/17/2009,7.226
10/18/2009,7.276653061
10/19/2009,7.327306122
10/20/2009,7.377959184
10/21/2009,7.428612245
10/22/2009,7.479265306
10/23/2009,7.529918367
10/24/2009,7.580571429
10/25/2009,7.63122449
10/26/2009,7.681877551
10/27/2009,7.732530612
10/28/2009,7.783183673
10/29/2009,7.833836735
10/30/2009,7.884489796
10/31/2009,7.935142857
11/1/2009,7.985795918
11/2/2009,8.03644898
11/3/2009,8.087102041
11/4/2009,8.137755102
11/5/2009,8.188408163
11/6/2009,8.239061224
11/7/2009,8.289714286
11/8/2009,8.340367347
11/9/2009,8.391020408
11/10/2009,8.441673469
11/11/2009,8.492326531
11/12/2009,8.542979592
11/13/2009,8.593632653
11/14/2009,8.644285714
11/15/2009,8.694938776
11/16/2009,8.745591837
11/17/2009,8.774693878
11/18/2009,8.781632653
11/19/2009,8.788571429
11/20/2009,8.795510204
11/21/2009,8.80244898
11/22/2009,8.809387755
11/23/2009,8.816326531
11/24/2009,8.823265306
11/25/2009,8.830204082
11/26/2009,8.837142857
11/27/2009,8.844081633
11/28/2009,8.851020408
11/29/2009,8.857959184
11/30/2009,8.864897959
12/1/2009,8.871836735
12/2/2009,8.87877551
12/3/2009,8.885714286
12/4/2009,8.892653061
12/5/2009,8.899591837
12/6/2009,8.906530612
12/7/2009,8.913469388
12/8/2009,8.920408163
12/9/2009,8.927346939
12/10/2009,8.934285714
12/11/2009,8.94122449
12/12/2009,8.948163265
12/13/2009,8.955102041
12/14/2009,8.962040816
12/15/2009,8.95552381
12/16/2009,9.009714286
12/17/2009,9.063904762
12/18/2009,9.118095238
12/19/2009,9.172285714
12/20/2009,9.22647619
12/21/2009,9.280666667
12/22/2009,9.334857143
12/23/2009,9.389047619
12/24/2009,9.443238095
12/25/2009,9.497428571
12/26/2009,9.551619048
12/27/2009,9.605809524
12/28/2009,9.66
12/29/2009,9.714190476
12/30/2009,9.768380952
12/31/2009,9.822571429
1/1/2010,9.876761905
1/2/2010,9.930952381
1/3/2010,9.985142857
1/4/2010,10.03933333
1/5/2010,10.09352381
1/6/2010,10.14771429
1/7/2010,10.20190476
1/8/2010,10.25609524
1/9/2010,10.31028571
1/10/2010,10.36447619
1/11/2010,10.41866667
1/12/2010,10.47285714
1/13/2010,10.52704762
1/14/2010,10.60106383
1/15/2010,10.60508004
1/16/2010,10.60909625
1/17/2010,10.61311246
1/18/2010,10.61712867
1/19/2010,10.62114488
1/20/2010,10.62516109
1/21/2010,10.6291773
1/22/2010,10.63319352
1/23/2010,10.63720973
1/24/2010,10.64122594
1/25/2010,10.64524215
1/26/2010,10.64925836
1/27/2010,10.65327457
1/28/2010,10.65729078
1/29/2010,10.66130699
1/30/2010,10.6653232
1/31/2010,10.66933941
2/1/2010,10.67335562
2/2/2010,10.67737183
2/3/2010,10.68138804
2/4/2010,10.68540426
2/5/2010,10.68942047
2/6/2010,10.69343668
2/7/2010,10.69745289
2/8/2010,10.7014691
2/9/2010,10.70548531
2/10/2010,10.70950152
2/11/2010,10.71351773
2/12/2010,10.71753394
2/13/2010,10.72155015
2/14/2010,10.72556636
2/15/2010,10.72958257
2/16/2010,10.73359878
2/17/2010,10.73761499
2/18/2010,10.74163121
2/19/2010,10.74564742
2/20/2010,10.74966363
2/21/2010,10.75367984
2/22/2010,10.75769605
2/23/2010,10.76171226
2/24/2010,10.76572847
2/25/2010,10.76974468
2/26/2010,10.77376089
2/27/2010,10.7777771
2/28/2010,10.78179331
3/1/2010,10.78580952
3/2/2010,10.76032784
3/3/2010,10.73484615
3/4/2010,10.70936447
3/5/2010,10.68388278
3/6/2010,10.6584011
3/7/2010,10.63291941
3/8/2010,10.60743773
3/9/2010,10.58195604
3/10/2010,10.55647436
3/11/2010,10.50275574
3/12/2010,10.44903712
3/13/2010,10.3953185
3/14/2010,10.34159988
3/15/2010,10.28788127
3/16/2010,10.23416265
3/17/2010,10.18044403
3/18/2010,10.12672541
3/19/2010,10.07300679
3/20/2010,10.01928817
3/21/2010,9.965569552
3/22/2010,9.911850934
3/23/2010,9.858132315
3/24/2010,9.804413696
3/25/2010,9.750695077
3/26/2010,9.696976459
3/27/2010,9.64325784
3/28/2010,9.589539221
3/29/2010,9.535820602
3/30/2010,9.482101983
3/31/2010,9.428383365
4/1/2010,9.374664746
4/2/2010,9.320946127
4/3/2010,9.267227508
4/4/2010,9.213508889
4/5/2010,9.159790271
4/6/2010,9.106071652
4/7/2010,9.052353033
4/8/2010,8.998634414
4/9/2010,8.944915796
4/10/2010,8.891197177
4/11/2010,8.837478558
4/12/2010,8.783759939
4/13/2010,8.73004132
4/14/2010,8.676322702
4/15/2010,8.622604083
4/16/2010,8.568885464
4/17/2010,8.515166845
4/18/2010,8.461448227
4/19/2010,8.407729608
4/20/2010,8.354010989
4/21/2010,8.32587249
4/22/2010,8.29773399
4/23/2010,8.271271315
4/24/2010,8.24480864
4/25/2010,8.218345964
4/26/2010,8.191883289
4/27/2010,8.165420614
4/28/2010,8.138957939
4/29/2010,8.112495263
4/30/2010,8.086032588
5/1/2010,8.059569913
5/2/2010,8.033107238
5/3/2010,8.006644562
5/4/2010,7.980181887
5/5/2010,7.953719212
5/6/2010,7.927256537
5/7/2010,7.900793861
5/8/2010,7.874331186
5/9/2010,7.847868511
5/10/2010,7.821405836
5/11/2010,7.79494316
5/12/2010,7.768480485
5/13/2010,7.74201781
5/14/2010,7.715555135
5/15/2010,7.689092459
5/16/2010,7.662629784
5/17/2010,7.636167109
5/18/2010,7.609704433
5/19/2010,7.612380952
5/20/2010,7.659294533
5/21/2010,7.706208113
5/22/2010,7.753121693
5/23/2010,7.800035273
5/24/2010,7.846948854
5/25/2010,7.893862434
5/26/2010,7.940776014
5/27/2010,7.987689594
5/28/2010,8.034603175
5/29/2010,8.081516755
5/30/2010,8.128430335
5/31/2010,8.175343915
6/1/2010,8.222257496
6/2/2010,8.269171076
6/3/2010,8.316084656
6/4/2010,8.362998236
6/5/2010,8.409911817
6/6/2010,8.456825397
6/7/2010,8.503738977
6/8/2010,8.550652557
6/9/2010,8.597566138
6/10/2010,8.644479718
6/11/2010,8.691393298
6/12/2010,8.738306878
6/13/2010,8.785220459
6/14/2010,8.832134039
6/15/2010,8.855748299
6/16/2010,8.807806122
6/17/2010,8.759863946
6/18/2010,8.711921769
6/19/2010,8.663979592
6/20/2010,8.616037415
6/21/2010,8.568095238
6/22/2010,8.520153061
6/23/2010,8.472210884
6/24/2010,8.424268707
6/25/2010,8.376326531
6/26/2010,8.328384354
6/27/2010,8.280442177
6/28/2010,8.2325
6/29/2010,8.184557823
6/30/2010,8.136615646
7/1/2010,8.088673469
7/2/2010,8.040731293
7/3/2010,7.992789116
7/4/2010,7.944846939
7/5/2010,7.896904762
7/6/2010,7.848962585
7/7/2010,7.801020408
7/8/2010,7.753078231
7/9/2010,7.705136054
7/10/2010,7.657193878
7/11/2010,7.609251701
7/12/2010,7.561309524
7/13/2010,7.526806075
7/14/2010,7.524044043
7/15/2010,7.521282011
7/16/2010,7.518519979
7/17/2010,7.515757947
7/18/2010,7.512995916
7/19/2010,7.510233884
7/20/2010,7.507471852
7/21/2010,7.50470982
7/22/2010,7.501947789
7/23/2010,7.499185757
7/24/2010,7.496423725
7/25/2010,7.493661693
7/26/2010,7.490899662
7/27/2010,7.48813763
7/28/2010,7.485375598
7/29/2010,7.482613566
7/30/2010,7.479851534
7/31/2010,7.477089503
8/1/2010,7.474327471
8/2/2010,7.471565439
8/3/2010,7.468803407
8/4/2010,7.466041376
8/5/2010,7.463279344
8/6/2010,7.460517312
8/7/2010,7.45775528
8/8/2010,7.454993249
8/9/2010,7.452231217
8/10/2010,7.449469185
8/11/2010,7.446707153
8/12/2010,7.443945121
8/13/2010,7.44118309
8/14/2010,7.438421058
8/15/2010,7.435659026
8/16/2010,7.432896994
8/17/2010,7.430134963
8/18/2010,7.427372931
8/19/2010,7.424610899
8/20/2010,7.421848867
8/21/2010,7.419086836
8/22/2010,7.416324804
8/23/2010,7.413562772
8/24/2010,7.398423306
8/25/2010,7.383283841
8/26/2010,7.383536658
8/27/2010,7.383789474
8/28/2010,7.384042291
8/29/2010,7.384295108
8/30/2010,7.384547924
8/31/2010,7.384800741
9/1/2010,7.385053557
9/2/2010,7.385306374
9/3/2010,7.385559191
9/4/2010,7.385812007
9/5/2010,7.386064824
9/6/2010,7.386317641
9/7/2010,7.386570457
9/8/2010,7.386823274
9/9/2010,7.38707609
9/10/2010,7.387328907
9/11/2010,7.387581724
9/12/2010,7.38783454
9/13/2010,7.388087357
9/14/2010,7.388340174
9/15/2010,7.38859299
9/16/2010,7.388845807
9/17/2010,7.389098624
9/18/2010,7.38935144
9/19/2010,7.389604257
9/20/2010,7.389857073
9/21/2010,7.390666667
9/22/2010,7.423571429
9/23/2010,7.45647619
9/24/2010,7.489380952
9/25/2010,7.522285714
9/26/2010,7.555190476
9/27/2010,7.588095238
9/28/2010,7.621
9/29/2010,7.653904762
9/30/2010,7.686809524
10/1/2010,7.719714286
10/2/2010,7.752619048
10/3/2010,7.78552381
10/4/2010,7.818428571
10/5/2010,7.851333333
10/6/2010,7.884238095
10/7/2010,7.917142857
10/8/2010,7.950047619
10/9/2010,7.982952381
10/10/2010,8.015857143
10/11/2010,8.048761905
10/12/2010,8.081666667
10/13/2010,8.114571429
10/14/2010,8.14747619
10/15/2010,8.180380952
10/16/2010,8.213285714
10/17/2010,8.246190476
10/18/2010,8.279095238
10/19/2010,8.312
10/20/2010,8.344904762
10/21/2010,8.36
10/22/2010,8.296190476
10/23/2010,8.232380952
10/24/2010,8.168571429
10/25/2010,8.104761905
10/26/2010,8.040952381
10/27/2010,7.977142857
10/28/2010,7.913333333
10/29/2010,7.84952381
10/30/2010,7.785714286
10/31/2010,7.721904762
11/1/2010,7.658095238
11/2/2010,7.644945887
11/3/2010,7.712183442
11/4/2010,7.779420996
11/5/2010,7.84665855
11/6/2010,7.913896104
11/7/2010,7.981133658
11/8/2010,8.048371212
11/9/2010,8.115608766
11/10/2010,8.18284632
11/11/2010,8.250083874
11/12/2010,8.317321429
11/13/2010,8.384558983
11/14/2010,8.451796537
11/15/2010,8.519034091
11/16/2010,8.586271645
11/17/2010,8.653509199
11/18/2010,8.720746753
11/19/2010,8.787984307
11/20/2010,8.855221861
11/21/2010,8.922459416
11/22/2010,8.98969697
11/23/2010,9.056934524
11/24/2010,9.124172078
11/25/2010,9.191409632
11/26/2010,9.258647186
11/27/2010,9.32588474
11/28/2010,9.393122294
11/29/2010,9.460359848
11/30/2010,9.527597403
12/1/2010,9.594834957
12/2/2010,9.662072511
12/3/2010,9.729310065
12/4/2010,9.796547619
12/5/2010,9.863785173
12/6/2010,9.931022727
12/7/2010,9.998260281
12/8/2010,10.06549784
12/9/2010,10.13273539
12/10/2010,10.19997294
12/11/2010,10.2672105
12/12/2010,10.33444805
