date,Load_mg
2/24/2009,2900109.488
2/25/2009,3381194.665
2/26/2009,3627138.771
2/27/2009,2911061.409
2/28/2009,2759952.864
3/1/2009,2851295.063
3/2/2009,2489282.969
3/3/2009,1213149.164
3/4/2009,1900443.963
3/5/2009,2048073.127
3/6/2009,984227.9834
3/7/2009,1979943.687
3/8/2009,1834268.987
3/9/2009,1141239.416
3/10/2009,2204658.156
3/11/2009,1966165.972
3/12/2009,1995510.898
3/13/2009,1971122.035
3/14/2009,1980065.317
3/15/2009,2092024.808
3/16/2009,1000892.658
3/17/2009,1722927.431
3/18/2009,2236937.225
3/19/2009,3034211.537
3/20/2009,3911974.688
3/21/2009,2759279.357
3/22/2009,1753299.919
3/23/2009,2101127.817
3/24/2009,723189.3822
3/25/2009,1739277.546
3/26/2009,1292811.586
3/27/2009,441601.6434
3/28/2009,1104074.885
3/29/2009,5607907.653
3/30/2009,6466700.233
3/31/2009,2164901.304
4/1/2009,5042331.036
4/2/2009,1358179.716
4/3/2009,1824178.96
4/4/2009,1537317.977
4/5/2009,1305774.068
4/6/2009,1915375.064
4/7/2009,859555.3867
4/8/2009,1643242.466
4/9/2009,1510515.742
4/10/2009,223494.6761
4/11/2009,1591264.968
4/12/2009,1528583.703
4/13/2009,941931.5853
4/14/2009,1517109.263
4/15/2009,2248613.332
4/16/2009,3098475.387
4/17/2009,3350810.296
4/18/2009,4668572.583
4/19/2009,2551264.514
4/20/2009,974334.0318
4/21/2009,2258169.657
4/22/2009,6153502.039
4/23/2009,5760100.03
4/24/2009,2023782.826
4/25/2009,4927089.988
4/26/2009,2037997.43
4/27/2009,4163782.884
4/28/2009,5711325.1
4/29/2009,2315439.097
4/30/2009,2944514.834
5/1/2009,8829201.831
5/2/2009,12187310.26
5/3/2009,10764443.09
5/4/2009,8785909.677
5/5/2009,10961930.67
5/6/2009,11342740.15
5/7/2009,9062605.138
5/8/2009,9476651.351
5/9/2009,8799084.486
5/10/2009,4908870.34
5/11/2009,4041155.624
5/12/2009,4134284.522
5/13/2009,3813795.359
5/14/2009,10624261.3
5/15/2009,14584222.07
5/16/2009,16350918.74
5/17/2009,8440378.067
5/18/2009,24866462.59
5/19/2009,63152437.51
5/20/2009,78398238.06
5/21/2009,120716012.2
5/22/2009,95915600.15
5/23/2009,96482929.54
5/24/2009,109477740.8
5/25/2009,111425830.1
5/26/2009,213867943.1
5/27/2009,295944946.5
5/28/2009,402944504.9
5/29/2009,545459581.6
5/30/2009,485991986.8
5/31/2009,334352969.4
6/1/2009,218581903.6
6/2/2009,164014705.8
6/3/2009,139948818.7
6/4/2009,162706301.7
