date,DIN
2/13/2009,428.7436424
2/14/2009,424.7627944
2/15/2009,420.7819467
2/16/2009,416.8010987
2/17/2009,412.8202513
2/18/2009,408.8394034
2/19/2009,404.8585556
2/20/2009,400.877708
2/21/2009,396.8968606
2/22/2009,392.9160124
2/23/2009,388.9351649
2/24/2009,384.9543169
2/25/2009,380.9734693
2/26/2009,376.9926219
2/27/2009,373.011774
2/28/2009,369.0309264
3/1/2009,365.0500783
3/2/2009,361.0692309
3/3/2009,357.0883831
3/4/2009,353.1075351
3/5/2009,349.1266874
3/6/2009,345.1458401
3/7/2009,341.1649921
3/8/2009,337.1841444
3/9/2009,333.2032964
3/10/2009,329.545813
3/11/2009,327.6266221
3/12/2009,325.707426
3/13/2009,323.7882294
3/14/2009,321.8690333
3/15/2009,319.949837
3/16/2009,318.0306409
3/17/2009,316.1114446
3/18/2009,314.1922484
3/19/2009,312.273052
3/20/2009,310.353856
3/21/2009,308.4346596
3/22/2009,306.5154636
3/23/2009,304.5962671
3/24/2009,302.6770711
3/25/2009,300.7578743
3/26/2009,298.8386786
3/27/2009,296.9194823
3/28/2009,295.0002857
3/29/2009,293.0810897
3/30/2009,291.1618934
3/31/2009,289.2426974
4/1/2009,287.3235007
4/2/2009,285.4043049
4/3/2009,283.4851084
4/4/2009,281.5659119
4/5/2009,279.6467156
4/6/2009,277.7275197
4/7/2009,275.808323
4/8/2009,273.889127
4/9/2009,271.9699307
4/10/2009,270.0507347
4/11/2009,268.1315381
4/12/2009,266.2123419
4/13/2009,264.2931461
4/14/2009,262.3739491
4/15/2009,260.4547533
4/16/2009,258.5355569
4/17/2009,256.6163609
4/18/2009,254.6971644
4/19/2009,252.7779684
4/20/2009,250.858772
4/21/2009,248.9395759
4/22/2009,247.0203796
4/23/2009,245.1011834
4/24/2009,243.181987
4/25/2009,241.2627909
4/26/2009,239.3435944
4/27/2009,237.4243983
4/28/2009,235.505202
4/29/2009,231.7142857
4/30/2009,225.6768707
5/1/2009,219.6394557
5/2/2009,213.602041
5/3/2009,207.564626
5/4/2009,201.527211
5/5/2009,195.4897959
5/6/2009,189.452381
5/7/2009,183.4149659
5/8/2009,177.3775509
5/9/2009,171.340136
5/10/2009,165.3027211
5/11/2009,159.2653061
5/12/2009,153.2278911
5/13/2009,151.74628
5/14/2009,150.2646696
5/15/2009,148.7830586
5/16/2009,147.301448
5/17/2009,145.8198369
5/18/2009,144.3382263
5/19/2009,142.8566154
5/20/2009,141.3750044
5/21/2009,139.8933936
5/22/2009,138.4117829
5/23/2009,136.930172
5/24/2009,135.4485614
5/25/2009,133.9669504
5/26/2009,132.4853396
5/27/2009,131.0037287
5/28/2009,129.5221181
5/29/2009,128.0405069
5/30/2009,126.5588963
5/31/2009,125.0772854
6/1/2009,123.5956749
6/2/2009,122.1140637
6/3/2009,120.6324529
6/4/2009,119.1508421
6/5/2009,117.6692313
6/6/2009,116.1876201
6/7/2009,114.7060097
6/8/2009,113.2243989
6/9/2009,111.7427881
6/10/2009,110.2611771
6/11/2009,108.8951116
6/12/2009,107.529046
6/13/2009,106.1629807
6/14/2009,104.796915
6/15/2009,103.4308493
6/16/2009,102.0647839
6/17/2009,100.6987184
6/18/2009,99.33265286
6/19/2009,97.96658743
6/20/2009,96.600522
6/21/2009,95.23445614
6/22/2009,93.86839086
6/23/2009,92.50232514
6/24/2009,91.13625957
6/25/2009,89.77019414
6/26/2009,88.40412843
6/27/2009,87.038063
6/28/2009,85.67199743
6/29/2009,84.30593214
6/30/2009,82.93986643
7/1/2009,81.57380086
7/2/2009,80.20773529
7/3/2009,78.84166986
7/4/2009,77.47560414
7/5/2009,76.10953857
7/6/2009,74.74347314
7/7/2009,73.95092914
7/8/2009,73.37097043
7/9/2009,72.79101171
7/10/2009,72.211053
7/11/2009,71.63109429
7/12/2009,71.05113543
7/13/2009,70.47117657
7/14/2009,69.89121786
7/15/2009,69.311259
7/16/2009,68.73130014
7/17/2009,68.15134143
7/18/2009,67.57138271
7/19/2009,66.99142386
7/20/2009,66.41146529
7/21/2009,65.83150643
7/22/2009,65.25154757
7/23/2009,64.67158886
7/24/2009,64.09162986
7/25/2009,63.51167114
7/26/2009,62.93171243
7/27/2009,62.35175371
7/28/2009,61.77179471
7/29/2009,61.191836
7/30/2009,60.61187729
7/31/2009,60.03191857
8/1/2009,59.45195971
8/2/2009,58.87200086
8/3/2009,58.292042
8/4/2009,57.71208329
8/5/2009,57.13212429
8/6/2009,56.55216571
8/7/2009,55.97220686
8/8/2009,55.392248
8/9/2009,54.81228943
8/10/2009,54.23233057
8/11/2009,53.65237171
8/12/2009,53.07241314
8/13/2009,52.49245414
8/14/2009,51.91249529
8/15/2009,51.33253657
8/16/2009,50.75257786
8/17/2009,50.17261914
8/18/2009,49.40688786
8/19/2009,49.88468071
8/20/2009,50.36247443
8/21/2009,50.84026686
8/22/2009,51.31805971
8/23/2009,51.79585257
8/24/2009,52.27364614
8/25/2009,52.75143914
8/26/2009,53.229232
8/27/2009,53.70702557
8/28/2009,54.184818
8/29/2009,54.662611
8/30/2009,55.14040386
8/31/2009,55.61819743
9/1/2009,56.09599057
9/2/2009,56.57378329
9/3/2009,57.05157686
9/4/2009,57.52936943
9/5/2009,58.00716229
9/6/2009,58.484955
9/7/2009,58.96274871
9/8/2009,59.44054171
9/9/2009,59.91833457
9/10/2009,60.39612829
9/11/2009,60.87392071
9/12/2009,61.35171357
9/13/2009,61.82950643
9/14/2009,62.3073
9/15/2009,64.27361329
9/16/2009,66.23284071
9/17/2009,68.19206786
9/18/2009,70.15129486
9/19/2009,72.11052243
9/20/2009,74.06974986
9/21/2009,76.028977
9/22/2009,77.98820443
9/23/2009,79.94743171
9/24/2009,81.90665871
9/25/2009,83.865886
9/26/2009,85.82511343
9/27/2009,87.78434071
9/28/2009,89.74356786
9/29/2009,91.70279529
9/30/2009,93.66202271
10/1/2009,95.62124986
10/2/2009,97.58047686
10/3/2009,99.53970443
10/4/2009,101.4989317
10/5/2009,103.4581589
10/6/2009,105.4173861
10/7/2009,107.3766136
10/8/2009,109.3358407
10/9/2009,111.2950677
10/10/2009,113.2542951
10/11/2009,115.2135229
10/12/2009,117.1727499
10/13/2009,118.2006279
10/14/2009,120.9698326
10/15/2009,123.7390371
10/16/2009,126.5082416
10/17/2009,129.2774464
10/18/2009,132.046651
10/19/2009,134.8158556
10/20/2009,137.5850601
10/21/2009,140.3542649
10/22/2009,143.1234691
10/23/2009,145.892674
10/24/2009,148.6618787
10/25/2009,151.4310833
10/26/2009,154.2002879
10/27/2009,156.9694924
10/28/2009,159.7386969
10/29/2009,162.5079014
10/30/2009,165.277106
10/31/2009,168.0463109
11/1/2009,170.8155157
11/2/2009,173.5847201
11/3/2009,176.3539246
11/4/2009,179.1231293
11/5/2009,181.8923337
11/6/2009,184.6615383
11/7/2009,187.4307431
11/8/2009,190.1999479
11/9/2009,192.9691523
11/10/2009,195.7383567
11/11/2009,198.5075614
11/12/2009,201.276766
11/13/2009,204.0459707
11/14/2009,206.8151754
11/15/2009,209.58438
11/16/2009,212.3535846
11/17/2009,214.6811224
11/18/2009,214.4964569
11/19/2009,214.3117914
11/20/2009,214.1271257
11/21/2009,213.9424604
11/22/2009,213.7577947
11/23/2009,213.5731293
11/24/2009,213.3884637
11/25/2009,213.2037981
11/26/2009,213.0191327
11/27/2009,212.834467
11/28/2009,212.6498017
11/29/2009,212.465136
11/30/2009,212.2804706
12/1/2009,212.095805
12/2/2009,211.9111394
12/3/2009,211.726474
12/4/2009,211.5418083
12/5/2009,211.3571429
12/6/2009,211.1724773
12/7/2009,210.9878119
12/8/2009,210.8031463
12/9/2009,210.6184807
12/10/2009,210.4338153
12/11/2009,210.2491494
12/12/2009,210.0644841
12/13/2009,209.8798186
12/14/2009,209.6951531
12/15/2009,211.4880953
12/16/2009,216.9904763
12/17/2009,222.492857
12/18/2009,227.9952381
12/19/2009,233.4976191
12/20/2009,238.9999999
12/21/2009,244.502381
12/22/2009,250.004762
12/23/2009,255.5071427
12/24/2009,261.0095239
12/25/2009,266.5119049
12/26/2009,272.0142856
12/27/2009,277.5166667
12/28/2009,283.0190477
12/29/2009,288.5214284
12/30/2009,294.0238096
12/31/2009,299.5261906
1/1/2010,305.0285713
1/2/2010,310.5309524
1/3/2010,316.0333334
1/4/2010,321.5357141
1/5/2010,327.0380953
1/6/2010,332.5404763
1/7/2010,338.042857
1/8/2010,343.5452381
1/9/2010,349.0476191
1/10/2010,354.5499999
1/11/2010,360.052381
1/12/2010,365.554762
1/13/2010,371.0571427
1/14/2010,374.9513679
1/15/2010,375.433255
1/16/2010,375.9151426
1/17/2010,376.3970296
1/18/2010,376.8789167
1/19/2010,377.3608041
1/20/2010,377.8426914
1/21/2010,378.3245787
1/22/2010,378.806466
1/23/2010,379.2883531
1/24/2010,379.7702404
1/25/2010,380.2521276
1/26/2010,380.7340149
1/27/2010,381.2159024
1/28/2010,381.6977894
1/29/2010,382.1796767
1/30/2010,382.661564
1/31/2010,383.1434511
2/1/2010,383.6253386
2/2/2010,384.1072259
2/3/2010,384.5891129
2/4/2010,385.0710004
2/5/2010,385.5528877
2/6/2010,386.0347746
2/7/2010,386.5166621
2/8/2010,386.9985493
2/9/2010,387.4804364
2/10/2010,387.9623239
2/11/2010,388.4442111
2/12/2010,388.9260984
2/13/2010,389.4079856
2/14/2010,389.8898727
2/15/2010,390.3717601
2/16/2010,390.8536474
2/17/2010,391.3355347
2/18/2010,391.8174221
2/19/2010,392.299309
2/20/2010,392.7811963
2/21/2010,393.2630837
2/22/2010,393.7449709
2/23/2010,394.2268583
2/24/2010,394.7087456
2/25/2010,395.1906326
2/26/2010,395.67252
2/27/2010,396.1544073
2/28/2010,396.6362944
3/1/2010,397.118182
3/2/2010,397.4083166
3/3/2010,397.6984516
3/4/2010,397.9885863
3/5/2010,398.2787213
3/6/2010,398.5688561
3/7/2010,398.8589911
3/8/2010,399.1491256
3/9/2010,399.4392609
3/10/2010,399.7293956
3/11/2010,399.1135756
3/12/2010,398.4977551
3/13/2010,397.8819354
3/14/2010,397.266115
3/15/2010,396.6502947
3/16/2010,396.0344749
3/17/2010,395.4186544
3/18/2010,394.8028344
3/19/2010,394.187014
3/20/2010,393.5711941
3/21/2010,392.9553737
3/22/2010,392.3395539
3/23/2010,391.7237336
3/24/2010,391.1079136
3/25/2010,390.4920933
3/26/2010,389.8762733
3/27/2010,389.2604531
3/28/2010,388.6446329
