date,Data,NO
11/17/2018,0.41174359,411.7435897
11/18/2018,0.412179487,412.1794872
11/19/2018,0.412615385,412.6153846
11/20/2018,0.413051282,413.0512821
11/21/2018,0.413487179,413.4871795
11/22/2018,0.413923077,413.9230769
11/23/2018,0.414358974,414.3589744
11/24/2018,0.414794872,414.7948718
11/25/2018,0.415230769,415.2307692
11/26/2018,0.415666667,415.6666667
11/27/2018,0.412088889,412.0888889
11/28/2018,0.408511111,408.5111111
11/29/2018,0.404933333,404.9333333
11/30/2018,0.401355556,401.3555556
12/1/2018,0.397777778,397.7777778
12/2/2018,0.3942,394.2
12/3/2018,0.390622222,390.6222222
12/4/2018,0.387044444,387.0444444
12/5/2018,0.383466667,383.4666667
12/6/2018,0.379888889,379.8888889
12/7/2018,0.376311111,376.3111111
12/8/2018,0.372733333,372.7333333
12/9/2018,0.369155556,369.1555556
12/10/2018,0.365577778,365.5777778
12/11/2018,0.362,362
12/12/2018,0.357533333,357.5333333
12/13/2018,0.353066667,353.0666667
12/14/2018,0.3486,348.6
12/15/2018,0.344133333,344.1333333
12/16/2018,0.339666667,339.6666667
12/17/2018,0.3352,335.2
12/18/2018,0.330733333,330.7333333
12/19/2018,0.326266667,326.2666667
12/20/2018,0.3218,321.8
12/21/2018,0.317333333,317.3333333
12/22/2018,0.312866667,312.8666667
12/23/2018,0.3084,308.4
12/24/2018,0.303933333,303.9333333
12/25/2018,0.299466667,299.4666667
12/26/2018,0.295,295
12/27/2018,0.288,288
12/28/2018,0.281,281
12/29/2018,0.274,274
12/30/2018,0.267,267
12/31/2018,0.26,260
1/1/2019,0.253,253
1/2/2019,0.246,246
1/3/2019,0.239,239
1/4/2019,0.232,232
1/5/2019,0.225,225
1/6/2019,0.218,218
1/7/2019,0.211,211
1/8/2019,0.210333333,210.3333333
1/9/2019,0.209666667,209.6666667
1/10/2019,0.209,209
1/11/2019,0.208333333,208.3333333
1/12/2019,0.207666667,207.6666667
1/13/2019,0.207,207
1/14/2019,0.206333333,206.3333333
1/15/2019,0.205666667,205.6666667
1/16/2019,0.205,205
1/17/2019,0.204333333,204.3333333
1/18/2019,0.203666667,203.6666667
1/19/2019,0.203,203
1/20/2019,0.202333333,202.3333333
1/21/2019,0.201666667,201.6666667
1/22/2019,0.201,201
1/23/2019,0.186538462,186.5384615
1/24/2019,0.172076923,172.0769231
1/25/2019,0.157615385,157.6153846
1/26/2019,0.143153846,143.1538462
1/27/2019,0.128692308,128.6923077
1/28/2019,0.114230769,114.2307692
1/29/2019,0.099769231,99.76923077
1/30/2019,0.085307692,85.30769231
1/31/2019,0.070846154,70.84615385
2/1/2019,0.056384615,56.38461538
2/2/2019,0.041923077,41.92307692
2/3/2019,0.027461538,27.46153846
2/4/2019,0.013,13
2/5/2019,0.0135,13.5
2/6/2019,0.014,14
2/7/2019,0.0145,14.5
2/8/2019,0.015,15
2/9/2019,0.0155,15.5
2/10/2019,0.016,16
2/11/2019,0.0165,16.5
2/12/2019,0.017,17
2/13/2019,0.0175,17.5
2/14/2019,0.018,18
2/15/2019,0.0185,18.5
2/16/2019,0.019,19
2/17/2019,0.0195,19.5
2/18/2019,0.02,20
2/19/2019,0.024904762,24.9047619
2/20/2019,0.029809524,29.80952381
2/21/2019,0.034714286,34.71428571
2/22/2019,0.039619048,39.61904762
2/23/2019,0.04452381,44.52380952
2/24/2019,0.049428571,49.42857143
2/25/2019,0.054333333,54.33333333
2/26/2019,0.059238095,59.23809524
2/27/2019,0.064142857,64.14285714
2/28/2019,0.069047619,69.04761905
3/1/2019,0.073952381,73.95238095
3/2/2019,0.078857143,78.85714286
3/3/2019,0.083761905,83.76190476
3/4/2019,0.088666667,88.66666667
3/5/2019,0.087333333,87.33333333
3/6/2019,0.086,86
3/7/2019,0.085916667,85.91666667
3/8/2019,0.085833333,85.83333333
3/9/2019,0.08575,85.75
3/10/2019,0.085666667,85.66666667
3/11/2019,0.085583333,85.58333333
3/12/2019,0.0855,85.5
3/13/2019,0.085416667,85.41666667
3/14/2019,0.085333333,85.33333333
3/15/2019,0.08525,85.25
3/16/2019,0.085166667,85.16666667
3/17/2019,0.085083333,85.08333333
3/18/2019,0.085,85
3/19/2019,0.081571429,81.57142857
3/20/2019,0.078142857,78.14285714
3/21/2019,0.074714286,74.71428571
3/22/2019,0.071285714,71.28571429
3/23/2019,0.067857143,67.85714286
3/24/2019,0.064428571,64.42857143
3/25/2019,0.061,61
3/26/2019,0.057571429,57.57142857
3/27/2019,0.054142857,54.14285714
3/28/2019,0.050714286,50.71428571
3/29/2019,0.047285714,47.28571429
3/30/2019,0.043857143,43.85714286
3/31/2019,0.040428571,40.42857143
4/1/2019,0.037,37
4/2/2019,0.033571429,33.57142857
4/3/2019,0.030142857,30.14285714
4/4/2019,0.026714286,26.71428571
4/5/2019,0.023285714,23.28571429
4/6/2019,0.019857143,19.85714286
4/7/2019,0.016428571,16.42857143
4/8/2019,0.013,13
4/9/2019,0.012428571,12.42857143
4/10/2019,0.011857143,11.85714286
4/11/2019,0.011285714,11.28571429
4/12/2019,0.010714286,10.71428571
4/13/2019,0.010142857,10.14285714
4/14/2019,0.009571429,9.571428571
4/15/2019,0.009,9
4/16/2019,0.008428571,8.428571429
4/17/2019,0.007857143,7.857142857
4/18/2019,0.007285714,7.285714286
4/19/2019,0.006714286,6.714285714
4/20/2019,0.006142857,6.142857143
4/21/2019,0.005571429,5.571428571
4/22/2019,0.005,5
4/23/2019,0.005152542,5.152542373
4/24/2019,0.005305085,5.305084746
4/25/2019,0.005457627,5.457627119
4/26/2019,0.005610169,5.610169492
4/27/2019,0.005762712,5.762711864
4/28/2019,0.005915254,5.915254237
4/29/2019,0.006067797,6.06779661
4/30/2019,0.006220339,6.220338983
5/1/2019,0.006372881,6.372881356
5/2/2019,0.006525424,6.525423729
5/3/2019,0.006677966,6.677966102
5/4/2019,0.006830508,6.830508475
5/5/2019,0.006983051,6.983050847
5/6/2019,0.007135593,7.13559322
5/7/2019,0.007288136,7.288135593
5/8/2019,0.007440678,7.440677966
5/9/2019,0.00759322,7.593220339
5/10/2019,0.007745763,7.745762712
5/11/2019,0.007898305,7.898305085
5/12/2019,0.008050847,8.050847458
5/13/2019,0.00820339,8.203389831
5/14/2019,0.008355932,8.355932203
5/15/2019,0.008508475,8.508474576
5/16/2019,0.008661017,8.661016949
5/17/2019,0.008813559,8.813559322
5/18/2019,0.008966102,8.966101695
5/19/2019,0.009118644,9.118644068
5/20/2019,0.009271186,9.271186441
5/21/2019,0.009423729,9.423728814
5/22/2019,0.009576271,9.576271186
5/23/2019,0.009728814,9.728813559
5/24/2019,0.009881356,9.881355932
5/25/2019,0.010033898,10.03389831
5/26/2019,0.010186441,10.18644068
5/27/2019,0.010338983,10.33898305
5/28/2019,0.010491525,10.49152542
5/29/2019,0.010644068,10.6440678
5/30/2019,0.01079661,10.79661017
5/31/2019,0.010949153,10.94915254
6/1/2019,0.011101695,11.10169492
6/2/2019,0.011254237,11.25423729
6/3/2019,0.01140678,11.40677966
6/4/2019,0.011559322,11.55932203
6/5/2019,0.011711864,11.71186441
6/6/2019,0.011864407,11.86440678
6/7/2019,0.012016949,12.01694915
6/8/2019,0.012169492,12.16949153
6/9/2019,0.012322034,12.3220339
6/10/2019,0.012474576,12.47457627
6/11/2019,0.012627119,12.62711864
6/12/2019,0.012779661,12.77966102
6/13/2019,0.012932203,12.93220339
6/14/2019,0.013084746,13.08474576
6/15/2019,0.013237288,13.23728814
6/16/2019,0.013389831,13.38983051
6/17/2019,0.013542373,13.54237288
6/18/2019,0.013694915,13.69491525
6/19/2019,0.013847458,13.84745763
6/20/2019,0.014,14
6/21/2019,0.01652,16.52
6/22/2019,0.01904,19.04
6/23/2019,0.02156,21.56
6/24/2019,0.02408,24.08
6/25/2019,0.0266,26.6
6/26/2019,0.02912,29.12
6/27/2019,0.03164,31.64
6/28/2019,0.03416,34.16
6/29/2019,0.03668,36.68
6/30/2019,0.0392,39.2
7/1/2019,0.04172,41.72
7/2/2019,0.04424,44.24
7/3/2019,0.04676,46.76
7/4/2019,0.04928,49.28
7/5/2019,0.0518,51.8
7/6/2019,0.05432,54.32
7/7/2019,0.05684,56.84
7/8/2019,0.05936,59.36
7/9/2019,0.06188,61.88
7/10/2019,0.0644,64.4
7/11/2019,0.06692,66.92
7/12/2019,0.06944,69.44
7/13/2019,0.07196,71.96
7/14/2019,0.07448,74.48
7/15/2019,0.077,77
7/16/2019,0.071857143,71.85714286
7/17/2019,0.066714286,66.71428571
7/18/2019,0.061571429,61.57142857
7/19/2019,0.056428571,56.42857143
7/20/2019,0.051285714,51.28571429
7/21/2019,0.046142857,46.14285714
7/22/2019,0.041,41
7/23/2019,0.035857143,35.85714286
7/24/2019,0.030714286,30.71428571
7/25/2019,0.025571429,25.57142857
7/26/2019,0.020428571,20.42857143
7/27/2019,0.015285714,15.28571429
7/28/2019,0.010142857,10.14285714
7/29/2019,0.005,5
7/30/2019,0.005214286,5.214285714
7/31/2019,0.005428571,5.428571429
8/1/2019,0.005642857,5.642857143
8/2/2019,0.005857143,5.857142857
8/3/2019,0.006071429,6.071428571
8/4/2019,0.006285714,6.285714286
8/5/2019,0.0065,6.5
8/6/2019,0.006714286,6.714285714
8/7/2019,0.006928571,6.928571429
8/8/2019,0.007142857,7.142857143
8/9/2019,0.007357143,7.357142857
8/10/2019,0.007571429,7.571428571
8/11/2019,0.007785714,7.785714286
8/12/2019,0.008,8
8/13/2019,0.008214286,8.214285714
8/14/2019,0.008428571,8.428571429
8/15/2019,0.008642857,8.642857143
8/16/2019,0.008857143,8.857142857
8/17/2019,0.009071429,9.071428571
8/18/2019,0.009285714,9.285714286
8/19/2019,0.0095,9.5
8/20/2019,0.009714286,9.714285714
8/21/2019,0.009928571,9.928571429
8/22/2019,0.010142857,10.14285714
8/23/2019,0.010357143,10.35714286
8/24/2019,0.010571429,10.57142857
8/25/2019,0.010785714,10.78571429
8/26/2019,0.011,11
8/27/2019,0.012071429,12.07142857
8/28/2019,0.013142857,13.14285714
8/29/2019,0.014214286,14.21428571
8/30/2019,0.015285714,15.28571429
8/31/2019,0.016357143,16.35714286
9/1/2019,0.017428571,17.42857143
9/2/2019,0.0185,18.5
9/3/2019,0.019571429,19.57142857
9/4/2019,0.020642857,20.64285714
9/5/2019,0.021714286,21.71428571
9/6/2019,0.022785714,22.78571429
9/7/2019,0.023857143,23.85714286
9/8/2019,0.024928571,24.92857143
9/9/2019,0.026,26
9/10/2019,0.025428571,25.42857143
9/11/2019,0.024857143,24.85714286
9/12/2019,0.024285714,24.28571429
9/13/2019,0.023714286,23.71428571
9/14/2019,0.023142857,23.14285714
9/15/2019,0.022571429,22.57142857
9/16/2019,0.022,22
9/17/2019,0.021428571,21.42857143
9/18/2019,0.020857143,20.85714286
9/19/2019,0.020285714,20.28571429
9/20/2019,0.019714286,19.71428571
9/21/2019,0.019142857,19.14285714
9/22/2019,0.018571429,18.57142857
9/23/2019,0.018,18
9/24/2019,0.021733333,21.73333333
9/25/2019,0.025466667,25.46666667
9/26/2019,0.0292,29.2
9/27/2019,0.032933333,32.93333333
9/28/2019,0.036666667,36.66666667
