date,NO
11/27/2008,362.378061
11/28/2008,363.917857
11/29/2008,365.457653
11/30/2008,366.997449
12/1/2008,368.537245
12/2/2008,370.077041
12/3/2008,371.616837
12/4/2008,373.156633
12/5/2008,374.696429
12/6/2008,376.236224
12/7/2008,377.77602
12/8/2008,379.315816
12/9/2008,380.855612
12/10/2008,382.395408
12/11/2008,383.935204
12/12/2008,385.475
12/13/2008,387.014796
12/14/2008,388.554592
12/15/2008,390.094388
12/16/2008,391.910714
12/17/2008,391.52551
12/18/2008,391.140306
12/19/2008,390.755102
12/20/2008,390.369898
12/21/2008,389.984694
12/22/2008,389.59949
12/23/2008,389.214286
12/24/2008,388.829082
12/25/2008,388.443878
12/26/2008,388.058673
12/27/2008,387.673469
12/28/2008,387.288265
12/29/2008,386.903061
12/30/2008,386.517857
12/31/2008,386.132653
1/1/2009,385.747449
1/2/2009,385.362245
1/3/2009,384.977041
1/4/2009,384.591836
1/5/2009,384.206633
1/6/2009,383.821429
1/7/2009,383.436224
1/8/2009,383.051021
1/9/2009,382.665816
1/10/2009,382.280612
1/11/2009,381.895408
1/12/2009,381.510204
1/13/2009,378.986735
1/14/2009,380.561565
1/15/2009,382.136394
1/16/2009,383.711225
1/17/2009,385.286054
1/18/2009,386.860884
1/19/2009,388.435714
1/20/2009,390.010544
1/21/2009,391.585374
1/22/2009,393.160204
1/23/2009,394.735034
1/24/2009,396.309864
1/25/2009,397.884694
1/26/2009,399.459524
1/27/2009,401.034354
1/28/2009,402.609184
1/29/2009,404.184014
1/30/2009,405.758844
1/31/2009,407.333673
2/1/2009,408.908504
2/2/2009,410.483333
2/3/2009,412.058163
2/4/2009,413.632993
2/5/2009,415.207823
2/6/2009,416.782653
2/7/2009,418.357483
2/8/2009,419.932313
2/9/2009,421.507143
2/10/2009,423.062585
2/11/2009,424.618027
2/12/2009,426.173469
2/13/2009,422.154553
2/14/2009,418.135636
2/15/2009,414.116719
2/16/2009,410.097802
2/17/2009,406.078886
2/18/2009,402.059969
2/19/2009,398.041052
2/20/2009,394.022135
2/21/2009,390.003218
2/22/2009,385.984301
2/23/2009,381.965385
2/24/2009,377.946468
2/25/2009,373.927551
2/26/2009,369.908634
2/27/2009,365.889717
2/28/2009,361.870801
3/1/2009,357.851884
3/2/2009,353.832967
3/3/2009,349.81405
3/4/2009,345.795133
3/5/2009,341.776217
3/6/2009,337.7573
3/7/2009,333.738383
3/8/2009,329.719466
3/9/2009,325.700549
3/10/2009,322.047213
3/11/2009,320.06091
3/12/2009,318.074601
3/13/2009,316.088292
3/14/2009,314.101984
3/15/2009,312.115675
3/16/2009,310.129366
3/17/2009,308.143057
3/18/2009,306.156748
3/19/2009,304.17044
3/20/2009,302.184131
3/21/2009,300.197822
3/22/2009,298.211513
3/23/2009,296.225204
3/24/2009,294.238896
3/25/2009,292.252587
3/26/2009,290.266278
3/27/2009,288.279969
3/28/2009,286.29366
3/29/2009,284.307351
3/30/2009,282.321043
3/31/2009,280.334734
4/1/2009,278.348425
4/2/2009,276.362116
4/3/2009,274.375807
4/4/2009,272.389499
4/5/2009,270.40319
4/6/2009,268.416881
4/7/2009,266.430572
4/8/2009,264.444263
4/9/2009,262.457955
4/10/2009,260.471646
4/11/2009,258.485337
4/12/2009,256.499028
4/13/2009,254.51272
4/14/2009,252.52641
4/15/2009,250.540102
4/16/2009,248.553793
4/17/2009,246.567484
4/18/2009,244.581175
4/19/2009,242.594867
4/20/2009,240.608558
4/21/2009,238.622249
4/22/2009,236.63594
4/23/2009,234.649631
4/24/2009,232.663322
4/25/2009,230.677014
4/26/2009,228.690705
4/27/2009,226.704396
4/28/2009,224.718087
4/29/2009,221.063776
4/30/2009,214.848378
5/1/2009,208.63298
5/2/2009,202.417582
5/3/2009,196.202185
5/4/2009,189.986787
5/5/2009,183.771389
5/6/2009,177.555992
5/7/2009,171.340594
5/8/2009,165.125196
5/9/2009,158.909799
5/10/2009,152.694401
5/11/2009,146.479003
5/12/2009,140.263605
5/13/2009,138.918389
5/14/2009,137.573173
5/15/2009,136.227957
5/16/2009,134.882741
5/17/2009,133.537525
5/18/2009,132.192309
5/19/2009,130.847093
5/20/2009,129.501877
5/21/2009,128.156661
5/22/2009,126.811445
5/23/2009,125.466229
5/24/2009,124.121013
5/25/2009,122.775797
5/26/2009,121.430581
5/27/2009,120.085365
5/28/2009,118.740149
5/29/2009,117.394933
5/30/2009,116.049717
5/31/2009,114.704501
6/1/2009,113.359285
6/2/2009,112.014069
6/3/2009,110.668853
6/4/2009,109.323637
6/5/2009,107.978421
6/6/2009,106.633205
6/7/2009,105.287989
6/8/2009,103.942773
6/9/2009,102.597557
6/10/2009,101.252341
6/11/2009,99.873761
6/12/2009,98.495182
6/13/2009,97.116602
6/14/2009,95.738022
6/15/2009,94.359443
6/16/2009,92.980863
6/17/2009,91.602284
6/18/2009,90.223704
6/19/2009,88.845125
6/20/2009,87.466545
6/21/2009,86.087966
6/22/2009,84.709386
6/23/2009,83.330807
6/24/2009,81.952227
6/25/2009,80.573648
6/26/2009,79.195068
6/27/2009,77.816489
6/28/2009,76.437909
6/29/2009,75.05933
6/30/2009,73.68075
7/1/2009,72.30217
7/2/2009,70.923591
7/3/2009,69.545011
7/4/2009,68.166432
7/5/2009,66.787852
7/6/2009,65.409273
7/7/2009,64.639929
7/8/2009,64.107169
7/9/2009,63.574409
7/10/2009,63.041649
7/11/2009,62.508889
7/12/2009,61.976129
7/13/2009,61.443369
7/14/2009,60.910609
7/15/2009,60.377849
7/16/2009,59.845089
7/17/2009,59.312329
7/18/2009,58.779569
7/19/2009,58.246809
7/20/2009,57.714049
7/21/2009,57.181289
7/22/2009,56.648529
7/23/2009,56.115769
7/24/2009,55.583009
7/25/2009,55.050249
7/26/2009,54.517489
7/27/2009,53.984729
7/28/2009,53.451969
7/29/2009,52.919209
7/30/2009,52.386449
7/31/2009,51.853689
8/1/2009,51.320929
8/2/2009,50.788169
8/3/2009,50.255409
8/4/2009,49.722649
8/5/2009,49.189889
8/6/2009,48.657129
8/7/2009,48.124369
8/8/2009,47.591609
8/9/2009,47.058849
8/10/2009,46.526089
8/11/2009,45.993329
8/12/2009,45.460569
8/13/2009,44.927809
8/14/2009,44.395049
8/15/2009,43.862289
8/16/2009,43.329529
8/17/2009,42.796769
8/18/2009,41.924745
8/19/2009,42.244375
8/20/2009,42.564005
8/21/2009,42.883634
8/22/2009,43.203264
8/23/2009,43.522894
8/24/2009,43.842524
8/25/2009,44.162153
8/26/2009,44.481783
8/27/2009,44.801413
8/28/2009,45.121043
8/29/2009,45.440672
8/30/2009,45.760302
8/31/2009,46.079932
9/1/2009,46.399562
9/2/2009,46.719192
9/3/2009,47.038821
9/4/2009,47.358451
9/5/2009,47.678081
9/6/2009,47.99771
9/7/2009,48.31734
9/8/2009,48.63697
9/9/2009,48.9566
9/10/2009,49.27623
9/11/2009,49.59586
9/12/2009,49.915489
9/13/2009,50.235119
9/14/2009,50.554749
9/15/2009,52.510858
9/16/2009,54.5058
9/17/2009,56.500741
9/18/2009,58.495683
9/19/2009,60.490624
9/20/2009,62.485566
9/21/2009,64.480508
9/22/2009,66.475449
9/23/2009,68.470391
9/24/2009,70.465332
9/25/2009,72.460274
9/26/2009,74.455215
9/27/2009,76.450157
9/28/2009,78.445098
9/29/2009,80.44004
9/30/2009,82.434982
10/1/2009,84.429923
10/2/2009,86.424865
10/3/2009,88.419806
10/4/2009,90.414748
10/5/2009,92.409689
10/6/2009,94.404631
10/7/2009,96.399573
10/8/2009,98.394514
10/9/2009,100.389456
10/10/2009,102.384397
10/11/2009,104.379339
10/12/2009,106.37428
10/13/2009,107.478406
10/14/2009,110.348857
10/15/2009,113.219309
10/16/2009,116.089761
10/17/2009,118.960213
10/18/2009,121.830664
10/19/2009,124.701116
10/20/2009,127.571568
10/21/2009,130.44202
10/22/2009,133.312472
10/23/2009,136.182924
10/24/2009,139.053375
10/25/2009,141.923827
10/26/2009,144.794279
10/27/2009,147.664731
10/28/2009,150.535182
10/29/2009,153.405634
10/30/2009,156.276086
10/31/2009,159.146538
11/1/2009,162.016989
11/2/2009,164.887441
11/3/2009,167.757893
11/4/2009,170.628345
11/5/2009,173.498796
11/6/2009,176.369248
11/7/2009,179.2397
11/8/2009,182.110152
11/9/2009,184.980603
11/10/2009,187.851055
11/11/2009,190.721507
11/12/2009,193.591959
11/13/2009,196.462411
11/14/2009,199.332862
11/15/2009,202.203314
11/16/2009,205.073766
11/17/2009,207.403061
11/18/2009,207.017857
11/19/2009,206.632653
11/20/2009,206.247449
11/21/2009,205.862245
11/22/2009,205.477041
11/23/2009,205.091837
11/24/2009,204.706633
11/25/2009,204.321429
11/26/2009,203.936224
11/27/2009,203.55102
11/28/2009,203.165816
11/29/2009,202.780612
11/30/2009,202.395408
12/1/2009,202.010204
12/2/2009,201.625
12/3/2009,201.239796
12/4/2009,200.854592
12/5/2009,200.469388
12/6/2009,200.084184
12/7/2009,199.69898
12/8/2009,199.313776
12/9/2009,198.928571
12/10/2009,198.543367
12/11/2009,198.158163
12/12/2009,197.772959
12/13/2009,197.387755
