date,NH4
4/11/2009,9.646201
4/12/2009,9.713314
4/13/2009,9.780427
4/14/2009,9.847539
4/15/2009,9.914651
4/16/2009,9.981764
4/17/2009,10.048877
4/18/2009,10.115989
4/19/2009,10.183102
4/20/2009,10.250214
4/21/2009,10.317327
4/22/2009,10.384439
4/23/2009,10.451552
4/24/2009,10.518665
4/25/2009,10.585777
4/26/2009,10.65289
4/27/2009,10.720002
4/28/2009,10.787115
4/29/2009,10.65051
4/30/2009,10.828493
5/1/2009,11.006476
5/2/2009,11.184459
5/3/2009,11.362441
5/4/2009,11.540424
5/5/2009,11.718407
5/6/2009,11.896389
5/7/2009,12.074372
5/8/2009,12.252355
5/9/2009,12.430337
5/10/2009,12.60832
5/11/2009,12.786303
5/12/2009,12.964286
5/13/2009,12.827891
5/14/2009,12.691496
5/15/2009,12.555101
5/16/2009,12.418707
5/17/2009,12.282311
5/18/2009,12.145917
5/19/2009,12.009522
5/20/2009,11.873127
5/21/2009,11.736732
5/22/2009,11.600338
5/23/2009,11.463943
5/24/2009,11.327548
5/25/2009,11.191153
5/26/2009,11.054759
5/27/2009,10.918364
5/28/2009,10.781969
5/29/2009,10.645574
5/30/2009,10.509179
5/31/2009,10.372785
6/1/2009,10.23639
6/2/2009,10.099995
6/3/2009,9.9636
6/4/2009,9.827205
6/5/2009,9.690811
6/6/2009,9.554416
6/7/2009,9.418021
6/8/2009,9.281626
6/9/2009,9.145231
6/10/2009,9.008837
6/11/2009,9.021351
6/12/2009,9.033864
6/13/2009,9.046379
6/14/2009,9.058893
6/15/2009,9.071406
6/16/2009,9.08392
6/17/2009,9.096435
6/18/2009,9.108948
6/19/2009,9.121463
6/20/2009,9.133977
6/21/2009,9.14649
6/22/2009,9.159004
6/23/2009,9.171518
6/24/2009,9.184033
6/25/2009,9.196547
6/26/2009,9.20906
6/27/2009,9.221574
6/28/2009,9.234088
6/29/2009,9.246602
6/30/2009,9.259117
7/1/2009,9.271631
7/2/2009,9.284144
7/3/2009,9.296659
7/4/2009,9.309172
7/5/2009,9.321686
7/6/2009,9.3342
7/7/2009,9.311
7/8/2009,9.263801
7/9/2009,9.216603
7/10/2009,9.169404
7/11/2009,9.122205
7/12/2009,9.075006
7/13/2009,9.027807
7/14/2009,8.980609
7/15/2009,8.93341
7/16/2009,8.886211
7/17/2009,8.839012
7/18/2009,8.791814
7/19/2009,8.744615
7/20/2009,8.697416
7/21/2009,8.650217
7/22/2009,8.603019
7/23/2009,8.55582
7/24/2009,8.508621
7/25/2009,8.461422
7/26/2009,8.414223
7/27/2009,8.367025
7/28/2009,8.319826
7/29/2009,8.272627
7/30/2009,8.225428
7/31/2009,8.17823
8/1/2009,8.131031
8/2/2009,8.083832
8/3/2009,8.036633
8/4/2009,7.989434
8/5/2009,7.942236
8/6/2009,7.895037
8/7/2009,7.847838
8/8/2009,7.800639
8/9/2009,7.753441
8/10/2009,7.706242
8/11/2009,7.659043
8/12/2009,7.611844
8/13/2009,7.564645
8/14/2009,7.517447
8/15/2009,7.470248
8/16/2009,7.423049
8/17/2009,7.37585
8/18/2009,7.482143
8/19/2009,7.640306
8/20/2009,7.79847
8/21/2009,7.956633
8/22/2009,8.114796
8/23/2009,8.272959
8/24/2009,8.431123
8/25/2009,8.589286
8/26/2009,8.747449
8/27/2009,8.905613
8/28/2009,9.063775
8/29/2009,9.221939
8/30/2009,9.380102
8/31/2009,9.538265
9/1/2009,9.696429
9/2/2009,9.854592
9/3/2009,10.012755
9/4/2009,10.170918
9/5/2009,10.329082
9/6/2009,10.487245
9/7/2009,10.645408
9/8/2009,10.803572
9/9/2009,10.961735
9/10/2009,11.119898
9/11/2009,11.278061
