date,Data_x,Data_y,Data_x,Data_y,Data,Mean_OP,OP
3/30/2020,0.053,0.077035714,0.078464286,0.054142857,0.069035714,0.066335714,66.33571429
3/31/2020,0.05425,0.077142857,0.078857143,0.054,0.069142857,0.066678571,66.67857143
4/1/2020,0.0555,0.07725,0.07925,0.053857143,0.06925,0.067021429,67.02142857
4/2/2020,0.05675,0.077357143,0.079642857,0.053714286,0.069357143,0.067364286,67.36428571
4/3/2020,0.058,0.077464286,0.080035714,0.053571429,0.069464286,0.067707143,67.70714286
4/4/2020,0.05925,0.077571429,0.080428571,0.053428571,0.069571429,0.06805,68.05
4/5/2020,0.0605,0.077678571,0.080821429,0.053285714,0.069678571,0.068392857,68.39285714
4/6/2020,0.06175,0.077785714,0.081214286,0.053142857,0.069785714,0.068735714,68.73571429
4/7/2020,0.063,0.077892857,0.081607143,0.053,0.069892857,0.069078571,69.07857143
4/8/2020,0.063107143,0.078,0.082,0.052892857,0.07,0.0692,69.2
4/9/2020,0.063214286,0.07825,0.081535714,0.052785714,0.070321429,0.069221429,69.22142857
4/10/2020,0.063321429,0.0785,0.081071429,0.052678571,0.070642857,0.069242857,69.24285714
4/11/2020,0.063428571,0.07875,0.080607143,0.052571429,0.070964286,0.069264286,69.26428571
4/12/2020,0.063535714,0.079,0.080142857,0.052464286,0.071285714,0.069285714,69.28571429
4/13/2020,0.063642857,0.07925,0.079678571,0.052357143,0.071607143,0.069307143,69.30714286
4/14/2020,0.06375,0.0795,0.079214286,0.05225,0.071928571,0.069328571,69.32857143
4/15/2020,0.063857143,0.07975,0.07875,0.052142857,0.07225,0.06935,69.35
4/16/2020,0.063964286,0.08,0.078285714,0.052035714,0.072571429,0.069371429,69.37142857
4/17/2020,0.064071429,0.08025,0.077821429,0.051928571,0.072892857,0.069392857,69.39285714
4/18/2020,0.064178571,0.0805,0.077357143,0.051821429,0.073214286,0.069414286,69.41428571
4/19/2020,0.064285714,0.08075,0.076892857,0.051714286,0.073535714,0.069435714,69.43571429
4/20/2020,0.064392857,0.081,0.076428571,0.051607143,0.073857143,0.069457143,69.45714286
4/21/2020,0.0645,0.08125,0.075964286,0.0515,0.074178571,0.069478571,69.47857143
4/22/2020,0.064607143,0.0815,0.0755,0.051392857,0.0745,0.0695,69.5
4/23/2020,0.064714286,0.08175,0.075035714,0.051285714,0.074821429,0.069521429,69.52142857
4/24/2020,0.064821429,0.082,0.074571429,0.051178571,0.075142857,0.069542857,69.54285714
4/25/2020,0.064928571,0.08225,0.074107143,0.051071429,0.075464286,0.069564286,69.56428571
4/26/2020,0.065035714,0.0825,0.073642857,0.050964286,0.075785714,0.069585714,69.58571429
4/27/2020,0.065142857,0.08275,0.073178571,0.050857143,0.076107143,0.069607143,69.60714286
4/28/2020,0.06525,0.083,0.072714286,0.05075,0.076428571,0.069628571,69.62857143
4/29/2020,0.065357143,0.08325,0.07225,0.050642857,0.07675,0.06965,69.65
4/30/2020,0.065464286,0.0835,0.071785714,0.050535714,0.077071429,0.069671429,69.67142857
5/1/2020,0.065571429,0.08375,0.071321429,0.050428571,0.077392857,0.069692857,69.69285714
