Date,SLTRIB
29-Dec-01,96.75
30-Dec-01,96.77
31-Dec-01,99.68
1-Jan-02,101.22
2-Jan-02,100.87
3-Jan-02,123.33
4-Jan-02,24.57
5-Jan-02,25
6-Jan-02,25.7
7-Jan-02,22.54
8-Jan-02,21.89
9-Jan-02,23.84
10-Jan-02,24.43
11-Jan-02,23.84
12-Jan-02,20.27
13-Jan-02,22.29
14-Jan-02,26.25
15-Jan-02,28.53
16-Jan-02,135.32
17-Jan-02,34.85
18-Jan-02,25.48
19-Jan-02,25.69
20-Jan-02,25.7
21-Jan-02,23.95
22-Jan-02,23.91
23-Jan-02,23.17
24-Jan-02,20.26
25-Jan-02,19.33
26-Jan-02,15.4
27-Jan-02,16.52
28-Jan-02,17
29-Jan-02,14.11
30-Jan-02,13.49
31-Jan-02,14.67
1-Feb-02,14.86
2-Feb-02,13.64
3-Feb-02,13.5
4-Feb-02,13.71
5-Feb-02,11.46
6-Feb-02,11.67
7-Feb-02,9.91
8-Feb-02,7.42
9-Feb-02,9.54
10-Feb-02,15.28
11-Feb-02,556.13
12-Feb-02,484.1
13-Feb-02,342.81
14-Feb-02,251.44
15-Feb-02,246.18
16-Feb-02,241.69
17-Feb-02,239.23
18-Feb-02,123.97
19-Feb-02,44.67
20-Feb-02,234.59
21-Feb-02,53.58
22-Feb-02,85.08
23-Feb-02,304.34
24-Feb-02,483.15
25-Feb-02,440.94
26-Feb-02,412.2
27-Feb-02,144.13
28-Feb-02,72.99
1-Mar-02,74.45
2-Mar-02,76.69
3-Mar-02,80.62
4-Mar-02,83.98
5-Mar-02,84.62
6-Mar-02,84.91
7-Mar-02,83.37
8-Mar-02,82.84
9-Mar-02,81.54
10-Mar-02,80.4
11-Mar-02,78.33
12-Mar-02,76.43
13-Mar-02,72.45
14-Mar-02,70.97
15-Mar-02,69.88
16-Mar-02,68.23
17-Mar-02,67.91
18-Mar-02,75.2
19-Mar-02,70.55
20-Mar-02,68.73
21-Mar-02,42.07
22-Mar-02,3.6
23-Mar-02,3.38
24-Mar-02,4.01
25-Mar-02,4.53
26-Mar-02,5.67
27-Mar-02,7
28-Mar-02,5.65
29-Mar-02,6.69
30-Mar-02,2.14
31-Mar-02,1.08
1-Apr-02,0.76
2-Apr-02,0.33
3-Apr-02,3
4-Apr-02,1.67
5-Apr-02,0.18
6-Apr-02,0
7-Apr-02,0
8-Apr-02,0
9-Apr-02,0
10-Apr-02,0
11-Apr-02,0
12-Apr-02,1.69
13-Apr-02,0.46
14-Apr-02,3.15
15-Apr-02,5.2
16-Apr-02,6.5
17-Apr-02,5.78
18-Apr-02,6.17
19-Apr-02,6.31
20-Apr-02,5.79
21-Apr-02,3.8
22-Apr-02,3.3
23-Apr-02,3.05
24-Apr-02,1.85
25-Apr-02,0.56
26-Apr-02,0.09
27-Apr-02,0
28-Apr-02,0
29-Apr-02,0
30-Apr-02,0
1-May-02,0
2-May-02,0
3-May-02,0
4-May-02,0
5-May-02,0
6-May-02,0
7-May-02,0
8-May-02,0
9-May-02,0
10-May-02,0
11-May-02,0
12-May-02,0
13-May-02,0
14-May-02,0
15-May-02,0
16-May-02,0
17-May-02,0
18-May-02,0
19-May-02,0
20-May-02,0
21-May-02,522
22-May-02,9
23-May-02,1.17
24-May-02,50
25-May-02,4
26-May-02,2
27-May-02,0.31
28-May-02,0
29-May-02,0
30-May-02,0
31-May-02,0
1-Jun-02,0
2-Jun-02,0
