,Date,Total_Outflows_acft
6525,2008-11-12,3331.367591
6526,2008-11-13,2999.250351
6527,2008-11-14,2986.099745
6528,2008-11-15,2013.80788
6529,2008-11-16,2388.134
6530,2008-11-17,3434.6881049999997
6531,2008-11-18,3440.1427299999996
6532,2008-11-19,3758.6531609999997
6533,2008-11-20,4180.305590999999
6534,2008-11-21,3289.337225
6535,2008-11-22,3315.757446
6536,2008-11-23,2648.984085
6537,2008-11-24,3089.975641
6538,2008-11-25,5599.360996
6539,2008-11-26,6141.431711
6540,2008-11-27,4875.8198649999995
6541,2008-11-28,4272.53834
6542,2008-11-29,3927.1316509999997
6543,2008-11-30,2627.839975
6544,2008-12-01,936.2120002
6545,2008-12-02,3035.6277410000002
6546,2008-12-03,4941.275366
6547,2008-12-04,6249.135761
6548,2008-12-05,5738.503521
6549,2008-12-06,4421.65787
6550,2008-12-07,3105.1295800000003
6551,2008-12-08,4574.744401
6552,2008-12-09,4606.123371
6553,2008-12-10,3216.0865710000003
6554,2008-12-11,2100.5265010000003
6555,2008-12-12,1243.6545
6556,2008-12-13,864.8060001
6557,2008-12-14,1523.328001
6558,2008-12-15,908.4430002
6559,2008-12-16,1641.78262
6560,2008-12-17,2339.478745
6561,2008-12-18,1967.7113399999998
6562,2008-12-19,1869.32974
6563,2008-12-20,2010.31692
6564,2008-12-21,1993.675355
6565,2008-12-22,2453.9862
6566,2008-12-23,3634.466225
6567,2008-12-24,3783.2683950000005
6568,2008-12-25,1904.2393399999999
6569,2008-12-26,1953.46981
6570,2008-12-27,1955.85001
6571,2008-12-28,2134.9600600000003
6572,2008-12-29,2565.5184050000003
6573,2008-12-30,3936.354925
6574,2008-12-31,4594.519895
6575,2009-01-01,4558.499535
6576,2009-01-02,3907.157805
6577,2009-01-03,3133.25561
6578,2009-01-04,2464.9747899999998
6579,2009-01-05,2510.79364
6580,2009-01-06,3351.79764
6581,2009-01-07,3782.89153
6582,2009-01-08,2880.7957300000003
6583,2009-01-09,5987.98815
6584,2009-01-10,5174.475460000001
6585,2009-01-11,4523.41142
6586,2009-01-12,3947.660875
6587,2009-01-13,3667.1741399999996
6588,2009-01-14,4092.6943950000004
6589,2009-01-15,7677.553284999999
6590,2009-01-16,7386.1573
6591,2009-01-17,4693.536215
6592,2009-01-18,2606.6958649999997
6593,2009-01-19,3632.363715
6594,2009-01-20,8837.742105
6595,2009-01-21,9420.256384999999
