Date,SLTRIB
31-Jan-10,49.28
1-Feb-10,697.68
2-Feb-10,52.11
3-Feb-10,163.69
4-Feb-10,318.49
5-Feb-10,448.12
6-Feb-10,331.61
7-Feb-10,211.81
8-Feb-10,197
9-Feb-10,326.14
10-Feb-10,372.03
11-Feb-10,63.66
12-Feb-10,355.63
13-Feb-10,379.34
14-Feb-10,152.76
15-Feb-10,492.18
16-Feb-10,364.63
17-Feb-10,280.83
18-Feb-10,33.88
19-Feb-10,24.55
20-Feb-10,153.79
21-Feb-10,159.08
22-Feb-10,129.15
23-Feb-10,188.32
24-Feb-10,307.68
25-Feb-10,277.59
26-Feb-10,315.4
27-Feb-10,83.65
28-Feb-10,294.92
1-Mar-10,203.12
2-Mar-10,372.68
3-Mar-10,203.05
4-Mar-10,189.19
5-Mar-10,176.88
6-Mar-10,131.81
7-Mar-10,209.45
8-Mar-10,164.09
9-Mar-10,169.45
10-Mar-10,135.73
11-Mar-10,710.76
12-Mar-10,1674.06
13-Mar-10,2316.72
14-Mar-10,1582.04
15-Mar-10,514.68
16-Mar-10,687.47
17-Mar-10,746.19
18-Mar-10,552.1
19-Mar-10,409.23
20-Mar-10,223.51
21-Mar-10,459.7
22-Mar-10,1225.84
23-Mar-10,211.29
24-Mar-10,256.13
25-Mar-10,630.16
26-Mar-10,354.64
27-Mar-10,585.62
28-Mar-10,844.35
29-Mar-10,1835.31
30-Mar-10,1235.32
31-Mar-10,297.94
1-Apr-10,463.75
2-Apr-10,631.2
3-Apr-10,378.89
4-Apr-10,294.29
5-Apr-10,541.88
6-Apr-10,61.73
7-Apr-10,28.63
8-Apr-10,267.39
9-Apr-10,159.5
10-Apr-10,115.19
11-Apr-10,219.36
12-Apr-10,347.76
13-Apr-10,413.7
14-Apr-10,252.91
15-Apr-10,180.65
16-Apr-10,139.22
17-Apr-10,38.51
18-Apr-10,88.86
19-Apr-10,230.91
20-Apr-10,28.53
21-Apr-10,650.06
22-Apr-10,218.57
23-Apr-10,345.2
24-Apr-10,333.05
25-Apr-10,365.32
26-Apr-10,1621.68
27-Apr-10,1127.4
28-Apr-10,725.07
29-Apr-10,505.74
30-Apr-10,493.88
1-May-10,498.92
2-May-10,347.82
3-May-10,362.07
4-May-10,456.09
5-May-10,335.55
6-May-10,217.64
7-May-10,157.89
8-May-10,116.71
9-May-10,47.44
10-May-10,167.88
11-May-10,63.88
12-May-10,24.51
13-May-10,25.01
14-May-10,24.16
15-May-10,24.5
16-May-10,24.46
17-May-10,171.79
18-May-10,27.87
19-May-10,97.11
20-May-10,19.05
21-May-10,18.72
22-May-10,18.47
23-May-10,19.09
24-May-10,19.6
25-May-10,21.04
26-May-10,19.57
27-May-10,19.35
28-May-10,19.47
29-May-10,23.37
30-May-10,28.07
31-May-10,271.59
1-Jun-10,503.43
2-Jun-10,720.5
3-Jun-10,312.3
4-Jun-10,543.38
5-Jun-10,554.74
6-Jun-10,534.14
7-Jun-10,745.06
8-Jun-10,656.54
9-Jun-10,649.56
10-Jun-10,266.91
11-Jun-10,128.71
12-Jun-10,198.33
13-Jun-10,26.44
14-Jun-10,191.07
15-Jun-10,32.97
16-Jun-10,25.38
17-Jun-10,174.5
18-Jun-10,75.83
19-Jun-10,51.96
20-Jun-10,232.59
21-Jun-10,25.31
22-Jun-10,24.71
23-Jun-10,154.05
24-Jun-10,21.37
25-Jun-10,21.58
26-Jun-10,22.25
27-Jun-10,22.32
28-Jun-10,22.09
29-Jun-10,23.87
30-Jun-10,164.62
1-Jul-10,17.5
2-Jul-10,17.92
3-Jul-10,193.64
4-Jul-10,143.19
5-Jul-10,141.38
6-Jul-10,138.68
7-Jul-10,77.07
8-Jul-10,15.73
9-Jul-10,16.28
10-Jul-10,17.74
11-Jul-10,89.97
12-Jul-10,90.81
13-Jul-10,15.5
14-Jul-10,14.58
15-Jul-10,13.71
16-Jul-10,14.76
17-Jul-10,15.08
18-Jul-10,15.42
19-Jul-10,15.41
20-Jul-10,14.25
21-Jul-10,13.92
22-Jul-10,13.92
23-Jul-10,14.86
24-Jul-10,13.19
