Date,TP_Loads_In_mg,Atm_Loading_mg
9/14/2009,1607607019,95890410.96
9/15/2009,1796682130,95890410.96
9/16/2009,756210910.5,95890410.96
9/17/2009,969547967.3,95890410.96
9/18/2009,850285246.2,95890410.96
9/19/2009,935894926.1,95890410.96
9/20/2009,886322976.5,95890410.96
9/21/2009,767377466.5,95890410.96
9/22/2009,648378834.2,95890410.96
9/23/2009,624614627.2,95890410.96
9/24/2009,581542095.3,95890410.96
9/25/2009,576039277.4,95890410.96
9/26/2009,375022904.6,95890410.96
9/27/2009,675720144,95890410.96
9/28/2009,538013457.6,95890410.96
9/29/2009,450761472.5,95890410.96
9/30/2009,330533191.6,95890410.96
10/1/2009,444326385.7,95890410.96
10/2/2009,178614608.1,95890410.96
10/3/2009,193327727.5,95890410.96
10/4/2009,249417627.3,95890410.96
10/5/2009,349322850.2,95890410.96
10/6/2009,198995010.4,95890410.96
10/7/2009,136292485,95890410.96
10/8/2009,222863085.8,95890410.96
10/9/2009,66747269.68,95890410.96
10/10/2009,125943163.5,95890410.96
10/11/2009,118307768.6,95890410.96
10/12/2009,193067882.7,95890410.96
10/13/2009,91275707.92,95890410.96
10/14/2009,58757056.2,95890410.96
10/15/2009,73475317.33,95890410.96
10/16/2009,99726333.56,95890410.96
10/17/2009,67023078.83,95890410.96
10/18/2009,89521747.8,95890410.96
10/19/2009,71503307.81,95890410.96
10/20/2009,29932467.78,95890410.96
10/21/2009,55106190.54,95890410.96
10/22/2009,42984567.29,95890410.96
10/23/2009,45602880.31,95890410.96
10/24/2009,46630471.73,95890410.96
10/25/2009,40102903.28,95890410.96
10/26/2009,40426113.25,95890410.96
10/27/2009,86619032.6,95890410.96
10/28/2009,41958574.9,95890410.96
10/29/2009,44945558.24,95890410.96
10/30/2009,30365628.1,95890410.96
10/31/2009,34124503.7,95890410.96
11/1/2009,100364727.2,95890410.96
11/2/2009,71725752.93,95890410.96
11/3/2009,71744520.75,95890410.96
11/4/2009,26050851.05,95890410.96
11/5/2009,23650793.53,95890410.96
11/6/2009,24920657.75,95890410.96
11/7/2009,50572937.27,95890410.96
11/8/2009,27756385.55,95890410.96
11/9/2009,43013706.04,95890410.96
11/10/2009,32027256.03,95890410.96
11/11/2009,45193316.07,95890410.96
11/12/2009,18460062.52,95890410.96
11/13/2009,21078506.55,95890410.96
11/14/2009,17133133.25,95890410.96
11/15/2009,19167619.31,95890410.96
11/16/2009,21005466.93,95890410.96
11/17/2009,23287074.59,95890410.96
11/18/2009,59010545.89,95890410.96
11/19/2009,23198761.4,95890410.96
11/20/2009,22384785.75,95890410.96
11/21/2009,44805116.81,95890410.96
11/22/2009,21036310.02,95890410.96
11/23/2009,14932413.6,95890410.96
11/24/2009,29778403.38,95890410.96
11/25/2009,19294184.08,95890410.96
11/26/2009,50348754.1,95890410.96
11/27/2009,82537352.51,95890410.96
11/28/2009,32719262.7,95890410.96
11/29/2009,36763505.2,95890410.96
11/30/2009,28233090.36,95890410.96
12/1/2009,34889006.12,95890410.96
12/2/2009,19093866.62,95890410.96
12/3/2009,18405538.92,95890410.96
12/4/2009,71287095.02,95890410.96
12/5/2009,180985054.8,95890410.96
12/6/2009,134363339.6,95890410.96
12/7/2009,182322730.5,95890410.96
12/8/2009,117595332.9,95890410.96
12/9/2009,56086620.67,95890410.96
12/10/2009,89818432.77,95890410.96
12/11/2009,61407641.39,95890410.96
12/12/2009,44046564.42,95890410.96
12/13/2009,31877142.43,95890410.96
12/14/2009,37295363.37,95890410.96
12/15/2009,37139290.86,95890410.96
12/16/2009,120373205.1,95890410.96
12/17/2009,141751348,95890410.96
12/18/2009,220962764.5,95890410.96
12/19/2009,193430686.6,95890410.96
12/20/2009,163957336.5,95890410.96
12/21/2009,98324517.54,95890410.96
12/22/2009,39784093.52,95890410.96
12/23/2009,121785074.9,95890410.96
