Date,TP_Loads_In_mg,Atm_Loading_mg
7/16/2017,1158093104,95890410.96
7/17/2017,1048429258,95890410.96
7/18/2017,1299114750,95890410.96
7/19/2017,1499578219,95890410.96
7/20/2017,1519192464,95890410.96
7/21/2017,1515859392,95890410.96
7/22/2017,1703880211,95890410.96
7/23/2017,1445963627,95890410.96
7/24/2017,1390819171,95890410.96
7/25/2017,2054454753,95890410.96
7/26/2017,1890325993,95890410.96
7/27/2017,1539009932,95890410.96
7/28/2017,1334084777,95890410.96
7/29/2017,1526025804,95890410.96
7/30/2017,1340951106,95890410.96
7/31/2017,1890616902,95890410.96
8/1/2017,3421268263,95890410.96
8/2/2017,3329113777,95890410.96
8/3/2017,3659167946,95890410.96
8/4/2017,3303344629,95890410.96
8/5/2017,2682583591,95890410.96
8/6/2017,2423683743,95890410.96
8/7/2017,2446669374,95890410.96
8/8/2017,2104945866,95890410.96
8/9/2017,1984142981,95890410.96
8/10/2017,2137418405,95890410.96
8/11/2017,2437505416,95890410.96
8/12/2017,2504655189,95890410.96
8/13/2017,2901643570,95890410.96
8/14/2017,3912580435,95890410.96
8/15/2017,3928170130,95890410.96
8/16/2017,3405071133,95890410.96
8/17/2017,3295286373,95890410.96
8/18/2017,2919654530,95890410.96
8/19/2017,2572215492,95890410.96
8/20/2017,2112084961,95890410.96
8/21/2017,2450718847,95890410.96
8/22/2017,2039465100,95890410.96
8/23/2017,1662084715,95890410.96
8/24/2017,1989450445,95890410.96
8/25/2017,2458443408,95890410.96
8/26/2017,2168552451,95890410.96
8/27/2017,1762710231,95890410.96
8/28/2017,1780777885,95890410.96
8/29/2017,1994088821,95890410.96
8/30/2017,1959124204,95890410.96
8/31/2017,1860086529,95890410.96
9/1/2017,1970288155,95890410.96
9/2/2017,2925209782,95890410.96
9/3/2017,2611868714,95890410.96
9/4/2017,2783204352,95890410.96
9/5/2017,3129732841,95890410.96
9/6/2017,3685025324,95890410.96
9/7/2017,4457392174,95890410.96
9/8/2017,4733964485,95890410.96
9/9/2017,5070907138,95890410.96
9/10/2017,12122957538,95890410.96
9/11/2017,27002372220,95890410.96
9/12/2017,28113660892,95890410.96
9/13/2017,29386793952,95890410.96
9/14/2017,29305510621,95890410.96
9/15/2017,27798963076,95890410.96
9/16/2017,25285224611,95890410.96
9/17/2017,23991853806,95890410.96
9/18/2017,22071368038,95890410.96
9/19/2017,20045490235,95890410.96
9/20/2017,17678206126,95890410.96
9/21/2017,16381088463,95890410.96
9/22/2017,14886345219,95890410.96
9/23/2017,14054249793,95890410.96
9/24/2017,12826878459,95890410.96
9/25/2017,10955035828,95890410.96
9/26/2017,10197124523,95890410.96
9/27/2017,9690514894,95890410.96
9/28/2017,9716842264,95890410.96
9/29/2017,9933965389,95890410.96
9/30/2017,12021474040,95890410.96
10/1/2017,11220127695,95890410.96
10/2/2017,14299637243,95890410.96
10/3/2017,14914500899,95890410.96
10/4/2017,15264547859,95890410.96
10/5/2017,15447231494,95890410.96
10/6/2017,14792537194,95890410.96
10/7/2017,12255590972,95890410.96
10/8/2017,11096647062,95890410.96
10/9/2017,10209697574,95890410.96
10/10/2017,9045300204,95890410.96
10/11/2017,8027170442,95890410.96
10/12/2017,7076503944,95890410.96
10/13/2017,6455999440,95890410.96
10/14/2017,5943991158,95890410.96
10/15/2017,6113961113,95890410.96
10/16/2017,6171022493,95890410.96
10/17/2017,5532952555,95890410.96
10/18/2017,4687048139,95890410.96
10/19/2017,4344638219,95890410.96
10/20/2017,3621739973,95890410.96
10/21/2017,3366875486,95890410.96
10/22/2017,2721814825,95890410.96
10/23/2017,2710923240,95890410.96
