,Date,Netflows_acft
459,2009-04-02,140.0549351
460,2009-04-03,240.06289959999998
461,2009-04-04,108.1602551
462,2009-04-05,44.62875006
463,2009-04-06,267.13778019999995
464,2009-04-07,-38.91627005
465,2009-04-08,-214.0791551
466,2009-04-09,-193.58960009999998
467,2009-04-10,-384.60065019999996
468,2009-04-11,-65.23731507
469,2009-04-12,-12.07951499
470,2009-04-13,-61.46866504
471,2009-04-14,236.96874509999998
472,2009-04-15,61.94470501
473,2009-04-16,27.49131002
474,2009-04-17,163.77759509999998
475,2009-04-18,184.50517
476,2009-04-19,43.93452489
477,2009-04-20,-230.6413801
478,2009-04-21,152.4914801
479,2009-04-22,412.9845353
480,2009-04-23,144.259955
481,2009-04-24,-264.8170851
482,2009-04-25,15.51097005
483,2009-04-26,-95.20800004
484,2009-04-27,-101.019655
485,2009-04-28,3.01491999
486,2009-04-29,-310.2194002
487,2009-04-30,-174.5480001
488,2009-05-01,169.7677651
489,2009-05-02,552.8212852
490,2009-05-03,628.0752754
491,2009-05-04,315.89212349999997
492,2009-05-05,356.25626780000005
493,2009-05-06,590.1506027
494,2009-05-07,490.89626839999994
495,2009-05-08,493.3360017
496,2009-05-09,501.0518305
497,2009-05-10,110.97670670000001
498,2009-05-11,56.47011141
499,2009-05-12,91.55826366
500,2009-05-13,145.7475801
501,2009-05-14,639.7184202000001
502,2009-05-15,592.2929351
503,2009-05-16,409.3547303
504,2009-05-17,176.23397509999998
505,2009-05-18,1359.8280960000002
506,2009-05-19,2074.8798460000003
507,2009-05-20,2141.188251
508,2009-05-21,3372.8227420000003
509,2009-05-22,3148.905427
510,2009-05-23,3043.541907
511,2009-05-24,2948.5520920000004
512,2009-05-25,3047.469236
513,2009-05-26,5590.712938000001
514,2009-05-27,8629.910979
515,2009-05-28,12208.12513
516,2009-05-29,16686.17335
517,2009-05-30,15351.59539
518,2009-05-31,13202.07656
519,2009-06-01,11659.60787
520,2009-06-02,10763.74045
521,2009-06-03,9948.323596
522,2009-06-04,11808.03336
523,2009-06-05,14327.17754
524,2009-06-06,15655.745669999998
525,2009-06-07,12428.1548
526,2009-06-08,13406.00018
527,2009-06-09,13641.44192
528,2009-06-10,13051.27106
529,2009-06-11,10114.81839
530,2009-06-12,9729.126908
531,2009-06-13,9319.05822
532,2009-06-14,8386.693959999999
533,2009-06-15,6464.087659000001
534,2009-06-16,7810.36845
535,2009-06-17,9274.369965
536,2009-06-18,9087.801651
537,2009-06-19,8691.101601
538,2009-06-20,8553.188831
539,2009-06-21,7153.849495
540,2009-06-22,7177.889652
541,2009-06-23,7608.189981999999
542,2009-06-24,10196.002779999999
543,2009-06-25,8511.079081
544,2009-06-26,9100.515827
545,2009-06-27,9015.582554
546,2009-06-28,7034.998144
547,2009-06-29,8334.151201
548,2009-06-30,11866.34786
549,2009-07-01,14751.26882
550,2009-07-02,18475.80522
551,2009-07-03,23449.66945
552,2009-07-04,19698.31597
553,2009-07-05,20895.37833
554,2009-07-06,21590.11901
555,2009-07-07,19102.67123
556,2009-07-08,16539.65239
557,2009-07-09,13454.85373
558,2009-07-10,13266.40127
559,2009-07-11,11875.35305
560,2009-07-12,17194.06842
561,2009-07-13,16705.453169999997
562,2009-07-14,16309.824380000002
563,2009-07-15,15605.00755
