b.o.m,e.o.m.,SLTRIB,C44RO,C43RO,Note,"SLTRIB units are (af), C44RO and C43RO units are (cfsd)"
1-Jun-85,30-Jun-85,9693.8,174.83741,35941.98625,,
1-Jul-85,31-Jul-85,69094.7,10425.72726,47581.39146,,
1-Aug-85,31-Aug-85,101691.2,4758.764726,65368.49414,,
1-Sep-85,30-Sep-85,105100.1,21251.47468,96157.83255,,
1-Oct-85,31-Oct-85,51578.4,10559.98506,18741.27909,,
1-Nov-85,30-Nov-85,30654.3,632.0494003,22.98084116,,
1-Dec-85,31-Dec-85,29129.6,108.2631719,178.1383933,,
1-Jan-86,31-Jan-86,40301.4,5388.832807,4035.856979,,
1-Feb-86,28-Feb-86,30995.7,67.30022812,0,,
1-Mar-86,31-Mar-86,46868.3,0,30936.00595,,
1-Apr-86,30-Apr-86,31532.9,0,1142.49052,,
1-May-86,31-May-86,26376.4,0,0,,
1-Jun-86,30-Jun-86,103588.4,20396.18335,113296.5006,,
1-Jul-86,31-Jul-86,73218.7,24174.77708,78048.07318,,
1-Aug-86,31-Aug-86,76935,8915.901093,83665.71655,,
1-Sep-86,30-Sep-86,62544.7,5482.16787,51762.38952,,
1-Oct-86,31-Oct-86,72494.3,1678.895895,15364.36328,,
1-Nov-86,30-Nov-86,99612.9,4659.374832,29059.04153,,
1-Dec-86,31-Dec-86,67761.4,198.1547794,5989.834641,,
1-Jan-87,31-Jan-87,78702,11094.95344,56670.92071,,
1-Feb-87,28-Feb-87,62929,33.74842548,5415.747324,,
1-Mar-87,31-Mar-87,47240.9,1655.160063,42186.1132,,
1-Apr-87,30-Apr-87,8855.8,990.4663582,23155.92848,,
1-May-87,31-May-87,7108.8,983.2215881,10202.85343,,
1-Jun-87,30-Jun-87,6975.1,0,6990.995548,,
1-Jul-87,31-Jul-87,34078.5,2468.868152,55408.72632,,
1-Aug-87,31-Aug-87,16022.8,1711.036011,29252.6188,,
1-Sep-87,30-Sep-87,61079.1,597.9732819,46394.51936,,
1-Oct-87,31-Oct-87,58076.2,15268.99935,107724.368,,
1-Nov-87,30-Nov-87,96876.6,23455.35175,131577.5518,,
1-Dec-87,31-Dec-87,29763,2164.517263,22984.1756,,
1-Jan-88,31-Jan-88,17444.4,0,6417.231018,,
1-Feb-88,29-Feb-88,25485,2500.892357,5912.07254,,
1-Mar-88,31-Mar-88,25679.2,37.94807053,7976.677856,,
1-Apr-88,30-Apr-88,7246.3,0,52.77032471,,
1-May-88,31-May-88,21346.6,1215.956631,1947.643005,,
1-Jun-88,30-Jun-88,17725.2,3818.119441,4375.919882,,
1-Jul-88,31-Jul-88,67559.7,8374.544913,40858.51573,,
1-Aug-88,31-Aug-88,100672.7,24160.73627,110970.7704,,
1-Sep-88,30-Sep-88,21999,7838.094364,40665.89206,,
1-Oct-88,31-Oct-88,6867.7,0,0,,
1-Nov-88,30-Nov-88,16132.9,3623.861828,33082.71314,,
1-Dec-88,31-Dec-88,8121.4,15.48273206,3982.272491,,
1-Jan-89,31-Jan-89,8854.9,0,2170.74614,,
1-Feb-89,28-Feb-89,2434.8,0,0,,
1-Mar-89,31-Mar-89,13996.5,2532.271206,13544.08369,,
1-Apr-89,30-Apr-89,15115.8,0,15330.53193,,
1-May-89,31-May-89,7555.3,0,1243.433334,,
1-Jun-89,30-Jun-89,10304.6,0,27198.61851,,
1-Jul-89,31-Jul-89,26455.1,2583.76105,102668.8112,,
1-Aug-89,31-Aug-89,132130.6,3555.618883,74303.64943,,
1-Sep-89,30-Sep-89,34111.6,3218.29594,54631.8327,,
1-Oct-89,31-Oct-89,42580.8,10150.78895,64708.93259,,
1-Nov-89,30-Nov-89,14663.2,672.5182705,328.7521896,,
1-Dec-89,31-Dec-89,22715.5,254.5550804,1709.41774,,
1-Jan-90,31-Jan-90,13364.2,198.0337813,75.35669136,,
1-Feb-90,28-Feb-90,13204.9,0,590.743618,,
1-Mar-90,31-Mar-90,7096.2,0,228.3942566,,
1-Apr-90,30-Apr-90,3747.7,0,26.60952759,,
1-May-90,31-May-90,12881.3,0,0,,
1-Jun-90,30-Jun-90,19627.8,1594.640802,40348.25301,,
1-Jul-90,31-Jul-90,63166.8,4745.949051,73568.54031,,
1-Aug-90,31-Aug-90,44862.5,9082.505688,102375.2129,,
1-Sep-90,30-Sep-90,64554,11284.40139,30279.29459,,
1-Oct-90,31-Oct-90,66159,25422.4855,22806.02735,,
1-Nov-90,30-Nov-90,22640.9,1899.515979,0,,
1-Dec-90,31-Dec-90,4341.2,0,0,,
1-Jan-91,31-Jan-91,34519.2,8741.235229,59365.64679,,
1-Feb-91,28-Feb-91,22124.1,5012.886238,6215.275917,,
1-Mar-91,31-Mar-91,44565.6,6312.588913,319.1983337,,
