Date,ETVol_acft
7-Feb-01,3867
8-Feb-01,4511
9-Feb-01,4599
10-Feb-01,4093
11-Feb-01,3731
12-Feb-01,3288
13-Feb-01,3993
14-Feb-01,3600
15-Feb-01,4136
16-Feb-01,4588
17-Feb-01,4785
18-Feb-01,3690
19-Feb-01,3609
20-Feb-01,4031
21-Feb-01,4367
22-Feb-01,4249
23-Feb-01,4204
24-Feb-01,4259
25-Feb-01,4154
26-Feb-01,3223
27-Feb-01,3748
28-Feb-01,4519
1-Mar-01,6223
2-Mar-01,6640
3-Mar-01,7675
4-Mar-01,4644
5-Mar-01,7137
6-Mar-01,6360
7-Mar-01,6630
8-Mar-01,5856
9-Mar-01,6265
10-Mar-01,4595
11-Mar-01,6147
12-Mar-01,6695
13-Mar-01,7453
14-Mar-01,5220
15-Mar-01,8110
16-Mar-01,6739
17-Mar-01,4027
18-Mar-01,4387
19-Mar-01,4111
20-Mar-01,5693
21-Mar-01,5596
22-Mar-01,6150
23-Mar-01,6157
24-Mar-01,6018
25-Mar-01,6142
26-Mar-01,5328
27-Mar-01,5564
28-Mar-01,4324
29-Mar-01,4804
30-Mar-01,5088
31-Mar-01,5388
1-Apr-01,5718
2-Apr-01,5320
3-Apr-01,5272
4-Apr-01,5104
5-Apr-01,4349
6-Apr-01,4392
7-Apr-01,3927
8-Apr-01,5097
9-Apr-01,5339
10-Apr-01,5506
11-Apr-01,5307
12-Apr-01,5329
13-Apr-01,5505
14-Apr-01,5467
15-Apr-01,5278
16-Apr-01,6048
17-Apr-01,6450
18-Apr-01,6167
19-Apr-01,4514
20-Apr-01,5677
21-Apr-01,5653
22-Apr-01,5207
23-Apr-01,5973
24-Apr-01,5396
25-Apr-01,4097
26-Apr-01,3560
27-Apr-01,4939
28-Apr-01,6169
29-Apr-01,3668
30-Apr-01,3774
1-May-01,5775
2-May-01,5373
3-May-01,5755
4-May-01,5515
5-May-01,7018
6-May-01,7781
7-May-01,7135
8-May-01,6241
9-May-01,6879
10-May-01,6690
11-May-01,5833
12-May-01,7812
13-May-01,7706
14-May-01,6860
15-May-01,6322
16-May-01,8465
17-May-01,8276
18-May-01,7780
