,Date,ETVol_acft
386,2009-01-19,3485.0809200000003
387,2009-01-20,3913.1979340000003
388,2009-01-21,4545.533071
389,2009-01-22,4379.506461
390,2009-01-23,4077.492078
391,2009-01-24,3958.4217659999995
392,2009-01-25,4209.777953
393,2009-01-26,4198.1877380000005
394,2009-01-27,3352.518252
395,2009-01-28,4342.271203
396,2009-01-29,3828.22484
397,2009-01-30,997.4206058
398,2009-01-31,4686.404168
399,2009-02-01,4482.940888
400,2009-02-02,1939.292052
401,2009-02-03,4148.681289
402,2009-02-04,4605.190807
403,2009-02-05,5351.037783
404,2009-02-06,4785.4923850000005
405,2009-02-07,2891.788525
406,2009-02-08,4172.300987
407,2009-02-09,3894.070885
408,2009-02-10,4033.1584299999995
409,2009-02-11,4498.791649
410,2009-02-12,4643.183000999999
411,2009-02-13,4663.055077
412,2009-02-14,4499.070114
413,2009-02-15,4565.761077
414,2009-02-16,4445.70156
415,2009-02-17,5130.867346999999
416,2009-02-18,4647.197037
417,2009-02-19,3894.6915670000003
418,2009-02-20,4911.287399
419,2009-02-21,5218.046369
420,2009-02-22,4897.5061909999995
421,2009-02-23,4321.883802
422,2009-02-24,4462.664945
423,2009-02-25,5207.382611999999
424,2009-02-26,5065.738079
425,2009-02-27,5308.312672999999
426,2009-02-28,5008.004897
427,2009-03-01,3262.5540149999997
428,2009-03-02,4687.423652
429,2009-03-03,5529.106782
430,2009-03-04,3587.807454
431,2009-03-05,5217.123591
432,2009-03-06,4668.943024
433,2009-03-07,5144.965011
434,2009-03-08,5038.511649
435,2009-03-09,5525.394722
436,2009-03-10,5848.162636999999
437,2009-03-11,5466.572827
438,2009-03-12,4904.399328
439,2009-03-13,5414.834097
440,2009-03-14,4975.857666
441,2009-03-15,5934.799895
442,2009-03-16,5696.471406000001
443,2009-03-17,3789.798346
444,2009-03-18,2007.7480100000002
445,2009-03-19,5029.206485
446,2009-03-20,5648.691603
447,2009-03-21,2759.194167
448,2009-03-22,5560.639555
449,2009-03-23,4190.6077270000005
450,2009-03-24,5689.80817
451,2009-03-25,5321.166049
452,2009-03-26,5549.741602
453,2009-03-27,4936.233793
454,2009-03-28,3889.5962990000003
455,2009-03-29,1939.38629
456,2009-03-30,5580.169467000001
457,2009-03-31,4679.319742000001
458,2009-04-01,4219.704908
459,2009-04-02,4674.477924
460,2009-04-03,1644.181401
461,2009-04-04,4491.273998
462,2009-04-05,4854.295115
463,2009-04-06,4992.503563
464,2009-04-07,4398.794646
465,2009-04-08,6169.755643
466,2009-04-09,5406.089774
467,2009-04-10,4511.100786999999
468,2009-04-11,4924.932126
469,2009-04-12,5224.980346
470,2009-04-13,5233.456745
471,2009-04-14,3223.771045
472,2009-04-15,4186.419906
473,2009-04-16,6594.906509
474,2009-04-17,5192.053564
475,2009-04-18,5158.956440999999
476,2009-04-19,5910.538047
477,2009-04-20,4369.683927
478,2009-04-21,5104.550478
479,2009-04-22,5575.812189
480,2009-04-23,5532.617008
481,2009-04-24,6079.500157
482,2009-04-25,5169.4286090000005
483,2009-04-26,5675.5960939999995
484,2009-04-27,5513.403947999999
485,2009-04-28,5404.843937
486,2009-04-29,5121.573648
487,2009-04-30,5909.916388000001
488,2009-05-01,6242.391801
489,2009-05-02,6423.27347
