Date,Stage_LO,Storage,Cut_back,P_Load_Cal,P_Load_StL,P_Load_South
2012-12-31,441.84255039819527,112913202.98157704,0.0,6.360598086081889,2.473531947607775,5.05778725907553
2013-01-31,431.3321539753656,108248389.4252062,0.0,5.264175695500496,2.047135127220032,4.363415432547097
2013-02-28,372.123908580529,90419846.80341409,0.0,4.748726484988312,1.8467028301142114,3.801839918082538
2013-03-31,391.40024037110754,91873003.33350992,0.0,6.537242819240901,2.5420615371014277,5.002746498355793
2013-04-30,359.6455404170305,81617831.45174246,0.0,8.860359274504,3.4457219391014027,6.539165320268034
2013-05-31,359.3748816036425,79887457.85089673,0.0,0.6932795073010956,0.2696121825929241,6.51801979757369
2013-06-30,363.60072534783075,83126339.12936206,0.0,0.0,0.0,3.816968162066264
2013-07-31,430.42971526635506,108135494.96780533,0.0,0.0,0.0,2.6297513660102902
2013-08-31,490.04606923238816,134506628.14625978,0.0,2.040941110758604,0.7932058347970232,1.6004205117050045
2013-09-30,492.5755965093034,138409018.42918652,0.0,5.0568806269731335,1.9660678813469188,2.3043839439494658
2013-10-31,516.2304451990761,146278700.33958426,0.0,4.318574533831716,1.6783978832798503,2.4526199542849225
2013-11-30,482.5581799737411,133901180.98818351,0.0,4.359711979734124,1.6949368613811466,1.3742194396351983
2013-12-31,485.32331223348876,132370706.81572978,0.0,5.225828482275336,2.032243655945394,4.474108475982372
2014-01-31,472.9110967701322,126860882.57885815,0.0,6.489401492598184,2.5236004518214985,4.30483025009787
2014-02-28,427.07867114515983,114554615.3038703,0.0,6.093668676706488,2.3697289781079807,0.7460162663447361
2014-03-31,462.84997510401996,122399421.02459234,0.0,7.318056221788948,2.845687948750992,3.9999370070495646
2014-04-30,429.7216015027919,110240531.98194647,0.0,9.790449614713507,3.807425044170277,10.46933047934064
2014-05-31,427.504721190546,106616449.54832228,0.0,0.742140421903708,0.2886138950202545,1.7067039735351726
2014-06-30,408.0799410262907,100807101.80029552,0.0,0.0,0.0,0.0
2014-07-31,445.0770180776815,114385341.58085881,0.0,0.0,0.0,0.0
2014-08-31,478.6343549319915,129406700.5769762,0.0,0.0,0.0,0.0
2014-09-30,482.2386082402122,133757373.70809554,0.0,1.4769676664797213,0.5742485022016827,0.0
2014-10-31,528.0136676766441,151601035.00722587,0.0,5.701866539766107,2.216011452013783,4.869405989988048
2014-11-30,506.9664144363509,144886082.1079159,0.0,4.528834813381925,1.7606802350764528,1.9799937564497445
2014-12-31,517.374704673928,146793617.1032676,0.0,4.203411880897216,1.6346398441720842,3.4403288115982864
2015-01-31,511.6806323441538,144231284.5548692,0.0,4.047200246414802,1.5738767320275249,3.269651414593152
2015-02-28,461.4280643501026,129942628.95754611,0.0,4.585591347945385,1.7832623415651643,4.227130817300893
2015-03-31,512.9925885575651,144821664.85090435,0.0,5.329837851079114,2.0725534438491175,3.4013740338321043
2015-04-30,486.8982004135448,135854190.18609524,0.0,5.470844322165504,2.1275645286431852,4.213723373147694
2015-05-31,496.27772667909403,137299977.00559226,0.0,1.0814514743171102,0.4204278573761156,6.119726168575917
2015-06-30,470.5167272154915,128482527.24697125,0.0,0.0,0.0,2.1394376833330906
2015-07-31,483.81410787781084,131691348.54501489,0.0,0.0,0.0,4.083205235662166
2015-08-31,494.86481151467007,136664165.18160146,0.0,0.0,0.0,5.611034596069071
2015-09-30,517.7714071948856,149857974.8898937,0.0,0.0,0.0,4.56769077077864
2015-10-31,562.9215988971462,167648935.4926872,0.0,0.0,0.0,3.5494483191787163
2015-11-30,545.5029133211478,162581340.12772802,0.0,8.188327511293283,3.1834711892813172,2.942577346095409
2015-12-31,568.6314856262626,170275483.38808072,0.0,8.197562094533556,3.187901509808022,7.150737999811414
2016-01-31,572.7958415325892,172182616.64494458,0.0,7.124281357710922,2.7704935661257486,0.13639658209188785
2016-02-29,576.0673220181371,179732765.02006692,0.0,5.92810833272823,2.305345243270988,0.7912914128531894
2016-03-31,613.4899166210436,191066766.39430547,0.0,5.366835408915757,2.086940965730749,2.5308789559257874
2016-04-30,582.4204719644365,179643168.19484216,0.0,5.016964760104245,1.9510551553975366,3.6919405924433226
2016-05-31,588.788273934938,179496588.96699843,0.0,5.990010018535496,2.328268621175955,0.297888255452681
2016-06-30,595.0246536044713,185514323.1694709,0.0,6.12481004485766,2.3823095649120765,0.0
2016-07-31,629.7601800378646,198647284.6177964,0.0,5.657766045089485,2.1979590576333963,0.0
2016-08-31,631.0772515797757,199266308.24249446,0.0,5.069714703901836,1.9702630958535692,0.0
2016-09-30,630.7750241492529,202262885.88140392,0.0,4.882357905284134,1.898220676624626,0.0
2016-10-31,679.1985877411682,221760737.58216465,0.0,4.78793872640977,1.8608105176427825,0.0
2016-11-30,646.9734561251157,209846147.69433,0.0,4.431907518528146,1.722999238523509,0.0
2016-12-31,655.533209091924,210760608.27320433,0.0,4.638977571393931,1.804028310774921,0.0
2017-01-31,643.745077485937,205220186.41839045,0.0,5.40835513216432,2.103202892576999,0.0
2017-02-28,571.2601651443764,180572277.61785683,0.0,5.648106555194715,2.1964572124658814,0.0
2017-03-31,613.2946600723266,190978463.92985964,0.0,9.209379291640282,3.5811424137060377,0.0
2017-04-30,570.0585993008718,173817115.3525363,0.0,16.562851657060648,6.4411649758153375,0.0
2017-05-31,567.0078603522543,169523649.9472176,0.0,1.600687948573463,0.6224978048826852,0.0
2017-06-30,554.3892530922096,166634099.11351418,0.0,0.0,0.0,0.0
2017-07-31,587.5489878700508,178857307.3946569,0.0,0.0,0.0,0.0
2017-08-31,604.7735558265102,187020213.2721052,0.0,0.0,0.0,0.0
2017-09-30,637.876041028511,205596155.4035424,0.0,0.0,0.0,0.0
2017-10-31,746.2015804933128,253868917.76619643,0.0,0.0,0.0,0.0
2017-11-30,742.5144714974033,255606946.31875357,0.0,12.825975687590798,4.986503534397463,0.0
2017-12-31,759.6419810580541,260452222.41763657,0.0,11.294946531489062,4.392421162308323,0.0
2018-01-31,749.8440891126381,255572044.55631903,0.0,9.464046195126484,3.6803824712317748,0.0
2018-02-28,671.62576287591,228046198.27292663,0.0,7.482202334955442,2.909707128558431,0.0
2018-03-31,728.9052069686267,245630594.39484498,0.0,7.944945115505687,3.089460142252567,0.0
2018-04-30,689.6531984895058,229994658.29161674,0.0,8.734899003876874,3.396929558154767,0.0
2018-05-31,703.4632868539034,233299500.53160235,0.0,0.6732847665108894,0.2618363495442688,0.0
2018-06-30,701.4624105335897,235806687.0058942,0.0,0.0,0.0,0.0
2018-07-31,745.10127513157,253265376.48408943,0.0,0.0,0.0,0.0
2018-08-31,764.9865718920089,263013565.9256741,0.0,0.0,0.0,0.0
2018-09-30,758.881411170911,263640705.58545542,0.0,0.0,0.0,1.4589333186575015
2018-10-31,783.4163525943944,272048176.29719704,0.0,0.0,0.0,2.4093909572082572
2018-11-30,747.8526724923997,258192118.2009496,0.0,7.636419085480968,2.9688993404792403,1.5923052635489197
2018-12-31,710.6560021603145,243657577.4995848,0.0,10.061678453349677,3.912836621778296,3.523652368551715
