Date,INDUST_cms,INDUST_cmd
1/14/2009,0.934455938,80736.99304
1/15/2009,2.067129802,178600.0149
1/16/2009,2.152080342,185939.7415
1/17/2009,1.019406478,88076.7197
1/18/2009,0.226534773,19572.60439
1/19/2009,1.557426564,134561.6551
1/20/2009,2.803367814,242210.9791
1/21/2009,3.851091139,332734.2744
1/22/2009,2.888318354,249550.7058
1/23/2009,1.41584233,122328.7773
1/24/2009,0.792871705,68504.11531
1/25/2009,0,0
1/26/2009,0.764554858,66057.53973
1/27/2009,1.472476024,127221.9285
1/28/2009,1.302574944,112542.4752
1/29/2009,1.642377103,141901.3817
1/30/2009,1.812278183,156580.835
1/31/2009,1.41584233,122328.7773
2/1/2009,0.283168466,24465.75546
2/2/2009,0.566336932,48931.51092
2/3/2009,0.707921165,61164.38866
2/4/2009,2.661783581,229978.1014
2/5/2009,2.718417274,234871.2525
2/6/2009,1.557426564,134561.6551
2/7/2009,0.849505398,73397.26639
2/8/2009,0.453069546,39145.20877
2/9/2009,1.41584233,122328.7773
2/10/2009,1.330891791,114989.0507
2/11/2009,1.50079287,129668.504
2/12/2009,1.274258097,110095.8996
2/13/2009,0.962772785,83183.56862
2/14/2009,0.339802159,29358.90654
2/15/2009,0.396435853,34252.0577
2/16/2009,0.651287472,56271.23758
2/17/2009,0,0
2/18/2009,1.387525484,119882.2018
2/19/2009,1.387525484,119882.2018
2/20/2009,1.982179263,171260.2883
2/21/2009,0.792871705,68504.11531
2/22/2009,0.20671298,17860.00147
2/23/2009,0.991089631,85630.14412
2/24/2009,0,0
2/25/2009,0,0
2/26/2009,1.047723325,90523.29528
2/27/2009,0.011326739,978.6302496
2/28/2009,0.368119006,31805.48212
3/1/2009,0,0
3/2/2009,1.50079287,129668.504
3/3/2009,2.605149888,225084.9503
3/4/2009,1.529109717,132115.0795
3/5/2009,2.010496109,173706.8638
3/6/2009,2.038812956,176153.4394
3/7/2009,1.359208637,117435.6262
3/8/2009,0.679604319,58717.81316
3/9/2009,0.368119006,31805.48212
3/10/2009,1.472476024,127221.9285
3/11/2009,1.925545569,166367.1372
3/12/2009,4.983765003,430597.2963
3/13/2009,4.247526991,366986.332
3/14/2009,0.311485313,26912.33104
3/15/2009,0.453069546,39145.20877
3/16/2009,0.707921165,61164.38866
3/17/2009,1.104357018,95416.44636
3/18/2009,0.991089631,85630.14412
3/19/2009,0.622970625,53824.662
3/20/2009,0,0
3/21/2009,0.203881296,17615.34397
3/22/2009,0.453069546,39145.20877
3/23/2009,2.038812956,176153.4394
3/24/2009,3.624556366,313161.67
3/25/2009,4.247526991,366986.332
3/26/2009,3.709506906,320501.3967
3/27/2009,3.794457446,327841.1233
3/28/2009,1.67069395,144347.9573
3/29/2009,0.934455938,80736.99304
3/30/2009,0.538020086,46484.93543
3/31/2009,4.615645997,398791.8141
4/1/2009,2.378615115,205512.3459
4/2/2009,3.029902587,261783.5835
4/3/2009,3.114853127,269123.3102
4/4/2009,4.049309065,349860.3032
4/5/2009,4.219210145,364539.7565
4/6/2009,2.973268894,256890.4324
4/7/2009,3.822774292,330287.6988
4/8/2009,8.636638216,746205.5419
4/9/2009,8.09861813,699720.6064
4/10/2009,6.76772634,584731.5558
4/11/2009,6.201389407,535800.0448
4/12/2009,5.465151396,472189.0806
4/13/2009,5.040398696,435490.4473
4/14/2009,1.897228723,163920.5617
4/15/2009,1.557426564,134561.6551
4/16/2009,7.164162192,618983.6134
4/17/2009,4.92713131,425704.1452
4/18/2009,6.173072561,533353.4693
4/19/2009,4.219210145,364539.7565
4/20/2009,4.955448157,428150.7208
4/21/2009,1.359208637,117435.6262
4/22/2009,2.520199348,217745.2237
4/23/2009,5.040398696,435490.4473
4/24/2009,6.258023101,540693.1959
4/25/2009,5.606735629,484421.9583
4/26/2009,4.134259605,357200.0299
4/27/2009,6.144755714,530906.8937
4/28/2009,5.776636708,499101.4116
4/29/2009,6.711092646,579838.4046
4/30/2009,5.408517702,467295.9295
5/1/2009,5.748319862,496654.8361
5/2/2009,3.567922673,308268.5189
5/3/2009,1.897228723,163920.5617
5/4/2009,4.84218077,418364.4185
5/5/2009,6.711092646,579838.4046
5/6/2009,4.360794378,376772.6343
5/7/2009,3.737823752,322947.9722
5/8/2009,4.870497617,420810.9941
5/9/2009,4.445744918,384112.3609
