,Date,RF_acft
377,2009-01-10,44.86833333
378,2009-01-11,44.79783333
379,2009-01-12,89.486
380,2009-01-13,2724.544667
381,2009-01-14,267.189
382,2009-01-15,0.0
383,2009-01-16,220.62083330000002
384,2009-01-17,88.10733333
385,2009-01-18,0.0
386,2009-01-19,88.15433333
387,2009-01-20,263.006
388,2009-01-21,43.65416667
389,2009-01-22,43.58366667
390,2009-01-23,43.51316667
391,2009-01-24,0.0
392,2009-01-25,43.45833333
393,2009-01-26,0.0
394,2009-01-27,0.0
395,2009-01-28,43.33808333
396,2009-01-29,86.54666667
397,2009-01-30,3016.830833
398,2009-01-31,42.81083333
399,2009-02-01,0.0
400,2009-02-02,6828.98375
401,2009-02-03,171.0213333
402,2009-02-04,0.0
403,2009-02-05,0.0
404,2009-02-06,0.0
405,2009-02-07,0.0
406,2009-02-08,0.0
407,2009-02-09,0.0
408,2009-02-10,84.23416667
409,2009-02-11,0.0
410,2009-02-12,84.06766667
411,2009-02-13,335.6046667
412,2009-02-14,0.0
413,2009-02-15,0.0
414,2009-02-16,0.0
415,2009-02-17,0.0
416,2009-02-18,0.0
417,2009-02-19,0.0
418,2009-02-20,0.0
419,2009-02-21,0.0
420,2009-02-22,0.0
421,2009-02-23,0.0
422,2009-02-24,0.0
423,2009-02-25,0.0
424,2009-02-26,0.0
425,2009-02-27,0.0
426,2009-02-28,0.0
427,2009-03-01,0.0
428,2009-03-02,0.0
429,2009-03-03,0.0
430,2009-03-04,0.0
431,2009-03-05,0.0
432,2009-03-06,160.9543333
433,2009-03-07,80.38216667
434,2009-03-08,0.0
435,2009-03-09,0.0
436,2009-03-10,0.0
437,2009-03-11,0.0
438,2009-03-12,0.0
439,2009-03-13,0.0
440,2009-03-14,0.0
441,2009-03-15,0.0
442,2009-03-16,0.0
443,2009-03-17,5480.1985
444,2009-03-18,119.16625
445,2009-03-19,9059.029
446,2009-03-20,0.0
447,2009-03-21,2219.4386670000004
448,2009-03-22,0.0
449,2009-03-23,316.97866669999996
450,2009-03-24,79.10816667
451,2009-03-25,0.0
452,2009-03-26,0.0
453,2009-03-27,0.0
454,2009-03-28,78.70916667
455,2009-03-29,4240.089
456,2009-03-30,156.7463333
457,2009-03-31,3448.881333
458,2009-04-01,2508.613333
459,2009-04-02,0.0
460,2009-04-03,234.584
461,2009-04-04,78.01616667
462,2009-04-05,0.0
463,2009-04-06,0.0
464,2009-04-07,0.0
465,2009-04-08,0.0
466,2009-04-09,0.0
467,2009-04-10,0.0
468,2009-04-11,0.0
469,2009-04-12,0.0
470,2009-04-13,0.0
471,2009-04-14,905.26
472,2009-04-15,0.0
473,2009-04-16,0.0
474,2009-04-17,0.0
475,2009-04-18,0.0
476,2009-04-19,0.0
477,2009-04-20,0.0
478,2009-04-21,1036.723333
479,2009-04-22,0.0
480,2009-04-23,0.0
481,2009-04-24,0.0
482,2009-04-25,0.0
483,2009-04-26,0.0
484,2009-04-27,0.0
485,2009-04-28,0.0
486,2009-04-29,0.0
487,2009-04-30,0.0
488,2009-05-01,0.0
489,2009-05-02,0.0
490,2009-05-03,70.95833333
491,2009-05-04,0.0
492,2009-05-05,0.0
493,2009-05-06,0.0
494,2009-05-07,0.0
495,2009-05-08,0.0
496,2009-05-09,0.0
497,2009-05-10,0.0
498,2009-05-11,8949.529167
499,2009-05-12,413.675
500,2009-05-13,0.0
501,2009-05-14,14160.44
502,2009-05-15,3374.63
503,2009-05-16,1855.6875
504,2009-05-17,0.0
505,2009-05-18,16062.25
506,2009-05-19,5695.529167000001
507,2009-05-20,14076.0
508,2009-05-21,1913.2895829999998
509,2009-05-22,8994.4225
510,2009-05-23,661.7779167
511,2009-05-24,1356.0625
512,2009-05-25,30899.384169999998
513,2009-05-26,14132.70625
514,2009-05-27,19591.58667
515,2009-05-28,10979.5425
516,2009-05-29,11692.26167
517,2009-05-30,1335.4225
518,2009-05-31,36.28583333
519,2009-06-01,0.0
520,2009-06-02,0.0
521,2009-06-03,2376.345833
522,2009-06-04,12138.04583
523,2009-06-05,19990.1625
524,2009-06-06,20147.37083
525,2009-06-07,2631.125
526,2009-06-08,526.925
527,2009-06-09,0.0
528,2009-06-10,3940.3
529,2009-06-11,0.0
530,2009-06-12,76.09166667
531,2009-06-13,533.1083333
532,2009-06-14,0.0
533,2009-06-15,11588.73333
534,2009-06-16,2178.1125
535,2009-06-17,420.52083330000005
536,2009-06-18,4983.225
537,2009-06-19,153.86333330000002
538,2009-06-20,0.0
539,2009-06-21,0.0
540,2009-06-22,0.0
541,2009-06-23,69302.75332999999
542,2009-06-24,469.42
543,2009-06-25,0.0
544,2009-06-26,4785.246667
545,2009-06-27,942.1160000000001
546,2009-06-28,7267.000417
547,2009-06-29,33882.25283
548,2009-06-30,9162.461
549,2009-07-01,23937.2
550,2009-07-02,42834.06867
551,2009-07-03,9093.242667
552,2009-07-04,81.54116667
553,2009-07-05,3108.3113329999996
554,2009-07-06,164.0323333
555,2009-07-07,0.0
556,2009-07-08,0.0
557,2009-07-09,6709.0815
558,2009-07-10,749.1165
559,2009-07-11,19884.820669999997
560,2009-07-12,12758.6735
561,2009-07-13,1058.708333
562,2009-07-14,1276.0
563,2009-07-15,85.39966667
564,2009-07-16,0.0
565,2009-07-17,0.0
566,2009-07-18,257.309
567,2009-07-19,10138.284670000001
568,2009-07-20,258.41900000000004
569,2009-07-21,1036.7839999999999
570,2009-07-22,0.0
571,2009-07-23,0.0
572,2009-07-24,0.0
573,2009-07-25,1949.7975
574,2009-07-26,9625.1615
575,2009-07-27,86.995
576,2009-07-28,3662.344
577,2009-07-29,2796.373333
578,2009-07-30,7535.463333
579,2009-07-31,87.84100000000001
580,2009-08-01,3341.53
581,2009-08-02,264.134
582,2009-08-03,616.7513332999999
583,2009-08-04,88.23266667
584,2009-08-05,795.081
585,2009-08-06,5928.383333
586,2009-08-07,11456.791000000001
587,2009-08-08,6330.147
588,2009-08-09,268.082
589,2009-08-10,6812.842667
590,2009-08-11,3104.0225
591,2009-08-12,3153.9433329999997
592,2009-08-13,3789.9959999999996
593,2009-08-14,0.0
594,2009-08-15,11919.86133
595,2009-08-16,726.8246667000001
596,2009-08-17,0.0
597,2009-08-18,1907.91475
598,2009-08-19,90.85308333
599,2009-08-20,0.0
600,2009-08-21,25162.656919999998
601,2009-08-22,3230.65975
602,2009-08-23,2320.279
603,2009-08-24,910.1108332999999
604,2009-08-25,4324.59
605,2009-08-26,2504.6152079999997
606,2009-08-27,774.1537917
607,2009-08-28,6877.798333
608,2009-08-29,28351.5375
609,2009-08-30,5886.350625
610,2009-08-31,4299.4895
611,2009-09-01,3111.1643329999997
612,2009-09-02,12909.6075
613,2009-09-03,995.1964762
614,2009-09-04,11063.825190000001
615,2009-09-05,2625.521429
616,2009-09-06,315.2657143
617,2009-09-07,183.984
618,2009-09-08,92.0315
619,2009-09-09,230.14458330000002
620,2009-09-10,5617.53575
621,2009-09-11,17750.28063
622,2009-09-12,20831.78396
623,2009-09-13,8278.809667
624,2009-09-14,1341.623375
625,2009-09-15,0.0
626,2009-09-16,0.0
627,2009-09-17,1573.242333
628,2009-09-18,694.13125
629,2009-09-19,231.395
630,2009-09-20,1157.24375
631,2009-09-21,138.896125
632,2009-09-22,1944.7715
633,2009-09-23,0.0
634,2009-09-24,4075.232333
635,2009-09-25,0.0
636,2009-09-26,46.316625
637,2009-09-27,602.0695417000001
638,2009-09-28,0.0
639,2009-09-29,0.0
640,2009-09-30,0.0
641,2009-10-01,0.0
642,2009-10-02,0.0
643,2009-10-03,0.0
644,2009-10-04,0.0
645,2009-10-05,3143.1725
646,2009-10-06,37125.099
647,2009-10-07,323.7899583
648,2009-10-08,92.4935
649,2009-10-09,0.0
650,2009-10-10,0.0
651,2009-10-11,0.0
652,2009-10-12,92.32775
653,2009-10-13,0.0
654,2009-10-14,0.0
655,2009-10-15,0.0
656,2009-10-16,506.57154169999995
657,2009-10-17,91.95908333
658,2009-10-18,0.0
659,2009-10-19,228.8608333
660,2009-10-20,45.78204167
661,2009-10-21,0.0
662,2009-10-22,686.236875
663,2009-10-23,274.39599999999996
664,2009-10-24,0.0
665,2009-10-25,45.689875
666,2009-10-26,0.0
667,2009-10-27,0.0
668,2009-10-28,91.30075
669,2009-10-29,0.0
670,2009-10-30,45.610875
671,2009-10-31,45.57795833
672,2009-11-01,0.0
673,2009-11-02,45.52858333
674,2009-11-03,45.47920833
675,2009-11-04,45.43641667
676,2009-11-05,135.8505
677,2009-11-06,90.34766667
678,2009-11-07,45.0955
679,2009-11-08,135.1455
